Date,EM (EMERGING MARKETS) MID VALUE Mid Cap
1995-05-31,390.511
1995-06-30,395.332
1995-07-31,414.708
1995-08-31,399.589
1995-09-29,390.141
1995-10-31,376.248
1995-11-30,360.624
1995-12-29,379.165
1996-01-31,408.377
1996-02-29,404.689
1996-03-29,410.432
1996-04-30,425.84
1996-05-31,412.877
1996-06-28,410.594
1996-07-31,383.205
1996-08-30,389.987
1996-09-30,391.693
1996-10-31,381.8
1996-11-29,380.824
1996-12-31,381.19
1997-01-31,404.079
1997-02-28,428.169
1997-03-31,411.024
1997-04-30,402.189
1997-05-30,401.971
1997-06-30,410.385
1997-07-31,409.896
1997-08-29,356.911
1997-09-30,356.065
1997-10-31,297.464
1997-11-28,266.551
1997-12-31,263.286
1998-01-30,236.412
1998-02-27,263.249
1998-03-31,274.151
1998-04-30,270.153
1998-05-29,235.549
1998-06-30,209.195
1998-07-31,207.108
1998-08-31,158.151
1998-09-30,160.113
1998-10-30,173.189
1998-11-30,194.078
1998-12-31,191.634
1999-01-29,180.173
1999-02-26,182.616
1999-03-31,207.615
1999-04-30,238.827
1999-05-31,237.993
1999-06-30,257.891
1999-07-30,254.215
1999-08-31,255.958
1999-09-30,246.454
1999-10-29,245.888
1999-11-30,264.416
1999-12-31,294.662
2000-01-31,303.863
2000-02-29,299.807
2000-03-31,296.454
2000-04-28,265.882
2000-05-31,252.505
2000-06-30,256.383
2000-07-31,252.968
2000-08-31,254.288
2000-09-29,229.48
2000-10-31,208.645
2000-11-30,197.764
2000-12-29,200.236
2001-01-31,224.893
2001-02-28,213.805
2001-03-30,196.165
2001-04-30,200.443
2001-05-31,204.532
2001-06-29,201.94
2001-07-31,189.412
2001-08-31,195.473
2001-09-28,165.421
2001-10-31,173.038
2001-11-30,195.174
2001-12-31,211.133
2002-01-31,223.291
2002-02-28,228.145
2002-03-29,244.921
2002-04-30,250.262
2002-05-31,244.543
2002-06-28,231.407
2002-07-31,221.157
2002-08-30,223.562
2002-09-30,198.304
2002-10-31,207.902
2002-11-29,222.176
2002-12-31,213.783
2003-01-31,218.994
2003-02-28,213.243
2003-03-31,203.261
2003-04-30,220.248
2003-05-30,240.084
2003-06-30,253.647
2003-07-31,269.324
2003-08-29,284.898
2003-09-30,284.949
2003-10-31,314.3
2003-11-28,317.372
2003-12-31,339.724
2004-01-30,358.345
2004-02-27,384.385
2004-03-31,395.757
2004-04-30,372.448
2004-05-31,366.118
2004-06-30,377.78
2004-07-30,366.728
2004-08-31,381.901
2004-09-30,407.643
2004-10-29,425.052
2004-11-30,460.507
2004-12-31,490.289
2005-01-31,491.775
2005-02-28,535.56
2005-03-31,498.618
2005-04-29,483.944
2005-05-31,497.796
2005-06-30,511.037
2005-07-29,539.396
2005-08-31,528.694
2005-09-30,567.514
2005-10-31,528.674
2005-11-30,579.667
2005-12-30,622.254
2006-01-31,677.792
2006-02-28,678.643
2006-03-31,683.14
2006-04-28,742.519
2006-05-31,666.309
2006-06-30,655.053
2006-07-31,659.784
2006-08-31,674.327
2006-09-29,689.583
2006-10-31,729.717
2006-11-30,795.121
2006-12-29,824.845
2007-01-31,815.774
2007-02-28,833.814
2007-03-30,858.37
2007-04-30,916.04
2007-05-31,1000.0
2007-06-29,1051.098
2007-07-31,1136.149
2007-08-31,1107.5
2007-09-28,1208.228
2007-10-31,1326.255
2007-11-30,1208.419
2007-12-31,1213.952
2008-01-31,1085.196
2008-02-29,1155.632
2008-03-31,1113.857
2008-04-30,1196.544
2008-05-30,1205.302
2008-06-30,1061.709
2008-07-31,1058.777
2008-08-29,991.044
2008-09-30,807.93
2008-10-31,597.23
2008-11-28,561.164
2008-12-31,631.427
2009-01-30,590.162
2009-02-27,545.99
2009-03-31,637.841
2009-04-30,771.1
2009-05-29,912.599
2009-06-30,909.315
2009-07-31,1035.51
2009-08-31,1033.771
2009-09-30,1120.812
2009-10-30,1113.671
2009-11-30,1160.127
2009-12-31,1239.38
2010-01-29,1189.793
2010-02-26,1197.975
2010-03-31,1301.223
2010-04-30,1320.124
2010-05-31,1194.238
2010-06-30,1217.922
2010-07-30,1326.676
2010-08-31,1323.269
2010-09-30,1486.664
2010-10-29,1526.541
2010-11-30,1478.395
2010-12-31,1598.895
2011-01-31,1548.542
2011-02-28,1486.235
2011-03-31,1590.97
2011-04-29,1661.407
2011-05-31,1616.974
2011-06-30,1587.338
2011-07-29,1588.771
2011-08-31,1427.199
2011-09-30,1180.414
2011-10-31,1321.441
2011-11-30,1206.913
2011-12-30,1218.067
2012-01-31,1382.67
2012-02-29,1499.178
2012-03-30,1438.756
2012-04-30,1392.499
2012-05-31,1257.132
2012-06-29,1304.0
2012-07-31,1309.524
2012-08-31,1323.397
2012-09-28,1410.818
2012-10-31,1381.729
2012-11-30,1408.652
2012-12-31,1497.065
2013-01-31,1523.711
2013-02-28,1509.632
2013-03-29,1469.892
2013-04-30,1469.664
2013-05-31,1427.121
2013-06-28,1336.415
2013-07-31,1348.881
2013-08-30,1328.797
2013-09-30,1422.656
2013-10-31,1480.312
2013-11-29,1460.802
2013-12-31,1438.013
2014-01-31,1350.469
2014-02-28,1387.665
2014-03-31,1435.651
2014-04-30,1443.8
2014-05-30,1477.685
2014-06-30,1505.116
2014-07-31,1534.614
2014-08-29,1565.34
2014-09-30,1450.71
2014-10-31,1446.334
2014-11-28,1432.608
2014-12-31,1368.774
2015-01-30,1378.615
2015-02-27,1416.492
2015-03-31,1381.489
2015-04-30,1501.485
2015-05-29,1441.804
2015-06-30,1366.234
2015-07-31,1266.735
2015-08-31,1138.223
2015-09-30,1115.076
2015-10-30,1182.04
2015-11-30,1118.277
2015-12-31,1086.019
2016-01-29,1012.57
2016-02-29,1016.718
2016-03-31,1168.743
2016-04-29,1188.766
2016-05-31,1115.901
2016-06-30,1147.152
2016-07-29,1234.051
2016-08-31,1232.988
2016-09-30,1240.779
2016-10-31,1230.399
2016-11-30,1175.148
2016-12-30,1172.22
2017-01-31,1228.643
2017-02-28,1278.328
2017-03-31,1303.854
2017-04-28,1319.243
2017-05-31,1347.901
2017-06-30,1353.263
2017-07-31,1417.648
2017-08-31,1437.166
2017-09-29,1414.906
2017-10-31,1447.888
2017-11-30,1427.768
2017-12-29,1510.9
2018-01-31,1609.493
2018-02-28,1535.212
2018-03-30,1521.88
2018-04-30,1534.72
2018-05-31,1503.497
2018-06-29,1411.319
2018-07-31,1437.993
2018-08-31,1408.026
2018-09-28,1393.18
2018-10-31,1255.216
2018-11-30,1317.046
2018-12-31,1299.312
2019-01-31,1407.222
2019-02-28,1393.661
2019-03-29,1407.106
2019-04-30,1411.999
2019-05-31,1328.301
2019-06-28,1400.957
2019-07-31,1382.338
2019-08-30,1289.022
2019-09-30,1304.314
2019-10-31,1346.613
2019-11-29,1353.628
2019-12-31,1447.126
2020-01-31,1368.431
2020-02-28,1253.358
2020-03-31,994.898
2020-04-30,1107.089
2020-05-29,1118.455
2020-06-30,1194.787
2020-07-31,1268.794
2020-08-31,1292.112
2020-09-30,1280.618
2020-10-30,1264.578
2020-11-30,1431.922
2020-12-31,1546.908
2021-01-29,1548.902
2021-02-26,1614.629
2021-03-31,1653.593
2021-04-30,1740.269
2021-05-31,1795.438
2021-06-30,1777.161
2021-07-30,1720.917
2021-08-31,1789.206
2021-09-30,1743.549
2021-10-29,1740.105
2021-11-30,1670.609
2021-12-31,1725.531
2022-01-31,1678.764
2022-02-28,1678.866
2022-03-31,1675.824
2022-04-29,1596.906
2022-05-31,1604.576
2022-06-30,1472.915
2022-07-29,1483.961
2022-08-31,1497.535
2022-09-30,1340.725
2022-10-31,1351.741
2022-11-30,1521.052
2022-12-30,1517.435
2023-01-31,1608.582
2023-02-28,1560.093
2023-03-31,1567.873
2023-04-28,1583.112
2023-05-31,1549.777
2023-06-30,1611.776
2023-07-31,1731.122
2023-08-31,1631.423
2023-09-29,1611.122
2023-10-31,1551.97
2023-11-30,1691.789
2023-12-29,1774.553
2024-01-31,1693.355
2024-02-29,1761.945
2024-03-29,1768.496
2024-04-30,1778.326
2024-05-31,1808.786
2024-06-28,1839.071
2024-07-31,1861.334
