Date,EM (EMERGING MARKETS) MID VALUE Mid Cap
2001-01-01,200.279
2001-01-02,200.488
2001-01-03,201.335
2001-01-04,207.272
2001-01-05,208.878
2001-01-08,209.333
2001-01-09,211.759
2001-01-10,211.082
2001-01-11,210.748
2001-01-12,211.75
2001-01-15,212.453
2001-01-16,213.545
2001-01-17,214.708
2001-01-18,216.847
2001-01-19,220.04
2001-01-22,222.022
2001-01-23,222.385
2001-01-24,222.423
2001-01-25,222.664
2001-01-26,221.903
2001-01-29,221.121
2001-01-30,222.018
2001-01-31,224.893
2001-02-01,223.698
2001-02-02,225.874
2001-02-05,223.414
2001-02-06,223.02
2001-02-07,219.627
2001-02-08,221.748
2001-02-09,222.724
2001-02-12,223.554
2001-02-13,224.399
2001-02-14,223.869
2001-02-15,225.09
2001-02-16,223.061
2001-02-19,220.66
2001-02-20,222.202
2001-02-21,218.127
2001-02-22,213.663
2001-02-23,212.68
2001-02-26,214.983
2001-02-27,214.295
2001-02-28,213.805
2001-03-01,212.89
2001-03-02,211.527
2001-03-05,212.001
2001-03-06,212.914
2001-03-07,213.418
2001-03-08,212.973
2001-03-09,210.774
2001-03-12,204.618
2001-03-13,201.627
2001-03-14,199.934
2001-03-15,200.485
2001-03-16,198.788
2001-03-19,197.362
2001-03-20,198.157
2001-03-21,197.245
2001-03-22,194.522
2001-03-23,195.865
2001-03-26,199.467
2001-03-27,199.045
2001-03-28,198.491
2001-03-29,197.098
2001-03-30,196.165
2001-04-02,192.649
2001-04-03,189.734
2001-04-04,188.82
2001-04-05,190.803
2001-04-06,191.805
2001-04-09,190.358
2001-04-10,190.696
2001-04-11,192.576
2001-04-12,193.414
2001-04-13,193.742
2001-04-16,192.814
2001-04-17,192.403
2001-04-18,196.953
2001-04-19,198.022
2001-04-20,196.926
2001-04-23,196.879
2001-04-24,197.561
2001-04-25,197.42
2001-04-26,197.957
2001-04-27,198.666
2001-04-30,200.443
2001-05-01,200.31
2001-05-02,201.497
2001-05-03,202.12
2001-05-04,201.95
2001-05-07,202.135
2001-05-08,201.361
2001-05-09,201.107
2001-05-10,201.442
2001-05-11,201.628
2001-05-14,200.389
2001-05-15,199.697
2001-05-16,199.913
2001-05-17,203.076
2001-05-18,204.047
2001-05-21,204.309
2001-05-22,205.666
2001-05-23,207.108
2001-05-24,207.952
2001-05-25,207.032
2001-05-28,206.525
2001-05-29,205.721
2001-05-30,204.134
2001-05-31,204.532
2001-06-01,203.235
2001-06-04,203.468
2001-06-05,203.329
2001-06-06,204.787
2001-06-07,204.533
2001-06-08,206.964
2001-06-11,206.012
2001-06-12,205.25
2001-06-13,205.717
2001-06-14,204.301
2001-06-15,203.811
2001-06-18,200.908
2001-06-19,200.449
2001-06-20,200.001
2001-06-21,200.95
2001-06-22,201.775
2001-06-25,201.477
2001-06-26,200.954
2001-06-27,200.956
2001-06-28,200.217
2001-06-29,201.94
2001-07-02,201.655
2001-07-03,201.642
2001-07-04,200.189
2001-07-05,199.283
2001-07-06,196.417
2001-07-09,195.607
2001-07-10,194.261
2001-07-11,189.821
2001-07-12,192.041
2001-07-13,190.674
2001-07-16,189.471
2001-07-17,189.871
2001-07-18,189.255
2001-07-19,189.35
2001-07-20,189.356
2001-07-23,189.642
2001-07-24,188.406
2001-07-25,187.731
2001-07-26,189.869
2001-07-27,189.636
2001-07-30,189.786
2001-07-31,189.412
2001-08-01,189.628
2001-08-02,191.829
2001-08-03,193.102
2001-08-06,192.249
2001-08-07,191.864
2001-08-08,192.618
2001-08-09,190.99
2001-08-10,191.305
2001-08-13,192.65
2001-08-14,194.684
2001-08-15,195.177
2001-08-16,196.256
2001-08-17,195.088
2001-08-20,193.969
2001-08-21,194.125
2001-08-22,194.82
2001-08-23,194.504
2001-08-24,195.249
2001-08-27,196.676
2001-08-28,196.7
2001-08-29,196.949
2001-08-30,196.249
2001-08-31,195.473
2001-09-03,194.17
2001-09-04,194.73
2001-09-05,194.638
2001-09-06,193.877
2001-09-07,193.359
2001-09-10,191.342
2001-09-11,185.588
2001-09-12,181.24
2001-09-13,178.2
2001-09-14,172.545
2001-09-17,167.6
2001-09-18,168.932
2001-09-19,170.721
2001-09-20,166.085
2001-09-21,162.065
2001-09-24,163.73
2001-09-25,162.896
2001-09-26,163.404
2001-09-27,163.645
2001-09-28,165.421
2001-10-01,164.729
2001-10-02,163.032
2001-10-03,162.17
2001-10-04,164.476
2001-10-05,164.827
2001-10-08,162.619
2001-10-09,164.982
2001-10-10,166.166
2001-10-11,169.832
2001-10-12,168.753
2001-10-15,168.692
2001-10-16,170.441
2001-10-17,171.498
2001-10-18,170.671
2001-10-19,171.213
2001-10-22,172.747
2001-10-23,172.493
2001-10-24,173.543
2001-10-25,173.515
2001-10-26,174.55
2001-10-29,174.136
2001-10-30,172.27
2001-10-31,173.038
2001-11-01,173.317
2001-11-02,174.359
2001-11-05,177.266
2001-11-06,177.263
2001-11-07,176.731
2001-11-08,179.344
2001-11-09,179.565
2001-11-12,180.357
2001-11-13,182.076
2001-11-14,184.731
2001-11-15,186.669
2001-11-16,188.308
2001-11-19,190.904
2001-11-20,190.074
2001-11-21,191.145
2001-11-22,192.499
2001-11-23,194.426
2001-11-26,198.803
2001-11-27,197.957
2001-11-28,193.833
2001-11-29,193.876
2001-11-30,195.174
2001-12-03,197.835
2001-12-04,198.975
2001-12-05,202.059
2001-12-06,205.101
2001-12-07,207.181
2001-12-10,207.674
2001-12-11,206.795
2001-12-12,208.7
2001-12-13,205.945
2001-12-14,206.084
2001-12-17,206.571
2001-12-18,203.736
2001-12-19,201.902
2001-12-20,203.083
2001-12-21,201.611
2001-12-24,203.536
2001-12-25,205.341
2001-12-26,206.439
2001-12-27,206.773
2001-12-28,208.765
2001-12-31,211.133
2002-01-01,211.329
2002-01-02,213.789
2002-01-03,215.664
2002-01-04,218.388
2002-01-07,219.527
2002-01-08,218.854
2002-01-09,220.311
2002-01-10,219.525
2002-01-11,218.228
2002-01-14,217.41
2002-01-15,216.387
2002-01-16,214.281
2002-01-17,215.467
2002-01-18,215.685
2002-01-21,218.293
2002-01-22,218.56
2002-01-23,219.253
2002-01-24,220.372
2002-01-25,222.658
2002-01-28,224.313
2002-01-29,222.594
2002-01-30,221.114
2002-01-31,223.291
2002-02-01,223.149
2002-02-04,222.302
2002-02-05,222.23
2002-02-06,224.599
2002-02-07,222.861
2002-02-08,223.437
2002-02-11,222.721
2002-02-12,223.521
2002-02-13,224.623
2002-02-14,227.816
2002-02-15,227.791
2002-02-18,228.889
2002-02-19,226.936
2002-02-20,225.347
2002-02-21,224.904
2002-02-22,224.254
2002-02-25,223.666
2002-02-26,225.047
2002-02-27,229.069
2002-02-28,228.145
2002-03-01,230.524
2002-03-04,235.853
2002-03-05,236.539
2002-03-06,237.831
2002-03-07,238.42
2002-03-08,239.083
2002-03-11,240.396
2002-03-12,239.916
2002-03-13,240.496
2002-03-14,242.375
2002-03-15,243.548
2002-03-18,245.003
2002-03-19,244.935
2002-03-20,245.298
2002-03-21,245.101
2002-03-22,245.387
2002-03-25,243.481
2002-03-26,243.658
2002-03-27,244.221
2002-03-28,245.436
2002-03-29,244.921
2002-04-01,243.045
2002-04-02,244.047
2002-04-03,244.366
2002-04-04,245.48
2002-04-05,247.405
2002-04-08,248.112
2002-04-09,246.781
2002-04-10,247.519
2002-04-11,248.467
2002-04-12,249.648
2002-04-15,250.598
2002-04-16,252.551
2002-04-17,256.212
2002-04-18,257.232
2002-04-19,259.333
2002-04-22,258.527
2002-04-23,257.669
2002-04-24,256.889
2002-04-25,253.367
2002-04-26,254.316
2002-04-29,251.64
2002-04-30,250.262
2002-05-01,250.272
2002-05-02,250.757
2002-05-03,251.844
2002-05-06,249.021
2002-05-07,247.713
2002-05-08,250.407
2002-05-09,249.778
2002-05-10,249.059
2002-05-13,248.254
2002-05-14,249.381
2002-05-15,251.638
2002-05-16,251.906
2002-05-17,253.205
2002-05-20,250.194
2002-05-21,246.022
2002-05-22,246.453
2002-05-23,245.362
2002-05-24,247.625
2002-05-27,248.614
2002-05-28,246.942
2002-05-29,246.002
2002-05-30,245.6
2002-05-31,244.543
2002-06-03,244.75
2002-06-04,244.535
2002-06-05,244.816
2002-06-06,244.909
2002-06-07,241.857
2002-06-10,244.378
2002-06-11,244.352
2002-06-12,244.19
2002-06-13,245.372
2002-06-14,242.268
2002-06-17,240.585
2002-06-18,241.438
2002-06-19,235.367
2002-06-20,235.925
2002-06-21,235.069
2002-06-24,234.467
2002-06-25,232.271
2002-06-26,223.18
2002-06-27,225.753
2002-06-28,231.407
2002-07-01,230.134
2002-07-02,227.823
2002-07-03,228.839
2002-07-04,232.174
2002-07-05,237.079
2002-07-08,237.734
2002-07-09,241.264
2002-07-10,239.807
2002-07-11,235.191
2002-07-12,240.286
2002-07-15,238.983
2002-07-16,237.225
2002-07-17,238.152
2002-07-18,239.139
2002-07-19,235.735
2002-07-22,227.713
2002-07-23,228.398
2002-07-24,222.107
2002-07-25,223.175
2002-07-26,216.639
2002-07-29,218.841
2002-07-30,222.944
2002-07-31,221.157
2002-08-01,220.033
2002-08-02,220.073
2002-08-05,212.1
2002-08-06,210.524
2002-08-07,213.957
2002-08-08,215.462
2002-08-09,217.348
2002-08-12,217.272
2002-08-13,217.865
2002-08-14,220.368
2002-08-15,221.109
2002-08-16,222.162
2002-08-19,222.0
2002-08-20,222.673
2002-08-21,224.486
2002-08-22,224.291
2002-08-23,223.441
2002-08-26,223.454
2002-08-27,223.733
2002-08-28,222.884
2002-08-29,222.049
2002-08-30,223.562
2002-09-02,222.556
2002-09-03,218.817
2002-09-04,216.653
2002-09-05,215.755
2002-09-06,214.152
2002-09-09,213.651
2002-09-10,216.821
2002-09-11,218.531
2002-09-12,219.908
2002-09-13,216.63
2002-09-16,212.648
2002-09-17,216.781
2002-09-18,211.592
2002-09-19,211.198
2002-09-20,210.423
