Date,EM (EMERGING MARKETS) MID VALUE Mid Cap
2001-01-01,204.901
2001-01-02,205.11
2001-01-03,205.973
2001-01-04,212.047
2001-01-05,213.691
2001-01-08,214.138
2001-01-09,216.618
2001-01-10,215.926
2001-01-11,215.584
2001-01-12,216.608
2001-01-15,217.328
2001-01-16,218.445
2001-01-17,219.631
2001-01-18,221.819
2001-01-19,225.085
2001-01-22,227.112
2001-01-23,227.484
2001-01-24,227.523
2001-01-25,227.77
2001-01-26,226.991
2001-01-29,226.187
2001-01-30,227.102
2001-01-31,230.042
2001-02-01,228.82
2001-02-02,231.046
2001-02-05,228.529
2001-02-06,228.126
2001-02-07,224.656
2001-02-08,226.825
2001-02-09,227.823
2001-02-12,228.673
2001-02-13,229.537
2001-02-14,228.995
2001-02-15,230.243
2001-02-16,228.167
2001-02-19,225.711
2001-02-20,227.289
2001-02-21,223.12
2001-02-22,218.554
2001-02-23,217.548
2001-02-26,219.905
2001-02-27,219.201
2001-02-28,218.699
2001-03-01,217.763
2001-03-02,216.369
2001-03-05,216.853
2001-03-06,217.788
2001-03-07,218.281
2001-03-08,217.826
2001-03-09,215.577
2001-03-12,209.281
2001-03-13,206.222
2001-03-14,204.483
2001-03-15,205.046
2001-03-16,203.31
2001-03-19,201.843
2001-03-20,202.656
2001-03-21,201.708
2001-03-22,198.924
2001-03-23,200.297
2001-03-26,203.919
2001-03-27,203.487
2001-03-28,202.92
2001-03-29,201.497
2001-03-30,200.543
2001-04-02,196.946
2001-04-03,193.965
2001-04-04,193.026
2001-04-05,195.054
2001-04-06,196.077
2001-04-09,194.598
2001-04-10,194.943
2001-04-11,196.859
2001-04-12,197.714
2001-04-13,198.049
2001-04-16,197.099
2001-04-17,196.673
2001-04-18,201.324
2001-04-19,202.417
2001-04-20,201.296
2001-04-23,201.248
2001-04-24,201.944
2001-04-25,201.796
2001-04-26,202.345
2001-04-27,203.07
2001-04-30,204.885
2001-05-01,204.749
2001-05-02,205.955
2001-05-03,206.591
2001-05-04,206.414
2001-05-07,206.597
2001-05-08,205.804
2001-05-09,205.544
2001-05-10,205.877
2001-05-11,206.065
2001-05-14,204.793
2001-05-15,204.086
2001-05-16,204.304
2001-05-17,207.531
2001-05-18,208.508
2001-05-21,208.759
2001-05-22,210.137
2001-05-23,211.609
2001-05-24,212.471
2001-05-25,211.531
2001-05-28,211.005
2001-05-29,210.18
2001-05-30,208.559
2001-05-31,208.953
2001-06-01,207.628
2001-06-04,207.862
2001-06-05,207.714
2001-06-06,209.197
2001-06-07,208.937
2001-06-08,211.42
2001-06-11,210.448
2001-06-12,209.668
2001-06-13,210.125
2001-06-14,208.678
2001-06-15,208.174
2001-06-18,205.198
2001-06-19,204.712
2001-06-20,204.243
2001-06-21,205.213
2001-06-22,206.055
2001-06-25,205.75
2001-06-26,205.216
2001-06-27,205.217
2001-06-28,204.454
2001-06-29,206.213
2001-07-02,205.903
2001-07-03,205.886
2001-07-04,204.402
2001-07-05,203.477
2001-07-06,200.55
2001-07-09,199.723
2001-07-10,198.322
2001-07-11,193.787
2001-07-12,196.047
2001-07-13,194.649
