Date,EUROPE VALUE Standard (Large+Mid Cap)
2001-01-01,4380.37
2001-01-02,4381.175
2001-01-03,4344.076
2001-01-04,4420.319
2001-01-05,4442.501
2001-01-08,4423.155
2001-01-09,4355.137
2001-01-10,4319.55
2001-01-11,4387.072
2001-01-12,4383.985
2001-01-15,4369.139
2001-01-16,4319.006
2001-01-17,4351.749
2001-01-18,4383.186
2001-01-19,4330.932
2001-01-22,4343.675
2001-01-23,4363.673
2001-01-24,4343.402
2001-01-25,4358.335
2001-01-26,4368.112
2001-01-29,4374.789
2001-01-30,4412.347
2001-01-31,4432.093
2001-02-01,4437.565
2001-02-02,4394.311
2001-02-05,4425.857
2001-02-06,4412.947
2001-02-07,4380.463
2001-02-08,4325.316
2001-02-09,4310.266
2001-02-12,4361.818
2001-02-13,4332.494
2001-02-14,4308.537
2001-02-15,4266.438
2001-02-16,4249.881
2001-02-19,4264.438
2001-02-20,4188.455
2001-02-21,4160.134
2001-02-22,4130.127
2001-02-23,4085.676
2001-02-26,4100.858
2001-02-27,4141.786
2001-02-28,4137.482
2001-03-01,4150.134
2001-03-02,4166.81
2001-03-05,4180.118
2001-03-06,4242.247
2001-03-07,4241.275
2001-03-08,4259.369
2001-03-09,4222.753
2001-03-12,4143.417
2001-03-13,4048.235
2001-03-14,3962.996
2001-03-15,3993.392
2001-03-16,3868.487
2001-03-19,3845.719
2001-03-20,3910.954
2001-03-21,3819.012
2001-03-22,3612.395
2001-03-23,3693.034
2001-03-26,3822.587
2001-03-27,3927.947
2001-03-28,3848.221
2001-03-29,3843.005
2001-03-30,3869.285
2001-04-02,3854.331
2001-04-03,3770.264
2001-04-04,3850.301
2001-04-05,3889.21
2001-04-06,3910.418
2001-04-09,3980.618
2001-04-10,4020.455
2001-04-11,4010.022
2001-04-12,4044.006
2001-04-13,4044.006
2001-04-16,4010.979
2001-04-17,3984.542
2001-04-18,4026.813
2001-04-19,4093.599
2001-04-20,4111.673
2001-04-23,4077.212
2001-04-24,4087.406
2001-04-25,4089.451
2001-04-26,4117.208
2001-04-27,4127.724
2001-04-30,4123.903
2001-05-01,4133.177
2001-05-02,4107.086
2001-05-03,4037.34
2001-05-04,4078.821
2001-05-07,4091.721
2001-05-08,4057.491
2001-05-09,4046.885
2001-05-10,4107.768
2001-05-11,4067.487
2001-05-14,3997.148
2001-05-15,4060.889
2001-05-16,4090.877
2001-05-17,4116.02
2001-05-18,4126.221
2001-05-21,4140.576
2001-05-22,4118.463
2001-05-23,4064.454
2001-05-24,4057.025
2001-05-25,4046.237
2001-05-28,4061.353
2001-05-29,4014.283
2001-05-30,3985.441
2001-05-31,3961.189
2001-06-01,3946.614
2001-06-04,3961.433
2001-06-05,3999.912
2001-06-06,3961.301
2001-06-07,3968.194
2001-06-08,3955.318
2001-06-11,3899.014
2001-06-12,3883.077
2001-06-13,3926.166
2001-06-14,3916.674
2001-06-15,3903.92
2001-06-18,3861.733
2001-06-19,3864.917
2001-06-20,3826.938
2001-06-21,3825.751
