Date,EUROPE VALUE Standard (Large+Mid Cap)
2001-01-01,5586.587
2001-01-02,5587.83
2001-01-03,5540.513
2001-01-04,5637.77
2001-01-05,5666.066
2001-01-08,5641.394
2001-01-09,5554.649
2001-01-10,5509.346
2001-01-11,5595.634
2001-01-12,5591.697
2001-01-15,5572.775
2001-01-16,5508.831
2001-01-17,5550.594
2001-01-18,5590.692
2001-01-19,5524.043
2001-01-22,5540.296
2001-01-23,5565.803
2001-01-24,5539.948
2001-01-25,5558.995
2001-01-26,5571.465
2001-01-29,5579.982
2001-01-30,5627.887
2001-01-31,5653.073
2001-02-01,5660.052
2001-02-02,5604.882
2001-02-05,5645.119
2001-02-06,5628.652
2001-02-07,5587.219
2001-02-08,5516.88
2001-02-09,5497.691
2001-02-12,5563.445
2001-02-13,5526.042
2001-02-14,5495.485
2001-02-15,5441.788
2001-02-16,5420.671
2001-02-19,5439.238
2001-02-20,5342.322
2001-02-21,5306.2
2001-02-22,5267.925
2001-02-23,5211.229
2001-02-26,5230.607
2001-02-27,5282.81
2001-02-28,5277.32
2001-03-01,5293.458
2001-03-02,5314.728
2001-03-05,5331.866
2001-03-06,5411.113
2001-03-07,5409.874
2001-03-08,5432.965
2001-03-09,5386.294
2001-03-12,5285.097
2001-03-13,5163.689
2001-03-14,5054.976
2001-03-15,5093.749
2001-03-16,4934.426
2001-03-19,4905.396
2001-03-20,4988.631
2001-03-21,4871.371
2001-03-22,4607.917
2001-03-23,4710.972
2001-03-26,4876.235
2001-03-27,5010.646
2001-03-28,4909.117
2001-03-29,4902.499
2001-03-30,4936.253
2001-04-02,4917.175
2001-04-03,4809.932
2001-04-04,4912.107
2001-04-05,4961.777
2001-04-06,4989.387
2001-04-09,5079.062
2001-04-10,5130.064
2001-04-11,5117.359
2001-04-12,5161.713
2001-04-13,5161.713
2001-04-16,5119.559
2001-04-17,5085.815
2001-04-18,5139.768
2001-04-19,5225.619
2001-04-20,5248.743
2001-04-23,5204.791
2001-04-24,5217.836
2001-04-25,5220.965
2001-04-26,5256.65
2001-04-27,5270.97
2001-04-30,5266.091
2001-05-01,5277.959
2001-05-02,5245.531
2001-05-03,5156.467
2001-05-04,5209.748
2001-05-07,5226.328
2001-05-08,5182.627
2001-05-09,5169.327
2001-05-10,5247.217
2001-05-11,5196.168
2001-05-14,5107.16
2001-05-15,5188.649
2001-05-16,5227.041
2001-05-17,5259.461
2001-05-18,5273.592
2001-05-21,5293.433
2001-05-22,5265.242
2001-05-23,5197.062
2001-05-24,5187.564
2001-05-25,5173.834
2001-05-28,5193.339
2001-05-29,5134.106
2001-05-30,5098.02
2001-05-31,5067.079
2001-06-01,5048.542
2001-06-04,5067.542
2001-06-05,5116.893
2001-06-06,5067.895
2001-06-07,5076.74
2001-06-08,5060.649
2001-06-11,4989.071
2001-06-12,4968.72
2001-06-13,5023.859
2001-06-14,5011.829
2001-06-15,4995.515
2001-06-18,4942.867
2001-06-19,4946.999
2001-06-20,4898.467
2001-06-21,4897.037
2001-06-22,4921.17
2001-06-25,4965.304
2001-06-26,4896.513
2001-06-27,4886.122
2001-06-28,4874.866
2001-06-29,4902.771
2001-07-02,4972.91
2001-07-03,4923.444
2001-07-04,4906.609
2001-07-05,4852.0
2001-07-06,4792.61
2001-07-09,4809.182
2001-07-10,4815.565
2001-07-11,4778.94
2001-07-12,4791.317
2001-07-13,4826.254
2001-07-16,4824.035
2001-07-17,4758.814
2001-07-18,4793.906
2001-07-19,4840.151
2001-07-20,4830.028
2001-07-23,4836.226
2001-07-24,4799.139
2001-07-25,4755.84
2001-07-26,4774.501
2001-07-27,4834.861
2001-07-30,4893.486
2001-07-31,4938.537
2001-08-01,4965.574
2001-08-02,4977.041
2001-08-03,4964.704
2001-08-06,4936.807
2001-08-07,4929.294
2001-08-08,4875.848
2001-08-09,4854.391
2001-08-10,4850.695
2001-08-13,4891.634
2001-08-14,4952.92
2001-08-15,5004.264
2001-08-16,4971.004
2001-08-17,4917.226
2001-08-20,4899.593
2001-08-21,4944.215
2001-08-22,4979.17
2001-08-23,4947.616
2001-08-24,5020.179
2001-08-27,5011.11
2001-08-28,4959.808
2001-08-29,4968.963
2001-08-30,4881.646
2001-08-31,4889.258
2001-09-03,4831.574
2001-09-04,4826.117
2001-09-05,4770.531
2001-09-06,4684.064
2001-09-07,4621.158
2001-09-10,4550.304
2001-09-11,4342.852
2001-09-12,4352.382
2001-09-13,4399.396
2001-09-14,4237.86
2001-09-17,4342.293
2001-09-18,4315.106
2001-09-19,4232.983
2001-09-20,4041.182
2001-09-21,3885.315
2001-09-24,4076.007
2001-09-25,4150.652
2001-09-26,4220.184
2001-09-27,4269.798
2001-09-28,4362.569
2001-10-01,4292.863
2001-10-02,4334.185
2001-10-03,4359.784
2001-10-04,4481.834
2001-10-05,4481.095
2001-10-08,4471.939
2001-10-09,4456.211
2001-10-10,4533.755
2001-10-11,4541.878
2001-10-12,4545.627
2001-10-15,4449.819
2001-10-16,4494.374
2001-10-17,4576.717
2001-10-18,4489.486
2001-10-19,4372.422
2001-10-22,4404.368
2001-10-23,4497.33
2001-10-24,4510.455
2001-10-25,4452.591
2001-10-26,4541.503
2001-10-29,4522.073
2001-10-30,4431.838
2001-10-31,4452.591
2001-11-01,4494.201
2001-11-02,4492.578
2001-11-05,4548.441
2001-11-06,4536.147
2001-11-07,4597.863
2001-11-08,4649.075
2001-11-09,4616.242
2001-11-12,4524.267
2001-11-13,4599.128
2001-11-14,4583.134
2001-11-15,4561.706
2001-11-16,4618.368
2001-11-19,4653.439
2001-11-20,4631.525
2001-11-21,4599.37
2001-11-22,4645.581
2001-11-23,4618.83
2001-11-26,4618.921
2001-11-27,4591.06
2001-11-28,4557.947
2001-11-29,4559.926
2001-11-30,4604.212
2001-12-03,4552.629
2001-12-04,4601.074
2001-12-05,4738.569
2001-12-06,4789.708
2001-12-07,4747.526
2001-12-10,4658.735
2001-12-11,4650.682
2001-12-12,4638.936
2001-12-13,4574.301
2001-12-14,4566.21
2001-12-17,4693.957
2001-12-18,4679.252
2001-12-19,4620.773
2001-12-20,4578.876
2001-12-21,4600.843
2001-12-24,4579.794
2001-12-25,4579.794
2001-12-26,4591.344
2001-12-27,4688.557
2001-12-28,4692.628
2001-12-31,4725.278
2002-01-01,4725.278
2002-01-02,4738.255
2002-01-03,4817.038
2002-01-04,4818.153
2002-01-07,4762.114
2002-01-08,4721.774
2002-01-09,4699.314
2002-01-10,4665.889
2002-01-11,4678.812
2002-01-14,4592.254
2002-01-15,4613.019
2002-01-16,4523.511
2002-01-17,4577.242
2002-01-18,4565.753
2002-01-21,4541.881
2002-01-22,4537.384
2002-01-23,4556.512
2002-01-24,4591.043
2002-01-25,4520.441
2002-01-28,4543.198
2002-01-29,4471.391
2002-01-30,4414.821
2002-01-31,4455.805
2002-02-01,4465.737
2002-02-04,4428.999
2002-02-05,4358.03
2002-02-06,4299.598
2002-02-07,4352.919
2002-02-08,4375.368
2002-02-11,4434.56
2002-02-12,4406.621
2002-02-13,4420.841
2002-02-14,4468.836
2002-02-15,4441.13
2002-02-18,4403.34
2002-02-19,4326.889
2002-02-20,4280.666
2002-02-21,4328.223
2002-02-22,4305.612
2002-02-25,4351.048
2002-02-26,4381.864
2002-02-27,4431.779
2002-02-28,4423.393
2002-03-01,4474.143
2002-03-04,4617.11
2002-03-05,4603.291
2002-03-06,4654.755
2002-03-07,4714.85
2002-03-08,4720.032
2002-03-11,4694.885
2002-03-12,4634.954
2002-03-13,4651.247
2002-03-14,4692.849
2002-03-15,4744.955
2002-03-18,4761.607
2002-03-19,4783.984
2002-03-20,4751.063
2002-03-21,4736.375
2002-03-22,4738.014
2002-03-25,4694.277
2002-03-26,4706.76
2002-03-27,4693.109
2002-03-28,4745.125
2002-03-29,4745.125
2002-04-01,4789.307
2002-04-02,4770.876
2002-04-03,4771.82
2002-04-04,4741.057
2002-04-05,4720.999
2002-04-08,4630.436
2002-04-09,4640.03
2002-04-10,4696.763
2002-04-11,4641.098
2002-04-12,4638.959
2002-04-15,4685.565
2002-04-16,4782.64
2002-04-17,4810.6
2002-04-18,4803.237
2002-04-19,4812.492
2002-04-22,4776.584
2002-04-23,4751.41
2002-04-24,4747.382
2002-04-25,4726.042
2002-04-26,4697.222
2002-04-29,4707.612
2002-04-30,4731.387
2002-05-01,4739.415
2002-05-02,4723.114
2002-05-03,4741.57
2002-05-06,4740.215
2002-05-07,4669.143
2002-05-08,4765.044
2002-05-09,4756.949
2002-05-10,4728.323
2002-05-13,4764.38
2002-05-14,4788.22
2002-05-15,4836.731
2002-05-16,4836.245
2002-05-17,4872.48
2002-05-20,4847.228
2002-05-21,4827.28
2002-05-22,4805.699
2002-05-23,4800.909
2002-05-24,4824.829
2002-05-27,4811.184
2002-05-28,4805.01
2002-05-29,4817.064
2002-05-30,4770.279
2002-05-31,4791.276
2002-06-03,4776.78
2002-06-04,4715.439
2002-06-05,4653.241
2002-06-06,4669.31
2002-06-07,4598.349
2002-06-10,4595.946
2002-06-11,4645.838
2002-06-12,4570.012
2002-06-13,4499.185
2002-06-14,4384.156
2002-06-17,4505.03
2002-06-18,4503.209
2002-06-19,4457.051
2002-06-20,4393.829
2002-06-21,4405.354
2002-06-24,4327.347
2002-06-25,4402.699
2002-06-26,4384.353
2002-06-27,4398.705
2002-06-28,4549.674
2002-07-01,4574.951
2002-07-02,4418.914
2002-07-03,4267.441
2002-07-04,4339.023
2002-07-05,4490.943
2002-07-08,4532.914
2002-07-09,4513.498
2002-07-10,4377.963
2002-07-11,4221.292
2002-07-12,4226.716
2002-07-15,4067.745
2002-07-16,4101.483
2002-07-17,4235.008
2002-07-18,4318.366
2002-07-19,4139.648
2002-07-22,3902.588
2002-07-23,3769.726
2002-07-24,3715.24
2002-07-25,3892.03
2002-07-26,3883.658
2002-07-29,4065.859
2002-07-30,4078.653
2002-07-31,4075.602
2002-08-01,3917.812
2002-08-02,3905.091
2002-08-05,3787.979
2002-08-06,3870.274
2002-08-07,3839.426
2002-08-08,3977.516
2002-08-09,4048.073
2002-08-12,3983.052
2002-08-13,4025.633
2002-08-14,3970.627
2002-08-15,4069.75
2002-08-16,4100.857
2002-08-19,4214.108
2002-08-20,4167.52
2002-08-21,4221.813
2002-08-22,4279.492
2002-08-23,4224.371
2002-08-26,4201.358
2002-08-27,4315.228
2002-08-28,4149.224
2002-08-29,4090.553
2002-08-30,4103.932
2002-09-02,4044.541
2002-09-03,3922.887
2002-09-04,3919.673
2002-09-05,3878.581
2002-09-06,3973.159
2002-09-09,3899.006
2002-09-10,3978.718
2002-09-11,4036.266
2002-09-12,3908.316
2002-09-13,3836.628
2002-09-16,3814.315
2002-09-17,3764.281
2002-09-18,3640.378
2002-09-19,3584.679
2002-09-20,3596.994
2002-09-23,3459.393
2002-09-24,3394.91
2002-09-25,3433.24
2002-09-26,3577.739
2002-09-27,3567.464
2002-09-30,3430.97
2002-10-01,3461.91
2002-10-02,3548.909
2002-10-03,3501.678
2002-10-04,3405.636
2002-10-07,3354.697
2002-10-08,3295.287
2002-10-09,3294.736
2002-10-10,3373.493
2002-10-11,3566.89
2002-10-14,3512.219
2002-10-15,3732.15
2002-10-16,3680.415
2002-10-17,3766.482
2002-10-18,3761.25
2002-10-21,3774.059
2002-10-22,3737.203
2002-10-23,3623.345
2002-10-24,3726.737
2002-10-25,3703.904
2002-10-28,3776.242
2002-10-29,3621.004
2002-10-30,3710.423
2002-10-31,3786.507
2002-11-01,3761.615
2002-11-04,3897.724
2002-11-05,3936.685
2002-11-06,3873.004
2002-11-07,3839.642
2002-11-08,3805.926
2002-11-11,3775.159
2002-11-12,3834.545
2002-11-13,3799.319
2002-11-14,3859.678
2002-11-15,3907.024
2002-11-18,3963.91
2002-11-19,3949.346
2002-11-20,3915.647
2002-11-21,4042.393
2002-11-22,4063.828
2002-11-25,4011.517
2002-11-26,3929.473
2002-11-27,4006.898
2002-11-28,4080.785
2002-11-29,4076.096
2002-12-02,4083.265
2002-12-03,3994.693
2002-12-04,3966.744
2002-12-05,3925.59
2002-12-06,3932.724
2002-12-09,3833.8
2002-12-10,3855.88
2002-12-11,3904.588
2002-12-12,3859.034
2002-12-13,3820.732
2002-12-16,3939.434
2002-12-17,3918.761
2002-12-18,3832.733
2002-12-19,3803.645
2002-12-20,3849.348
2002-12-23,3856.701
2002-12-24,3866.931
2002-12-25,3866.931
2002-12-26,3871.866
2002-12-27,3779.146
2002-12-30,3836.271
2002-12-31,3875.841
2003-01-01,3875.841
2003-01-02,3961.293
2003-01-03,4009.369
2003-01-06,4050.056
2003-01-07,3997.904
2003-01-08,3922.415
2003-01-09,3976.26
2003-01-10,4021.019
2003-01-13,4038.621
2003-01-14,4072.763
2003-01-15,4015.461
2003-01-16,4018.322
2003-01-17,3944.52
2003-01-20,3890.659
2003-01-21,3851.702
2003-01-22,3786.949
2003-01-23,3785.734
2003-01-24,3772.87
2003-01-27,3651.067
2003-01-28,3654.475
2003-01-29,3656.362
2003-01-30,3712.401
2003-01-31,3709.267
2003-02-03,3783.441
2003-02-04,3700.468
2003-02-05,3772.265
2003-02-06,3691.663
2003-02-07,3654.275
2003-02-10,3605.449
2003-02-11,3677.437
2003-02-12,3624.448
2003-02-13,3645.255
2003-02-14,3690.186
2003-02-17,3748.671
2003-02-18,3751.374
2003-02-19,3682.848
2003-02-20,3680.646
2003-02-21,3698.306
2003-02-24,3620.969
2003-02-25,3503.471
2003-02-26,3483.0
2003-02-27,3505.72
2003-02-28,3579.189
2003-03-03,3610.048
2003-03-04,3537.709
2003-03-05,3532.362
2003-03-06,3503.288
2003-03-07,3446.109
2003-03-10,3351.545
2003-03-11,3354.845
2003-03-12,3229.146
2003-03-13,3386.694
2003-03-14,3507.461
2003-03-17,3599.506
2003-03-18,3598.488
2003-03-19,3629.664
2003-03-20,3613.725
2003-03-21,3717.8
2003-03-24,3597.296
2003-03-25,3635.903
2003-03-26,3633.724
2003-03-27,3579.378
2003-03-28,3574.196
2003-03-31,3500.359
2003-04-01,3543.302
2003-04-02,3627.83
2003-04-03,3655.275
2003-04-04,3686.414
2003-04-07,3797.702
2003-04-08,3745.335
2003-04-09,3746.988
2003-04-10,3727.36
2003-04-11,3739.192
2003-04-14,3791.368
2003-04-15,3864.911
2003-04-16,3852.236
2003-04-17,3888.967
2003-04-18,3888.967
2003-04-21,3861.93
