Date,EUROPE VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,121.354
1975-02-28,136.857
1975-03-31,130.551
1975-04-30,140.221
1975-05-30,137.333
1975-06-30,129.336
1975-07-31,124.064
1975-08-29,127.417
1975-09-30,121.766
1975-10-31,132.701
1975-11-28,137.198
1975-12-31,140.909
1976-01-30,147.934
1976-02-27,144.87
1976-03-31,142.583
1976-04-30,140.716
1976-05-31,134.64
1976-06-30,133.801
1976-07-30,130.922
1976-08-31,128.408
1976-09-30,124.996
1976-10-29,116.039
1976-11-30,121.062
1976-12-31,131.913
1977-01-31,133.078
1977-02-28,134.332
1977-03-31,137.37
1977-04-29,142.214
1977-05-31,141.983
1977-06-30,142.609
1977-07-29,140.758
1977-08-31,146.772
1977-09-30,152.797
1977-10-31,156.182
1977-11-30,153.201
1977-12-30,161.591
1978-01-31,161.95
1978-02-28,162.67
1978-03-31,168.352
1978-04-28,166.2
1978-05-31,171.058
1978-06-30,171.285
1978-07-31,183.546
1978-08-31,189.768
1978-09-29,197.931
1978-10-31,207.514
1978-11-30,190.938
1978-12-29,200.813
1979-01-31,202.072
1979-02-28,207.098
1979-03-30,219.04
1979-04-30,223.546
1979-05-31,213.008
1979-06-29,218.264
1979-07-31,220.199
1979-08-31,227.469
1979-09-28,237.806
1979-10-31,214.205
1979-11-30,221.397
1979-12-31,223.238
1980-01-31,232.856
1980-02-29,233.66
1980-03-31,203.138
1980-04-30,225.463
1980-05-30,227.919
1980-06-30,243.551
1980-07-31,246.111
1980-08-29,247.07
1980-09-30,244.951
1980-10-31,245.283
1980-11-28,237.405
1980-12-31,232.547
1981-01-30,223.829
1981-02-27,224.043
1981-03-31,230.986
1981-04-30,232.69
1981-05-29,213.342
1981-06-30,209.622
1981-07-31,200.642
1981-08-31,205.165
1981-09-30,185.667
1981-10-30,194.272
1981-11-30,218.048
1981-12-31,210.23
1982-01-29,211.547
1982-02-26,204.848
1982-03-31,204.062
1982-04-30,210.284
1982-05-31,208.495
1982-06-30,189.957
1982-07-30,190.752
1982-08-31,190.92
1982-09-30,191.79
1982-10-29,196.272
1982-11-30,197.351
1982-12-31,209.137
1983-01-31,214.498
1983-02-28,223.45
1983-03-31,235.805
1983-04-29,255.407
1983-05-31,252.833
1983-06-30,261.413
1983-07-29,256.246
1983-08-31,253.258
1983-09-30,257.06
1983-10-31,254.235
1983-11-30,261.654
1983-12-30,265.869
1984-01-31,282.86
