Date,ACWI SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,352.415
1994-06-30,353.094
1994-07-29,356.815
1994-08-31,369.554
1994-09-30,363.616
1994-10-31,369.117
1994-11-30,349.072
1994-12-30,353.808
1995-01-31,343.447
1995-02-28,344.871
1995-03-31,357.402
1995-04-28,363.994
1995-05-31,360.97
1995-06-30,366.918
1995-07-31,389.214
1995-08-31,386.2
1995-09-29,392.297
1995-10-31,379.88
1995-11-30,386.867
1995-12-29,396.37
1996-01-31,401.026
1996-02-29,410.898
1996-03-29,419.501
1996-04-30,443.22
1996-05-31,447.509
1996-06-28,438.226
1996-07-31,409.719
1996-08-30,421.299
1996-09-30,431.719
1996-10-31,423.273
1996-11-29,432.182
1996-12-31,426.299
1997-01-31,429.269
1997-02-28,423.694
1997-03-31,406.783
1997-04-30,403.362
1997-05-30,440.095
1997-06-30,455.021
1997-07-31,466.364
1997-08-29,456.039
1997-09-30,472.455
1997-10-31,443.595
1997-11-28,428.186
1997-12-31,422.407
1998-01-30,425.985
1998-02-27,461.961
1998-03-31,483.123
1998-04-30,491.115
1998-05-29,475.041
1998-06-30,471.427
1998-07-31,458.144
1998-08-31,373.808
1998-09-30,381.274
1998-10-30,408.395
1998-11-30,432.602
1998-12-31,460.505
1999-01-29,474.409
1999-02-26,451.333
1999-03-31,471.829
1999-04-30,500.697
1999-05-31,495.909
1999-06-30,531.977
1999-07-30,537.644
1999-08-31,547.458
1999-09-30,553.216
1999-10-29,574.96
1999-11-30,632.485
1999-12-31,720.758
2000-01-31,714.245
2000-02-29,840.436
2000-03-31,805.523
2000-04-28,708.996
2000-05-31,662.662
2000-06-30,723.108
2000-07-31,682.422
2000-08-31,732.071
2000-09-29,686.837
2000-10-31,624.857
2000-11-30,534.265
2000-12-29,550.571
2001-01-31,577.053
2001-02-28,512.438
2001-03-30,458.656
2001-04-30,504.832
2001-05-31,505.646
2001-06-29,493.724
2001-07-31,465.743
2001-08-31,443.081
2001-09-28,375.731
2001-10-31,405.142
2001-11-30,433.854
2001-12-31,445.528
2002-01-31,436.114
2002-02-28,424.108
2002-03-29,453.173
2002-04-30,446.603
2002-05-31,443.762
2002-06-28,410.425
2002-07-31,367.232
2002-08-30,364.72
2002-09-30,332.866
2002-10-31,350.323
2002-11-29,375.357
2002-12-31,355.818
2003-01-31,349.455
2003-02-28,343.068
2003-03-31,345.409
2003-04-30,374.581
2003-05-30,409.413
2003-06-30,417.954
2003-07-31,433.435
2003-08-29,456.247
2003-09-30,459.108
2003-10-31,498.025
2003-11-28,507.66
2003-12-31,524.264
2004-01-30,542.206
2004-02-27,552.302
2004-03-31,558.451
2004-04-30,539.348
2004-05-31,544.603
2004-06-30,560.786
2004-07-30,527.191
2004-08-31,524.15
2004-09-30,545.47
2004-10-29,563.132
2004-11-30,604.554
2004-12-31,631.267
2005-01-31,621.957
2005-02-28,644.452
2005-03-31,629.215
2005-04-29,604.523
2005-05-31,625.366
2005-06-30,641.591
2005-07-29,673.746
2005-08-31,680.384
2005-09-30,699.899
2005-10-31,676.15
2005-11-30,709.531
2005-12-30,736.888
2006-01-31,791.79
2006-02-28,784.056
2006-03-31,814.531
2006-04-28,838.922
2006-05-31,794.415
2006-06-30,785.441
2006-07-31,766.464
2006-08-31,787.998
2006-09-29,796.186
2006-10-31,830.547
2006-11-30,865.228
2006-12-29,878.866
2007-01-31,895.396
2007-02-28,903.017
2007-03-30,926.429
2007-04-30,964.696
2007-05-31,1000.0
2007-06-29,998.544
2007-07-31,983.648
2007-08-31,967.001
2007-09-28,1011.601
2007-10-31,1060.877
2007-11-30,992.154
2007-12-31,987.869
2008-01-31,888.505
2008-02-29,906.359
2008-03-31,885.617
2008-04-30,936.418
2008-05-30,971.32
2008-06-30,902.085
2008-07-31,858.95
2008-08-29,843.509
2008-09-30,700.719
2008-10-31,529.899
2008-11-28,487.106
2008-12-31,515.433
2009-01-30,484.658
2009-02-27,445.575
2009-03-31,481.58
2009-04-30,549.663
2009-05-29,602.489
2009-06-30,605.461
2009-07-31,653.976
2009-08-31,677.614
2009-09-30,719.929
2009-10-30,699.416
2009-11-30,724.034
2009-12-31,758.285
2010-01-29,728.684
2010-02-26,745.581
2010-03-31,800.08
2010-04-30,821.22
2010-05-31,744.212
2010-06-30,720.346
2010-07-30,776.488
2010-08-31,750.073
2010-09-30,840.784
2010-10-29,874.079
2010-11-30,877.816
2010-12-31,946.251
2011-01-31,950.507
2011-02-28,981.755
2011-03-31,999.362
2011-04-29,1041.415
2011-05-31,1024.352
2011-06-30,1004.092
2011-07-29,986.759
2011-08-31,909.513
2011-09-30,800.931
2011-10-31,898.482
2011-11-30,870.539
2011-12-30,855.957
2012-01-31,917.243
2012-02-29,964.165
2012-03-30,968.905
2012-04-30,963.118
2012-05-31,874.169
2012-06-29,902.793
2012-07-31,906.72
2012-08-31,936.888
2012-09-28,967.933
2012-10-31,956.648
2012-11-30,969.873
2012-12-31,993.73
2013-01-31,1040.063
2013-02-28,1047.216
2013-03-29,1076.872
2013-04-30,1092.221
2013-05-31,1104.156
2013-06-28,1074.202
2013-07-31,1134.872
2013-08-30,1116.093
2013-09-30,1188.764
2013-10-31,1218.378
2013-11-29,1232.851
2013-12-31,1261.536
2014-01-31,1230.959
2014-02-28,1302.91
2014-03-31,1289.061
2014-04-30,1273.383
2014-05-30,1298.272
2014-06-30,1338.784
2014-07-31,1299.653
2014-08-29,1339.455
2014-09-30,1276.558
2014-10-31,1289.584
2014-11-28,1305.881
2014-12-31,1298.551
2015-01-30,1283.029
2015-02-27,1364.63
2015-03-31,1364.062
2015-04-30,1390.976
2015-05-29,1404.579
2015-06-30,1385.878
2015-07-31,1390.338
2015-08-31,1309.198
2015-09-30,1252.536
2015-10-30,1333.283
2015-11-30,1341.167
2015-12-31,1316.904
2016-01-29,1212.948
2016-02-29,1216.998
2016-03-31,1315.25
2016-04-29,1334.535
2016-05-31,1346.534
2016-06-30,1325.399
2016-07-29,1396.335
2016-08-31,1390.533
2016-09-30,1406.891
2016-10-31,1354.176
2016-11-30,1366.841
2016-12-30,1376.329
2017-01-31,1423.93
2017-02-28,1457.308
2017-03-31,1480.039
2017-04-28,1515.369
2017-05-31,1547.771
2017-06-30,1557.734
2017-07-31,1595.29
2017-08-31,1605.036
2017-09-29,1648.109
2017-10-31,1684.887
2017-11-30,1722.738
2017-12-29,1754.921
2018-01-31,1844.879
2018-02-28,1774.932
2018-03-30,1768.427
2018-04-30,1772.718
2018-05-31,1811.702
2018-06-29,1798.311
2018-07-31,1823.717
2018-08-31,1861.675
2018-09-28,1841.169
2018-10-31,1640.194
2018-11-30,1654.037
2018-12-31,1528.732
2019-01-31,1671.469
2019-02-28,1738.761
2019-03-29,1750.844
2019-04-30,1809.256
2019-05-31,1711.172
2019-06-28,1824.635
2019-07-31,1834.109
2019-08-30,1786.178
2019-09-30,1796.221
2019-10-31,1849.095
2019-11-29,1913.855
2019-12-31,1968.403
2020-01-31,1951.276
2020-02-28,1791.438
2020-03-31,1505.209
2020-04-30,1711.418
2020-05-29,1862.417
2020-06-30,1924.793
2020-07-31,2052.079
2020-08-31,2145.041
2020-09-30,2116.94
2020-10-30,2097.76
2020-11-30,2368.28
2020-12-31,2528.671
2021-01-29,2541.609
2021-02-26,2600.15
2021-03-31,2595.565
2021-04-30,2718.42
2021-05-31,2725.101
2021-06-30,2792.459
2021-07-30,2796.496
2021-08-31,2870.328
2021-09-30,2753.901
2021-10-29,2869.821
2021-11-30,2756.265
2021-12-31,2815.07
2022-01-31,2503.015
2022-02-28,2479.385
2022-03-31,2506.199
2022-04-29,2264.364
2022-05-31,2227.573
2022-06-30,2019.366
2022-07-29,2202.972
2022-08-31,2133.187
2022-09-30,1915.531
2022-10-31,2022.263
2022-11-30,2170.81
2022-12-30,2099.128
2023-01-31,2284.146
2023-02-28,2230.577
2023-03-31,2249.876
2023-04-28,2246.073
2023-05-31,2217.391
2023-06-30,2342.45
2023-07-31,2439.493
2023-08-31,2350.872
2023-09-29,2226.235
2023-10-31,2084.739
2023-11-30,2308.678
2023-12-29,2485.425
2024-01-31,2429.434
2024-02-29,2562.098
2024-03-29,2622.811
2024-04-30,2497.367
2024-05-31,2572.309
2024-06-28,2571.426
2024-07-31,2660.377
2024-08-30,2702.832
2024-09-30,2781.292
2024-10-31,2699.919
2024-11-29,2855.015
2024-12-31,2720.367
2025-01-31,2821.551
2025-02-28,2729.8
2025-03-31,2621.241
2025-04-30,2705.432
2025-05-30,2898.084
2025-06-30,3057.275
