Date,ACWI SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,550.561
2001-01-02,531.306
2001-01-03,543.059
2001-01-04,539.392
2001-01-05,527.787
2001-01-08,522.278
2001-01-09,522.468
2001-01-10,530.091
2001-01-11,540.177
2001-01-12,546.255
2001-01-15,546.508
2001-01-16,547.736
2001-01-17,554.035
2001-01-18,560.393
2001-01-19,561.515
2001-01-22,561.52
2001-01-23,569.733
2001-01-24,569.525
2001-01-25,566.693
2001-01-26,566.215
2001-01-29,572.413
2001-01-30,575.955
2001-01-31,577.053
2001-02-01,577.284
2001-02-02,567.974
2001-02-05,564.101
2001-02-06,567.55
2001-02-07,561.595
2001-02-08,556.811
2001-02-09,551.347
2001-02-12,553.413
2001-02-13,549.095
2001-02-14,548.566
2001-02-15,553.293
2001-02-16,545.147
2001-02-19,543.269
2001-02-20,534.296
2001-02-21,525.274
2001-02-22,518.064
2001-02-23,517.847
2001-02-26,526.65
2001-02-27,520.608
2001-02-28,512.438
2001-03-01,508.977
2001-03-02,506.419
2001-03-05,505.117
2001-03-06,514.659
2001-03-07,516.795
2001-03-08,512.608
2001-03-09,503.157
2001-03-12,484.072
2001-03-13,480.647
2001-03-14,472.081
2001-03-15,469.942
2001-03-16,459.295
2001-03-19,464.502
2001-03-20,461.602
2001-03-21,453.713
2001-03-22,444.895
2001-03-23,458.001
2001-03-26,467.085
2001-03-27,471.407
2001-03-28,462.792
2001-03-29,456.407
2001-03-30,458.656
2001-04-02,448.571
2001-04-03,434.475
2001-04-04,433.966
2001-04-05,450.93
2001-04-06,447.167
2001-04-09,449.239
2001-04-10,459.148
2001-04-11,461.302
2001-04-12,470.44
2001-04-13,470.695
2001-04-16,466.255
2001-04-17,467.854
2001-04-18,485.665
2001-04-19,496.688
2001-04-20,494.712
2001-04-23,485.918
2001-04-24,483.933
2001-04-25,490.664
2001-04-26,495.939
2001-04-27,499.243
2001-04-30,504.832
2001-05-01,510.795
2001-05-02,515.341
2001-05-03,508.944
2001-05-04,512.765
2001-05-07,511.496
2001-05-08,510.706
2001-05-09,507.288
2001-05-10,506.577
2001-05-11,503.353
2001-05-14,498.938
2001-05-15,500.996
2001-05-16,508.175
2001-05-17,516.975
2001-05-18,517.578
2001-05-21,528.493
2001-05-22,530.062
2001-05-23,522.848
2001-05-24,524.266
2001-05-25,522.867
2001-05-28,522.564
2001-05-29,514.927
2001-05-30,503.774
2001-05-31,505.646
2001-06-01,508.589
2001-06-04,510.175
2001-06-05,516.935
2001-06-06,513.911
2001-06-07,517.15
2001-06-08,514.435
2001-06-11,506.239
2001-06-12,502.817
2001-06-13,501.851
2001-06-14,492.79
2001-06-15,490.237
2001-06-18,483.384
2001-06-19,481.723
2001-06-20,482.563
2001-06-21,484.491
2001-06-22,481.983
2001-06-25,482.138
2001-06-26,482.061
2001-06-27,482.495
2001-06-28,484.76
2001-06-29,493.724
2001-07-02,489.506
2001-07-03,487.102
2001-07-04,485.02
2001-07-05,477.914
2001-07-06,468.341
2001-07-09,467.281
2001-07-10,463.809
2001-07-11,460.474
2001-07-12,469.469
2001-07-13,469.838
2001-07-16,464.13
2001-07-17,465.021
2001-07-18,462.891
2001-07-19,465.366
2001-07-20,465.033
2001-07-23,459.793
2001-07-24,455.102
2001-07-25,457.511
2001-07-26,462.681
2001-07-27,465.67
2001-07-30,464.012
2001-07-31,465.743
2001-08-01,470.077
2001-08-02,473.239
2001-08-03,471.533
2001-08-06,466.728
2001-08-07,464.47
2001-08-08,458.483
2001-08-09,456.247
2001-08-10,456.676
2001-08-13,458.505
2001-08-14,460.121
2001-08-15,460.319
2001-08-16,458.072
2001-08-17,453.83
2001-08-20,451.753
2001-08-21,448.949
2001-08-22,452.256
2001-08-23,449.972
2001-08-24,455.645
2001-08-27,456.35
2001-08-28,451.25
2001-08-29,449.58
2001-08-30,443.363
2001-08-31,443.081
2001-09-03,439.937
2001-09-04,437.395
2001-09-05,431.035
2001-09-06,423.97
2001-09-07,420.105
2001-09-10,414.504
2001-09-11,410.065
2001-09-12,403.611
2001-09-13,403.984
2001-09-14,401.483
2001-09-17,383.419
2001-09-18,378.54
2001-09-19,375.567
2001-09-20,364.703
2001-09-21,355.274
2001-09-24,364.785
2001-09-25,368.521
2001-09-26,366.186
2001-09-27,367.436
2001-09-28,375.731
2001-10-01,371.871
2001-10-02,374.392
2001-10-03,382.478
2001-10-04,388.443
2001-10-05,388.529
2001-10-08,386.972
2001-10-09,386.523
2001-10-10,393.344
2001-10-11,402.86
2001-10-12,402.874
2001-10-15,402.283
2001-10-16,406.557
2001-10-17,403.218
2001-10-18,398.679
2001-10-19,400.309
2001-10-22,403.464
2001-10-23,405.244
2001-10-24,407.873
2001-10-25,413.171
2001-10-26,415.448
2001-10-29,410.146
2001-10-30,402.671
2001-10-31,405.142
2001-11-01,409.491
2001-11-02,409.461
2001-11-05,414.299
2001-11-06,418.66
2001-11-07,419.546
2001-11-08,418.428
2001-11-09,417.873
2001-11-12,417.559
2001-11-13,422.678
2001-11-14,425.978
2001-11-15,426.445
2001-11-16,428.345
2001-11-19,433.435
2001-11-20,428.953
2001-11-21,426.661
2001-11-22,427.585
2001-11-23,430.328
2001-11-26,436.367
2001-11-27,436.503
2001-11-28,429.992
2001-11-29,432.487
2001-11-30,433.854
2001-12-03,429.816
2001-12-04,436.678
2001-12-05,448.201
2001-12-06,451.023
2001-12-07,448.104
2001-12-10,442.86
2001-12-11,443.014
2001-12-12,444.421
2001-12-13,437.405
2001-12-14,436.663
2001-12-17,439.757
2001-12-18,441.767
2001-12-19,438.7
2001-12-20,433.974
2001-12-21,435.81
2001-12-24,435.909
2001-12-25,436.341
2001-12-26,438.688
2001-12-27,442.837
2001-12-28,446.43
2001-12-31,445.528
2002-01-01,445.54
2002-01-02,446.294
2002-01-03,451.703
2002-01-04,455.903
2002-01-07,453.455
2002-01-08,452.485
2002-01-09,451.932
2002-01-10,451.153
2002-01-11,448.04
2002-01-14,442.691
2002-01-15,442.27
2002-01-16,434.395
2002-01-17,437.564
2002-01-18,434.963
2002-01-21,435.32
2002-01-22,431.27
2002-01-23,435.833
2002-01-24,438.27
2002-01-25,437.032
2002-01-28,437.837
2002-01-29,432.617
2002-01-30,432.971
2002-01-31,436.114
2002-02-01,434.396
2002-02-04,426.939
2002-02-05,423.47
2002-02-06,420.568
2002-02-07,417.666
2002-02-08,422.713
2002-02-11,427.917
2002-02-12,428.989
2002-02-13,431.182
2002-02-14,430.597
2002-02-15,427.905
2002-02-18,427.399
2002-02-19,419.613
2002-02-20,420.607
2002-02-21,417.755
2002-02-22,418.409
2002-02-25,421.357
2002-02-26,423.824
2002-02-27,425.743
2002-02-28,424.108
2002-03-01,431.212
2002-03-04,443.753
2002-03-05,443.181
2002-03-06,447.763
2002-03-07,451.217
2002-03-08,454.946
2002-03-11,456.972
2002-03-12,452.46
2002-03-13,449.021
2002-03-14,450.581
2002-03-15,452.861
2002-03-18,455.018
2002-03-19,456.548
2002-03-20,453.243
2002-03-21,455.161
2002-03-22,453.02
2002-03-25,447.775
2002-03-26,448.734
2002-03-27,451.431
2002-03-28,453.59
2002-03-29,453.173
2002-04-01,453.531
2002-04-02,449.957
2002-04-03,447.215
2002-04-04,447.575
2002-04-05,447.391
2002-04-08,447.759
2002-04-09,445.653
2002-04-10,449.224
2002-04-11,444.558
2002-04-12,447.176
2002-04-15,448.239
2002-04-16,455.632
2002-04-17,457.265
2002-04-18,457.152
2002-04-19,457.012
2002-04-22,453.65
2002-04-23,452.137
2002-04-24,450.32
2002-04-25,450.099
2002-04-26,446.425
2002-04-29,443.209
2002-04-30,446.603
2002-05-01,448.363
2002-05-02,446.61
2002-05-03,445.23
2002-05-06,440.905
2002-05-07,437.253
2002-05-08,447.426
2002-05-09,443.678
2002-05-10,440.252
2002-05-13,443.408
2002-05-14,448.753
