Date,ACWI SMID GROWTH SMID (Small+Mid Cap)
2002-02-07,413.577
2002-02-08,418.575
2002-02-11,423.73
2002-02-12,424.792
2002-02-13,426.966
2002-02-14,426.387
2002-02-15,423.722
2002-02-18,423.223
2002-02-19,415.514
2002-02-20,416.499
2002-02-21,413.675
2002-02-22,414.323
2002-02-25,417.246
2002-02-26,419.69
2002-02-27,421.591
2002-02-28,419.974
2002-03-01,427.009
2002-03-04,439.43
2002-03-05,438.867
2002-03-06,443.405
2002-03-07,446.827
2002-03-08,450.522
2002-03-11,452.529
2002-03-12,448.061
2002-03-13,444.659
2002-03-14,446.207
2002-03-15,448.467
2002-03-18,450.608
2002-03-19,452.124
2002-03-20,448.853
2002-03-21,450.753
2002-03-22,448.637
2002-03-25,443.444
2002-03-26,444.427
2002-03-27,447.103
2002-03-28,449.246
2002-03-29,448.833
2002-04-01,449.188
2002-04-02,445.651
2002-04-03,442.937
2002-04-04,443.294
2002-04-05,443.112
2002-04-08,443.478
2002-04-09,441.396
2002-04-10,444.936
2002-04-11,440.324
2002-04-12,442.919
2002-04-15,443.972
2002-04-16,451.295
2002-04-17,452.917
2002-04-18,452.806
2002-04-19,452.671
2002-04-22,449.345
2002-04-23,447.846
2002-04-24,446.049
2002-04-25,445.834
2002-04-26,442.196
2002-04-29,439.012
2002-04-30,442.378
2002-05-01,444.121
2002-05-02,442.385
2002-05-03,441.021
2002-05-06,436.741
2002-05-07,433.126
2002-05-08,443.206
2002-05-09,439.501
2002-05-10,436.109
2002-05-13,439.242
2002-05-14,444.538
2002-05-15,447.128
2002-05-16,446.551
2002-05-17,450.165
2002-05-20,447.105
2002-05-21,443.041
2002-05-22,442.956
2002-05-23,444.548
2002-05-24,442.663
2002-05-27,442.288
2002-05-28,442.304
2002-05-29,439.94
2002-05-30,439.828
2002-05-31,439.659
2002-06-03,432.184
2002-06-04,430.186
2002-06-05,430.818
2002-06-06,426.634
2002-06-07,425.972
2002-06-10,426.143
2002-06-11,421.206
2002-06-12,418.95
2002-06-13,414.479
2002-06-14,412.241
2002-06-17,419.514
2002-06-18,419.604
2002-06-19,413.859
2002-06-20,409.115
2002-06-21,405.474
2002-06-24,404.019
2002-06-25,399.324
2002-06-26,397.54
2002-06-27,401.881
2002-06-28,406.676
2002-07-01,398.773
2002-07-02,388.236
2002-07-03,386.98
2002-07-04,387.518
2002-07-05,399.471
2002-07-08,396.579
2002-07-09,391.699
2002-07-10,382.663
2002-07-11,380.004
2002-07-12,380.808
2002-07-15,377.757
2002-07-16,375.529
2002-07-17,378.222
2002-07-18,374.401
2002-07-19,365.904
2002-07-22,355.037
2002-07-23,346.66
2002-07-24,353.284
2002-07-25,351.821
2002-07-26,349.796
2002-07-29,363.462
2002-07-30,366.96
2002-07-31,363.901
2002-08-01,355.929
2002-08-02,348.915
2002-08-05,338.825
2002-08-06,343.641
2002-08-07,347.109
2002-08-08,353.497
2002-08-09,355.87
2002-08-12,354.519
2002-08-13,349.65
2002-08-14,357.771
2002-08-15,363.281
2002-08-16,366.458
2002-08-19,371.343
2002-08-20,368.225
2002-08-21,373.402
2002-08-22,377.543
2002-08-23,371.661
2002-08-26,373.791
2002-08-27,369.553
2002-08-28,362.127
2002-08-29,362.84
2002-08-30,361.447
2002-09-02,360.423
2002-09-03,350.982
2002-09-04,354.042
2002-09-05,349.266
2002-09-06,355.192
2002-09-09,356.187
2002-09-10,359.027
2002-09-11,360.261
2002-09-12,354.356
2002-09-13,353.365
2002-09-16,350.793
2002-09-17,347.193
2002-09-18,344.605
2002-09-19,337.698
2002-09-20,336.953
2002-09-23,330.261
2002-09-24,325.814
2002-09-25,332.257
2002-09-26,336.672
2002-09-27,333.9
2002-09-30,329.926
2002-10-01,332.798
2002-10-02,328.932
2002-10-03,325.064
2002-10-04,318.814
2002-10-07,311.483
2002-10-08,313.06
2002-10-09,307.942
2002-10-10,313.058
2002-10-11,322.894
2002-10-14,325.094
2002-10-15,337.862
2002-10-16,332.129
2002-10-17,341.136
2002-10-18,342.213
2002-10-21,347.286
2002-10-22,342.624
2002-10-23,345.141
2002-10-24,343.075
2002-10-25,346.823
2002-10-28,346.368
2002-10-29,342.078
2002-10-30,346.315
2002-10-31,347.251
2002-11-01,352.248
2002-11-04,357.397
2002-11-05,358.234
2002-11-06,361.873
2002-11-07,356.466
2002-11-08,352.332
2002-11-11,344.704
2002-11-12,348.608
2002-11-13,348.181
