Date,ACWI SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,346.669
1994-06-30,347.409
1994-07-29,351.113
1994-08-31,363.664
1994-09-30,357.844
1994-10-31,363.271
1994-11-30,343.554
1994-12-30,348.225
1995-01-31,338.037
1995-02-28,339.45
1995-03-31,351.829
1995-04-28,358.354
1995-05-31,355.472
1995-06-30,361.418
1995-07-31,383.425
1995-08-31,380.474
1995-09-29,386.508
1995-10-31,374.285
1995-11-30,381.185
1995-12-29,390.562
1996-01-31,395.158
1996-02-29,404.898
1996-03-29,413.419
1996-04-30,436.844
1996-05-31,441.149
1996-06-28,432.07
1996-07-31,404.003
1996-08-30,415.431
1996-09-30,425.742
1996-10-31,417.43
1996-11-29,426.224
1996-12-31,420.434
1997-01-31,423.373
1997-02-28,417.896
1997-03-31,401.262
1997-04-30,397.933
1997-05-30,434.251
1997-06-30,449.034
1997-07-31,460.268
1997-08-29,450.086
1997-09-30,466.327
1997-10-31,437.864
1997-11-28,422.664
1997-12-31,416.969
1998-01-30,420.51
1998-02-27,456.033
1998-03-31,476.976
1998-04-30,484.926
1998-05-29,469.129
1998-06-30,465.634
1998-07-31,452.554
1998-08-31,369.254
1998-09-30,376.66
1998-10-30,403.464
1998-11-30,427.391
1998-12-31,454.986
1999-01-29,468.737
1999-02-26,445.944
1999-03-31,466.264
1999-04-30,494.83
1999-05-31,490.135
1999-06-30,525.818
1999-07-30,531.436
1999-08-31,541.151
1999-09-30,546.878
1999-10-29,568.384
1999-11-30,625.261
1999-12-31,712.541
2000-01-31,706.117
2000-02-29,830.883
2000-03-31,796.437
2000-04-28,701.072
2000-05-31,655.318
2000-06-30,715.121
2000-07-31,674.911
2000-08-31,724.03
2000-09-29,679.336
2000-10-31,618.043
2000-11-30,528.451
2000-12-29,544.597
2001-01-31,570.809
2001-02-28,506.913
2001-03-30,453.784
2001-04-30,499.531
2001-05-31,500.452
2001-06-29,488.707
2001-07-31,461.044
2001-08-31,438.631
2001-09-28,371.995
2001-10-31,401.127
2001-11-30,429.571
2001-12-31,441.152
2002-01-31,431.843
2002-02-28,419.974
2002-03-29,448.833
2002-04-30,442.378
2002-05-31,439.659
2002-06-28,406.676
2002-07-31,363.901
2002-08-30,361.447
2002-09-30,329.926
2002-10-31,347.251
2002-11-29,372.095
2002-12-31,352.758
2003-01-31,346.475
2003-02-28,340.173
2003-03-31,342.606
2003-04-30,371.641
2003-05-30,406.302
2003-06-30,414.847
2003-07-31,430.258
2003-08-29,452.945
2003-09-30,455.848
2003-10-31,494.523
2003-11-28,504.132
2003-12-31,520.68
2004-01-30,538.531
2004-02-27,548.603
2004-03-31,554.835
2004-04-30,535.965
2004-05-31,541.346
2004-06-30,557.515
2004-07-30,524.157
2004-08-31,521.216
2004-09-30,542.498
2004-10-29,560.094
2004-11-30,601.356
2004-12-31,628.036
2005-01-31,618.811
2005-02-28,641.28
2005-03-31,626.255
2005-04-29,601.795
2005-05-31,622.802
2005-06-30,639.074
2005-07-29,671.164
2005-08-31,677.883
2005-09-30,697.428
2005-10-31,673.807
2005-11-30,707.181
2005-12-30,734.558
2006-01-31,789.346
2006-02-28,781.756
2006-03-31,812.336
2006-04-28,836.837
2006-05-31,792.772
2006-06-30,783.957
2006-07-31,765.121
2006-08-31,786.733
2006-09-29,795.041
2006-10-31,829.429
2006-11-30,864.165
2006-12-29,877.93
2007-01-31,894.51
2007-02-28,902.252
2007-03-30,925.879
2007-04-30,964.32
2007-05-31,1000.0
2007-06-29,998.668
2007-07-31,983.872
2007-08-31,967.388
2007-09-28,1012.143
2007-10-31,1061.531
2007-11-30,992.91
2007-12-31,988.74
2008-01-31,889.346
2008-02-29,907.373
2008-03-31,886.898
2008-04-30,938.147
2008-05-30,973.574
2008-06-30,904.373
2008-07-31,861.255
2008-08-29,845.926
2008-09-30,702.883
2008-10-31,531.583
2008-11-28,488.769
2008-12-31,517.298
2009-01-30,486.462
2009-02-27,447.328
2009-03-31,483.644
2009-04-30,552.17
2009-05-29,605.565
2009-06-30,608.68
2009-07-31,657.535
2009-08-31,681.406
2009-09-30,724.058
2009-10-30,703.456
2009-11-30,728.314
2009-12-31,762.865
2010-01-29,733.112
