Date,IRELAND IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,328.835
2001-01-02,335.21
2001-01-03,330.363
2001-01-04,335.557
2001-01-05,336.015
2001-01-08,331.028
2001-01-09,327.948
2001-01-10,322.562
2001-01-11,326.535
2001-01-12,324.427
2001-01-15,320.824
2001-01-16,320.193
2001-01-17,318.185
2001-01-18,323.821
2001-01-19,319.946
2001-01-22,320.262
2001-01-23,321.243
2001-01-24,318.841
2001-01-25,321.776
2001-01-26,321.767
2001-01-29,322.307
2001-01-30,325.547
2001-01-31,330.284
2001-02-01,331.03
2001-02-02,326.29
2001-02-05,326.81
2001-02-06,325.8
2001-02-07,325.898
2001-02-08,319.911
2001-02-09,317.561
2001-02-12,317.867
2001-02-13,313.726
2001-02-14,309.834
2001-02-15,308.79
2001-02-16,314.712
2001-02-19,313.3
2001-02-20,314.361
2001-02-21,313.972
2001-02-22,314.664
2001-02-23,316.7
2001-02-26,311.735
2001-02-27,319.264
2001-02-28,318.187
2001-03-01,320.815
2001-03-02,319.361
2001-03-05,320.771
2001-03-06,317.062
2001-03-07,319.698
2001-03-08,322.368
2001-03-09,318.831
2001-03-12,315.722
2001-03-13,309.068
2001-03-14,304.294
2001-03-15,295.345
2001-03-16,288.22
2001-03-19,289.547
2001-03-20,292.628
2001-03-21,282.487
2001-03-22,264.929
2001-03-23,273.506
2001-03-26,283.762
2001-03-27,292.85
2001-03-28,287.289
2001-03-29,280.456
2001-03-30,286.57
2001-04-02,288.759
2001-04-03,283.874
2001-04-04,288.102
2001-04-05,288.992
2001-04-06,292.916
2001-04-09,298.895
2001-04-10,299.62
2001-04-11,298.968
2001-04-12,302.642
2001-04-13,302.642
2001-04-16,299.543
2001-04-17,297.337
2001-04-18,296.068
2001-04-19,300.722
2001-04-20,306.958
2001-04-23,307.007
2001-04-24,306.766
2001-04-25,306.212
2001-04-26,310.428
2001-04-27,310.035
2001-04-30,313.213
2001-05-01,312.568
2001-05-02,316.511
2001-05-03,316.405
2001-05-04,318.952
2001-05-07,317.651
2001-05-08,320.684
2001-05-09,320.899
2001-05-10,322.467
2001-05-11,323.625
2001-05-14,323.8
2001-05-15,322.385
2001-05-16,322.947
2001-05-17,327.473
2001-05-18,328.012
2001-05-21,330.183
2001-05-22,330.873
2001-05-23,328.427
2001-05-24,320.9
2001-05-25,319.889
2001-05-28,319.626
2001-05-29,317.936
2001-05-30,317.977
2001-05-31,315.2
2001-06-01,317.612
2001-06-04,318.044
2001-06-05,322.814
2001-06-06,321.701
2001-06-07,323.301
2001-06-08,320.95
2001-06-11,315.239
2001-06-12,315.783
2001-06-13,318.592
2001-06-14,319.094
2001-06-15,320.718
2001-06-18,322.679
2001-06-19,322.737
2001-06-20,320.727
2001-06-21,322.953
2001-06-22,324.401
2001-06-25,327.803
2001-06-26,321.508
2001-06-27,322.933
2001-06-28,318.8
2001-06-29,319.66
2001-07-02,321.187
2001-07-03,325.239
2001-07-04,323.581
2001-07-05,314.944
2001-07-06,314.562
2001-07-09,319.71
2001-07-10,324.438
2001-07-11,321.877
2001-07-12,322.507
2001-07-13,323.926
2001-07-16,327.407
2001-07-17,324.341
2001-07-18,331.985
2001-07-19,330.561
2001-07-20,330.775
2001-07-23,330.14
2001-07-24,330.442
2001-07-25,326.16
2001-07-26,322.39
2001-07-27,322.326
2001-07-30,319.345
2001-07-31,318.962
2001-08-01,321.496
2001-08-02,324.082
2001-08-03,326.885
2001-08-06,325.226
2001-08-07,325.993
2001-08-08,323.785
2001-08-09,319.688
2001-08-10,322.121
2001-08-13,323.661
2001-08-14,326.335
2001-08-15,332.019
2001-08-16,334.852
2001-08-17,333.639
2001-08-20,333.648
2001-08-21,338.855
2001-08-22,339.608
2001-08-23,337.652
2001-08-24,336.128
2001-08-27,334.247
2001-08-28,334.89
2001-08-29,334.145
2001-08-30,329.087
2001-08-31,327.337
2001-09-03,325.679
2001-09-04,319.206
2001-09-05,316.542
2001-09-06,315.64
2001-09-07,314.79
2001-09-10,307.03
2001-09-11,301.891
2001-09-12,298.956
2001-09-13,298.133
2001-09-14,299.324
2001-09-17,293.526
2001-09-18,292.01
2001-09-19,290.044
2001-09-20,275.63
2001-09-21,262.186
2001-09-24,271.503
2001-09-25,267.755
2001-09-26,272.611
2001-09-27,274.658
2001-09-28,275.794
2001-10-01,274.81
2001-10-02,271.665
2001-10-03,271.391
2001-10-04,281.405
2001-10-05,293.106
2001-10-08,287.728
2001-10-09,288.367
2001-10-10,290.206
2001-10-11,288.563
2001-10-12,294.645
2001-10-15,295.605
