Date,IRELAND IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,81.26
1994-06-30,81.35
1994-07-29,86.365
1994-08-31,91.251
1994-09-30,89.946
1994-10-31,94.19
1994-11-30,90.5
1994-12-30,93.356
1995-01-31,91.504
1995-02-28,96.568
1995-03-31,100.394
1995-04-28,104.834
1995-05-31,108.16
1995-06-30,112.419
1995-07-31,115.823
1995-08-31,114.336
1995-09-29,119.858
1995-10-31,120.328
1995-11-30,123.265
1995-12-29,123.861
1996-01-31,125.681
1996-02-29,124.178
1996-03-29,124.336
1996-04-30,129.93
1996-05-31,133.488
1996-06-28,133.597
1996-07-31,131.904
1996-08-30,138.534
1996-09-30,144.799
1996-10-31,151.972
1996-11-29,158.885
1996-12-31,162.832
1997-01-31,163.706
1997-02-28,176.921
1997-03-31,175.038
1997-04-30,175.279
1997-05-30,188.888
1997-06-30,192.359
1997-07-31,214.18
1997-08-29,204.538
1997-09-30,212.303
1997-10-31,208.391
1997-11-28,213.296
1997-12-31,231.797
1998-01-30,248.046
1998-02-27,296.246
1998-03-31,301.477
1998-04-30,328.757
1998-05-29,311.237
1998-06-30,323.998
1998-07-31,325.967
1998-08-31,277.92
1998-09-30,293.417
1998-10-30,302.237
1998-11-30,319.785
1998-12-31,333.608
1999-01-29,330.868
1999-02-26,337.402
1999-03-31,336.432
1999-04-30,347.862
1999-05-31,324.785
1999-06-30,297.562
1999-07-30,322.432
1999-08-31,314.24
1999-09-30,306.69
1999-10-29,294.274
1999-11-30,305.783
1999-12-31,298.494
2000-01-31,272.278
2000-02-29,257.557
2000-03-31,283.583
2000-04-28,271.794
2000-05-31,253.746
2000-06-30,253.88
2000-07-31,238.888
2000-08-31,247.01
2000-09-29,291.507
2000-10-31,280.203
2000-11-30,287.935
2000-12-29,333.568
2001-01-31,335.037
2001-02-28,322.766
2001-03-30,290.694
2001-04-30,317.554
2001-05-31,319.28
2001-06-29,323.78
2001-07-31,323.056
2001-08-31,331.351
2001-09-28,279.176
2001-10-31,298.886
2001-11-30,315.289
2001-12-31,333.33
2002-01-31,321.159
2002-02-28,329.933
2002-03-29,358.666
2002-04-30,378.829
2002-05-31,404.322
2002-06-28,376.447
2002-07-31,325.301
2002-08-30,344.53
2002-09-30,300.457
2002-10-31,334.537
2002-11-29,350.517
2002-12-31,330.716
2003-01-31,335.421
2003-02-28,317.307
2003-03-31,348.095
2003-04-30,380.865
2003-05-30,391.524
2003-06-30,387.291
2003-07-31,394.257
2003-08-29,401.933
2003-09-30,412.557
2003-10-31,422.058
2003-11-28,432.246
2003-12-31,476.549
2004-01-30,498.289
2004-02-27,479.405
2004-03-31,483.55
2004-04-30,482.774
2004-05-31,486.204
2004-06-30,517.433
2004-07-30,500.646
2004-08-31,519.449
2004-09-30,543.024
2004-10-29,565.887
2004-11-30,618.661
2004-12-31,664.099
2005-01-31,637.272
2005-02-28,646.393
2005-03-31,611.317
2005-04-29,598.144
2005-05-31,611.839
2005-06-30,641.929
2005-07-29,655.903
2005-08-31,654.57
2005-09-30,655.777
2005-10-31,636.515
2005-11-30,652.803
2005-12-30,677.135
2006-01-31,722.914
2006-02-28,750.42
2006-03-31,777.33
2006-04-28,794.261
2006-05-31,775.953
2006-06-30,782.699
2006-07-31,778.629
2006-08-31,843.028
2006-09-29,855.552
2006-10-31,881.818
2006-11-30,924.534
2006-12-29,990.175
2007-01-31,954.301
2007-02-28,984.072
2007-03-30,973.63
2007-04-30,983.809
2007-05-31,1000.0
2007-06-29,942.943
2007-07-31,895.65
2007-08-31,881.856
2007-09-28,853.878
2007-10-31,880.304
2007-11-30,794.224
2007-12-31,775.241
2008-01-31,765.256
2008-02-29,749.447
2008-03-31,778.257
2008-04-30,755.753
2008-05-30,737.823
2008-06-30,533.79
2008-07-31,463.849
2008-08-29,471.448
2008-09-30,327.328
2008-10-31,192.761
2008-11-28,124.387
2008-12-31,123.678
2009-01-30,105.173
2009-02-27,83.618
2009-03-31,102.625
2009-04-30,131.831
2009-05-29,140.248
2009-06-30,139.906
2009-07-31,147.032
2009-08-31,173.497
2009-09-30,197.173
2009-10-30,158.619
2009-11-30,155.415
2009-12-31,145.938
2010-01-29,138.816
2010-02-26,121.644
2010-03-31,145.244
2010-04-30,152.987
2010-05-31,111.991
2010-06-30,103.798
2010-07-30,123.472
2010-08-31,110.858
2010-09-30,110.144
2010-10-29,104.876
2010-11-30,82.965
2010-12-31,96.812
2011-01-31,98.32
2011-02-28,106.237
2011-03-31,103.462
2011-04-29,112.27
2011-05-31,99.886
2011-06-30,99.118
2011-07-29,90.106
