Date,IRELAND IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,80.107
1994-06-30,80.196
1994-07-29,85.139
1994-08-31,89.957
1994-09-30,88.67
1994-10-31,92.854
1994-11-30,89.216
1994-12-30,92.032
1995-01-31,90.206
1995-02-28,95.198
1995-03-31,98.97
1995-04-28,103.347
1995-05-31,106.626
1995-06-30,110.824
1995-07-31,114.18
1995-08-31,112.714
1995-09-29,118.158
1995-10-31,118.621
1995-11-30,121.516
1995-12-29,122.104
1996-01-31,123.898
1996-02-29,122.417
1996-03-29,122.572
1996-04-30,128.087
1996-05-31,131.594
1996-06-28,131.702
1996-07-31,130.033
1996-08-30,136.569
1996-09-30,142.744
1996-10-31,149.816
1996-11-29,156.631
1996-12-31,160.522
1997-01-31,161.384
1997-02-28,174.411
1997-03-31,172.555
1997-04-30,172.792
1997-05-30,186.208
1997-06-30,189.63
1997-07-31,211.142
1997-08-29,201.636
1997-09-30,209.291
1997-10-31,205.434
1997-11-28,210.27
1997-12-31,228.509
1998-01-30,244.527
1998-02-27,292.043
1998-03-31,297.2
1998-04-30,324.092
1998-05-29,306.821
1998-06-30,319.401
1998-07-31,321.342
1998-08-31,273.977
1998-09-30,289.254
1998-10-30,297.949
1998-11-30,315.249
1998-12-31,328.875
1999-01-29,326.174
1999-02-26,332.615
1999-03-31,331.659
1999-04-30,342.927
1999-05-31,320.177
1999-06-30,293.34
1999-07-30,317.858
1999-08-31,309.782
1999-09-30,302.339
1999-10-29,290.099
1999-11-30,301.444
1999-12-31,294.259
2000-01-31,268.415
2000-02-29,253.903
2000-03-31,279.56
2000-04-28,267.938
2000-05-31,250.146
2000-06-30,250.278
2000-07-31,235.499
2000-08-31,243.506
2000-09-29,287.371
2000-10-31,276.228
2000-11-30,283.85
2000-12-29,328.835
2001-01-31,330.284
2001-02-28,318.187
2001-03-30,286.57
2001-04-30,313.213
2001-05-31,315.2
2001-06-29,319.66
2001-07-31,318.962
2001-08-31,327.337
2001-09-28,275.794
2001-10-31,295.266
2001-11-30,311.47
2001-12-31,329.293
2002-01-31,317.269
2002-02-28,325.937
2002-03-29,354.321
2002-04-30,374.24
2002-05-31,399.424
2002-06-28,371.887
2002-07-31,321.361
2002-08-30,340.357
2002-09-30,296.818
2002-10-31,330.485
2002-11-29,346.271
2002-12-31,326.71
2003-01-31,331.358
2003-02-28,313.464
2003-03-31,343.879
2003-04-30,376.251
2003-05-30,386.782
2003-06-30,382.6
2003-07-31,389.481
2003-08-29,397.065
2003-09-30,407.56
2003-10-31,416.946
2003-11-28,427.01
2003-12-31,470.777
2004-01-30,492.254
2004-02-27,473.598
2004-03-31,477.693
2004-04-30,476.926
2004-05-31,480.315
2004-06-30,511.165
2004-07-30,494.582
2004-08-31,513.157
2004-09-30,536.446
2004-10-29,559.033
2004-11-30,611.167
2004-12-31,656.055
2005-01-31,629.553
2005-02-28,638.563
2005-03-31,603.913
2005-04-29,590.899
2005-05-31,604.428
2005-06-30,634.154
2005-07-29,648.013
2005-08-31,647.354
2005-09-30,648.65
2005-10-31,629.813
2005-11-30,646.034
2005-12-30,670.7
2006-01-31,716.043
2006-02-28,743.352
2006-03-31,771.275
2006-04-28,788.627
2006-05-31,770.737
2006-06-30,778.907
2006-07-31,774.857
2006-08-31,839.931
2006-09-29,852.493
2006-10-31,878.683
2006-11-30,922.216
2006-12-29,987.743
