Date,ACWI SMALL CAP Small Cap
2001-01-01,400.544
2001-01-02,392.802
2001-01-03,398.761
2001-01-04,397.538
2001-01-05,392.454
2001-01-08,390.195
2001-01-09,389.218
2001-01-10,392.663
2001-01-11,397.042
2001-01-12,399.667
2001-01-15,399.465
2001-01-16,402.967
2001-01-17,404.561
2001-01-18,408.033
2001-01-19,407.733
2001-01-22,408.412
2001-01-23,412.917
2001-01-24,412.064
2001-01-25,411.428
2001-01-26,410.572
2001-01-29,414.223
2001-01-30,416.868
2001-01-31,418.16
2001-02-01,419.834
2001-02-02,416.356
2001-02-05,415.365
2001-02-06,416.583
2001-02-07,414.789
2001-02-08,411.85
2001-02-09,409.568
2001-02-12,412.507
2001-02-13,411.264
2001-02-14,410.743
2001-02-15,412.604
2001-02-16,409.217
2001-02-19,408.612
2001-02-20,404.977
2001-02-21,399.518
2001-02-22,395.097
2001-02-23,394.796
2001-02-26,400.136
2001-02-27,398.032
2001-02-28,394.632
2001-03-01,393.243
2001-03-02,393.615
2001-03-05,392.819
2001-03-06,397.331
2001-03-07,398.568
2001-03-08,398.026
2001-03-09,394.302
2001-03-12,383.94
2001-03-13,380.575
2001-03-14,374.382
2001-03-15,373.067
2001-03-16,367.106
2001-03-19,369.572
2001-03-20,368.276
2001-03-21,363.836
2001-03-22,357.324
2001-03-23,364.577
2001-03-26,369.837
2001-03-27,372.365
2001-03-28,368.148
2001-03-29,365.122
2001-03-30,367.498
2001-04-02,361.856
2001-04-03,355.268
2001-04-04,355.516
2001-04-05,364.399
2001-04-06,362.054
2001-04-09,363.28
2001-04-10,367.753
2001-04-11,368.081
2001-04-12,372.803
2001-04-13,373.062
2001-04-16,370.771
2001-04-17,371.931
2001-04-18,379.022
2001-04-19,384.71
2001-04-20,384.042
2001-04-23,381.377
2001-04-24,381.622
2001-04-25,385.794
2001-04-26,389.511
2001-04-27,390.804
2001-04-30,392.776
2001-05-01,397.179
2001-05-02,399.284
2001-05-03,397.503
2001-05-04,400.043
2001-05-07,399.366
2001-05-08,398.668
2001-05-09,397.531
2001-05-10,398.16
2001-05-11,396.75
2001-05-14,394.972
2001-05-15,396.879
2001-05-16,400.001
2001-05-17,405.096
2001-05-18,405.61
2001-05-21,410.621
2001-05-22,411.148
2001-05-23,408.378
2001-05-24,408.907
2001-05-25,408.467
2001-05-28,408.283
2001-05-29,405.112
2001-05-30,400.073
2001-05-31,400.54
2001-06-01,402.374
2001-06-04,404.005
2001-06-05,406.875
2001-06-06,405.25
2001-06-07,406.868
2001-06-08,405.973
2001-06-11,402.402
2001-06-12,400.593
2001-06-13,400.816
2001-06-14,396.318
2001-06-15,394.069
2001-06-18,390.036
2001-06-19,388.266
2001-06-20,388.043
2001-06-21,389.609
2001-06-22,388.249
2001-06-25,388.251
2001-06-26,389.371
2001-06-27,390.123
2001-06-28,390.253
2001-06-29,397.2
2001-07-02,393.422
2001-07-03,392.663
2001-07-04,391.52
2001-07-05,388.109
2001-07-06,383.263
2001-07-09,382.403
2001-07-10,380.772
2001-07-11,378.649
2001-07-12,383.976
2001-07-13,384.013
2001-07-16,381.563
2001-07-17,382.298
2001-07-18,381.632
2001-07-19,382.94
2001-07-20,383.054
2001-07-23,379.23
2001-07-24,376.194
2001-07-25,377.418
2001-07-26,380.397
2001-07-27,381.13
2001-07-30,380.194
2001-07-31,381.473
2001-08-01,384.674
2001-08-02,386.751
2001-08-03,386.092
2001-08-06,382.784
2001-08-07,381.85
2001-08-08,379.16
2001-08-09,378.534
2001-08-10,380.021
2001-08-13,380.484
2001-08-14,382.646
2001-08-15,384.84
2001-08-16,385.225
2001-08-17,383.153
2001-08-20,382.063
2001-08-21,381.146
2001-08-22,383.378
2001-08-23,381.367
2001-08-24,383.875
2001-08-27,383.561
2001-08-28,380.993
2001-08-29,380.33
2001-08-30,376.693
2001-08-31,376.14
2001-09-03,373.847
2001-09-04,372.204
2001-09-05,368.615
2001-09-06,364.19
2001-09-07,360.884
2001-09-10,355.502
2001-09-11,353.557
2001-09-12,347.276
2001-09-13,347.678
2001-09-14,347.01
2001-09-17,333.169
2001-09-18,331.702
2001-09-19,329.591
2001-09-20,320.647
2001-09-21,312.465
2001-09-24,319.248
2001-09-25,322.206
2001-09-26,320.934
2001-09-27,321.518
2001-09-28,327.973
2001-10-01,326.186
2001-10-02,327.974
2001-10-03,332.358
2001-10-04,335.8
2001-10-05,335.65
2001-10-08,333.624
2001-10-09,333.043
2001-10-10,337.065
2001-10-11,342.272
2001-10-12,341.946
2001-10-15,342.578
2001-10-16,345.293
2001-10-17,343.38
2001-10-18,340.265
2001-10-19,341.052
2001-10-22,342.8
