Date,ACWI SMALL CAP Small Cap
2001-01-01,409.028
2001-01-02,401.118
2001-01-03,407.204
2001-01-04,405.952
2001-01-05,400.76
2001-01-08,398.452
2001-01-09,397.454
2001-01-10,400.97
2001-01-11,405.44
2001-01-12,408.121
2001-01-15,407.913
2001-01-16,411.488
2001-01-17,413.116
2001-01-18,416.661
2001-01-19,416.354
2001-01-22,417.046
2001-01-23,421.646
2001-01-24,420.775
2001-01-25,420.125
2001-01-26,419.25
2001-01-29,422.977
2001-01-30,425.676
2001-01-31,426.995
2001-02-01,428.703
2001-02-02,425.15
2001-02-05,424.138
2001-02-06,425.379
2001-02-07,423.546
2001-02-08,420.544
2001-02-09,418.214
2001-02-12,421.214
2001-02-13,419.942
2001-02-14,419.407
2001-02-15,421.306
2001-02-16,417.845
2001-02-19,417.226
2001-02-20,413.514
2001-02-21,407.937
2001-02-22,403.421
2001-02-23,403.109
2001-02-26,408.559
2001-02-27,406.408
2001-02-28,402.934
2001-03-01,401.515
2001-03-02,401.894
2001-03-05,401.078
2001-03-06,405.684
2001-03-07,406.943
2001-03-08,406.384
2001-03-09,402.578
2001-03-12,391.996
2001-03-13,388.558
2001-03-14,382.232
2001-03-15,380.888
2001-03-16,374.8
2001-03-19,377.31
2001-03-20,375.985
2001-03-21,371.448
2001-03-22,364.795
2001-03-23,372.197
2001-03-26,377.562
2001-03-27,380.092
2001-03-28,375.779
2001-03-29,372.685
2001-03-30,375.104
2001-04-02,369.344
2001-04-03,362.617
2001-04-04,362.863
2001-04-05,371.925
2001-04-06,369.529
2001-04-09,370.775
2001-04-10,375.339
2001-04-11,375.671
2001-04-12,380.49
2001-04-13,380.755
2001-04-16,378.417
2001-04-17,379.597
2001-04-18,386.832
2001-04-19,392.632
2001-04-20,391.947
2001-04-23,389.221
2001-04-24,389.47
2001-04-25,393.711
2001-04-26,397.501
2001-04-27,398.811
2001-04-30,400.82
2001-05-01,405.31
2001-05-02,407.451
2001-05-03,405.627
2001-05-04,408.215
2001-05-07,407.512
2001-05-08,406.796
2001-05-09,405.634
2001-05-10,406.268
2001-05-11,404.825
2001-05-14,403.003
2001-05-15,404.947
2001-05-16,408.111
2001-05-17,413.305
2001-05-18,413.824
2001-05-21,418.922
2001-05-22,419.455
2001-05-23,416.622
2001-05-24,417.159
2001-05-25,416.705
2001-05-28,416.513
2001-05-29,413.275
2001-05-30,408.13
2001-05-31,408.598
2001-06-01,410.465
2001-06-04,412.124
2001-06-05,415.048
2001-06-06,413.386
2001-06-07,415.033
2001-06-08,414.115
2001-06-11,410.47
2001-06-12,408.622
2001-06-13,408.842
2001-06-14,404.251
2001-06-15,401.954
2001-06-18,397.836
2001-06-19,396.03
2001-06-20,395.799
2001-06-21,397.395
2001-06-22,396.004
2001-06-25,395.994
2001-06-26,397.131
2001-06-27,397.891
2001-06-28,398.019
2001-06-29,405.099
2001-07-02,401.241
2001-07-03,400.463
2001-07-04,399.294
2001-07-05,395.815
2001-07-06,390.87
2001-07-09,389.99
2001-07-10,388.325
2001-07-11,386.156
2001-07-12,391.587
2001-07-13,391.624
2001-07-16,389.123
2001-07-17,389.87
2001-07-18,389.19
2001-07-19,390.523
2001-07-20,390.638
2001-07-23,386.738
2001-07-24,383.641
2001-07-25,384.888
2001-07-26,387.927
2001-07-27,388.671
2001-07-30,387.716
2001-07-31,389.018
2001-08-01,392.28
2001-08-02,394.395
2001-08-03,393.722
2001-08-06,390.349
2001-08-07,389.395
2001-08-08,386.649
2001-08-09,386.01
2001-08-10,387.523
2001-08-13,387.994
2001-08-14,390.197
2001-08-15,392.431
2001-08-16,392.821
2001-08-17,390.708
2001-08-20,389.596
2001-08-21,388.659
2001-08-22,390.932
2001-08-23,388.88
2001-08-24,391.437
2001-08-27,391.115
2001-08-28,388.494
2001-08-29,387.812
2001-08-30,384.103
2001-08-31,383.537
2001-09-03,381.197
2001-09-04,379.521
2001-09-05,375.859
2001-09-06,371.346
2001-09-07,367.974
2001-09-10,362.483
2001-09-11,360.498
2001-09-12,354.094
2001-09-13,354.502
2001-09-14,353.82
2001-09-17,339.701
2001-09-18,338.204
2001-09-19,336.05
2001-09-20,326.929
2001-09-21,318.586
2001-09-24,325.493
2001-09-25,328.482
2001-09-26,327.176
2001-09-27,327.766
2001-09-28,334.344
2001-10-01,332.523
2001-10-02,334.343
2001-10-03,338.808
2001-10-04,342.316
2001-10-05,342.161
2001-10-08,340.096
2001-10-09,339.502
2001-10-10,343.602
2001-10-11,348.909
2001-10-12,348.575
2001-10-15,349.217
2001-10-16,351.984
2001-10-17,350.033
2001-10-18,346.856
2001-10-19,347.658
2001-10-22,349.44
2001-10-23,349.57
2001-10-24,350.625
2001-10-25,354.452
2001-10-26,356.083
2001-10-29,353.961
2001-10-30,349.8
2001-10-31,351.396
2001-11-01,354.061
2001-11-02,353.589
2001-11-05,355.756
2001-11-06,358.636
2001-11-07,358.86
2001-11-08,358.543
2001-11-09,357.952
2001-11-12,358.181
2001-11-13,360.649
2001-11-14,363.51
2001-11-15,363.215
