Date,ACWI SMALL CAP Small Cap
1994-05-31,294.461
1994-06-30,297.91
1994-07-29,299.889
1994-08-31,307.891
1994-09-30,303.89
1994-10-31,306.197
1994-11-30,289.182
1994-12-30,293.535
1995-01-31,285.662
1995-02-28,286.3
1995-03-31,295.319
1995-04-28,300.202
1995-05-31,298.823
1995-06-30,301.848
1995-07-31,317.753
1995-08-31,315.362
1995-09-29,318.292
1995-10-31,307.482
1995-11-30,313.519
1995-12-29,323.828
1996-01-31,327.837
1996-02-29,334.276
1996-03-29,340.863
1996-04-30,359.6
1996-05-31,362.436
1996-06-28,357.572
1996-07-31,336.766
1996-08-30,344.694
1996-09-30,349.969
1996-10-31,345.642
1996-11-29,351.814
1996-12-31,349.329
1997-01-31,350.522
1997-02-28,350.278
1997-03-31,339.03
1997-04-30,333.156
1997-05-30,360.39
1997-06-30,372.913
1997-07-31,376.182
1997-08-29,369.403
1997-09-30,382.122
1997-10-31,363.928
1997-11-28,349.014
1997-12-31,344.13
1998-01-30,347.985
1998-02-27,375.136
1998-03-31,390.317
1998-04-30,393.941
1998-05-29,382.62
1998-06-30,373.339
1998-07-31,358.449
1998-08-31,300.164
1998-09-30,305.193
1998-10-30,321.456
1998-11-30,338.847
1998-12-31,351.68
1999-01-29,353.605
1999-02-26,339.062
1999-03-31,351.876
1999-04-30,379.066
1999-05-31,377.07
1999-06-30,401.09
1999-07-30,406.088
1999-08-31,407.326
1999-09-30,409.773
1999-10-29,411.588
1999-11-30,428.343
1999-12-31,455.897
2000-01-31,455.019
2000-02-29,491.103
2000-03-31,488.864
2000-04-28,448.262
2000-05-31,435.129
2000-06-30,466.624
2000-07-31,446.916
2000-08-31,468.535
2000-09-29,448.216
2000-10-31,419.556
2000-11-30,391.59
2000-12-29,409.041
2001-01-31,426.995
2001-02-28,402.934
2001-03-30,375.104
2001-04-30,400.82
2001-05-31,408.598
2001-06-29,405.099
2001-07-31,389.018
2001-08-31,383.537
2001-09-28,334.344
2001-10-31,351.396
2001-11-30,371.28
2001-12-31,382.204
2002-01-31,378.784
2002-02-28,376.944
2002-03-29,402.511
2002-04-30,409.119
2002-05-31,409.809
2002-06-28,386.715
2002-07-31,348.378
2002-08-30,347.94
2002-09-30,318.968
2002-10-31,327.036
2002-11-29,347.725
2002-12-31,337.439
2003-01-31,331.237
2003-02-28,325.033
2003-03-31,325.472
2003-04-30,355.349
2003-05-30,388.552
2003-06-30,399.69
2003-07-31,416.005
2003-08-29,436.109
2003-09-30,442.691
2003-10-31,476.842
2003-11-28,487.993
2003-12-31,508.434
2004-01-30,526.935
2004-02-27,540.016
