Date,ACWI SMALL CAP Small Cap
1994-05-31,285.998
1994-06-30,289.4
1994-07-29,291.362
1994-08-31,299.15
1994-09-30,295.292
1994-10-31,297.55
1994-11-30,281.024
1994-12-30,285.267
1995-01-31,277.626
1995-02-28,278.255
1995-03-31,287.078
1995-04-28,291.86
1995-05-31,290.582
1995-06-30,293.585
1995-07-31,309.098
1995-08-31,306.783
1995-09-29,309.669
1995-10-31,299.17
1995-11-30,305.055
1995-12-29,315.105
1996-01-31,319.015
1996-02-29,325.292
1996-03-29,331.762
1996-04-30,350.044
1996-05-31,352.879
1996-06-28,348.214
1996-07-31,327.997
1996-08-30,335.732
1996-09-30,340.907
1996-10-31,336.709
1996-11-29,342.736
1996-12-31,340.334
1997-01-31,341.51
1997-02-28,341.285
1997-03-31,330.386
1997-04-30,324.711
1997-05-30,351.327
1997-06-30,363.602
1997-07-31,366.83
1997-08-29,360.238
1997-09-30,372.683
1997-10-31,354.952
1997-11-28,340.42
1997-12-31,335.677
1998-01-30,339.448
1998-02-27,365.946
1998-03-31,380.816
1998-04-30,384.409
1998-05-29,373.446
1998-06-30,364.458
1998-07-31,349.966
1998-08-31,293.073
1998-09-30,298.015
1998-10-30,313.907
1998-11-30,330.901
1998-12-31,343.452
1999-01-29,345.352
1999-02-26,331.167
1999-03-31,343.763
1999-04-30,370.373
1999-05-31,368.474
1999-06-30,392.0
1999-07-30,396.913
1999-08-31,398.149
1999-09-30,400.598
1999-10-29,402.394
1999-11-30,418.799
1999-12-31,445.782
2000-01-31,444.949
2000-02-29,480.265
2000-03-31,478.179
2000-04-28,438.516
2000-05-31,425.752
2000-06-30,456.66
2000-07-31,437.406
2000-08-31,458.612
2000-09-29,438.801
2000-10-31,410.765
2000-11-30,383.421
2000-12-29,400.556
2001-01-31,418.16
2001-02-28,394.632
2001-03-30,367.498
2001-04-30,392.776
2001-05-31,400.54
2001-06-29,397.2
2001-07-31,381.473
2001-08-31,376.14
2001-09-28,327.973
2001-10-31,344.728
2001-11-30,364.275
2001-12-31,375.049
2002-01-31,371.712
2002-02-28,369.946
2002-03-29,395.18
2002-04-30,401.771
2002-05-31,402.572
2002-06-28,379.968
2002-07-31,342.347
2002-08-30,341.998
2002-09-30,313.643
2002-10-31,321.659
2002-11-29,342.097
2002-12-31,332.092
2003-01-31,326.049
2003-02-28,320.042
2003-03-31,320.681
2003-04-30,350.287
2003-05-30,383.218
2003-06-30,394.354
2003-07-31,410.547
2003-08-29,430.49
2003-09-30,437.128
2003-10-31,470.941
2003-11-28,482.053
2003-12-31,502.4
2004-01-30,520.751
2004-02-27,533.79
2004-03-31,545.183
2004-04-30,522.892
2004-05-31,525.56
2004-06-30,545.577
2004-07-30,519.948
2004-08-31,521.619
2004-09-30,540.999
2004-10-29,554.615
2004-11-30,597.371
2004-12-31,624.052
2005-01-31,618.225
2005-02-28,640.515
2005-03-31,625.777
2005-04-29,603.309
2005-05-31,623.224
2005-06-30,641.661
2005-07-29,673.215
2005-08-31,677.006
2005-09-30,693.45
2005-10-31,669.654
2005-11-30,699.085
2005-12-30,723.35
2006-01-31,776.843
2006-02-28,774.724
2006-03-31,805.8
2006-04-28,829.427
2006-05-31,787.983
2006-06-30,777.678
2006-07-31,762.872
2006-08-31,783.207
2006-09-29,789.6
2006-10-31,825.848
2006-11-30,861.892
2006-12-29,878.036
2007-01-31,895.872
2007-02-28,905.464
2007-03-30,929.364
2007-04-30,965.225
2007-05-31,1000.0
2007-06-29,993.492
2007-07-31,971.649
2007-08-31,954.001
2007-09-28,984.055
2007-10-31,1027.632
2007-11-30,954.773
2007-12-31,941.211
2008-01-31,862.83
2008-02-29,873.315
2008-03-31,860.139
2008-04-30,897.266
2008-05-30,924.647
2008-06-30,846.359
2008-07-31,831.126
2008-08-29,824.489
2008-09-30,709.359
2008-10-31,543.982
2008-11-28,499.105
2008-12-31,532.508
2009-01-30,492.617
2009-02-27,444.553
2009-03-31,484.171
2009-04-30,567.536
2009-05-29,626.513
2009-06-30,632.754
2009-07-31,691.453
2009-08-31,729.458
2009-09-30,774.535
2009-10-30,748.344
2009-11-30,768.386
2009-12-31,805.683
2010-01-29,785.082
2010-02-26,801.405
2010-03-31,864.68
2010-04-30,896.816
2010-05-31,810.107
2010-06-30,778.619
2010-07-30,838.712
2010-08-31,805.509
2010-09-30,899.153
2010-10-29,935.149
2010-11-30,936.709
2010-12-31,1020.864
2011-01-31,1025.08
2011-02-28,1057.245
2011-03-31,1074.044
2011-04-29,1115.876
2011-05-31,1092.161
2011-06-30,1068.824
2011-07-29,1049.451
2011-08-31,959.529
2011-09-30,846.935
2011-10-31,945.278
2011-11-30,916.771
2011-12-30,909.004
2012-01-31,980.885
2012-02-29,1030.316
2012-03-30,1035.762
2012-04-30,1027.362
2012-05-31,936.177
2012-06-29,969.792
2012-07-31,968.629
2012-08-31,999.703
2012-09-28,1038.077
2012-10-31,1031.224
2012-11-30,1042.662
2012-12-31,1078.322
2013-01-31,1137.432
2013-02-28,1147.407
2013-03-29,1183.387
2013-04-30,1199.381
2013-05-31,1210.094
2013-06-28,1175.559
2013-07-31,1244.193
2013-08-30,1218.846
2013-09-30,1303.024
2013-10-31,1344.014
2013-11-29,1364.097
2013-12-31,1392.927
2014-01-31,1366.152
2014-02-28,1436.984
2014-03-31,1434.732
2014-04-30,1414.006
2014-05-30,1433.141
2014-06-30,1486.772
2014-07-31,1434.265
2014-08-29,1477.817
2014-09-30,1397.452
2014-10-31,1416.289
2014-11-28,1420.096
2014-12-31,1423.59
2015-01-30,1402.759
2015-02-27,1483.849
2015-03-31,1487.036
