Date,NEW ZEALAND MID GROWTH Mid Cap
2001-01-01,179.565
2001-01-02,179.281
2001-01-03,176.039
2001-01-04,178.138
2001-01-05,181.16
2001-01-08,178.701
2001-01-09,178.236
2001-01-10,174.882
2001-01-11,178.097
2001-01-12,178.267
2001-01-15,177.226
2001-01-16,178.723
2001-01-17,177.879
2001-01-18,177.289
2001-01-19,179.77
2001-01-22,180.312
2001-01-23,177.359
2001-01-24,173.435
2001-01-25,176.205
2001-01-26,175.26
2001-01-29,175.76
2001-01-30,178.003
2001-01-31,178.316
2001-02-01,181.8
2001-02-02,178.569
2001-02-05,176.214
2001-02-06,176.234
2001-02-07,177.268
2001-02-08,176.383
2001-02-09,176.137
2001-02-12,174.82
2001-02-13,174.789
2001-02-14,170.293
2001-02-15,169.998
2001-02-16,170.779
2001-02-19,168.642
2001-02-20,171.211
2001-02-21,172.449
2001-02-22,171.043
2001-02-23,173.231
2001-02-26,169.717
2001-02-27,175.637
2001-02-28,172.656
2001-03-01,174.254
2001-03-02,177.418
2001-03-05,176.916
2001-03-06,179.322
2001-03-07,177.944
2001-03-08,178.428
2001-03-09,178.121
2001-03-12,179.125
2001-03-13,177.242
2001-03-14,178.165
2001-03-15,178.942
2001-03-16,181.225
2001-03-19,178.953
2001-03-20,180.287
2001-03-21,182.01
2001-03-22,182.187
2001-03-23,185.867
2001-03-26,181.575
2001-03-27,177.314
2001-03-28,172.429
2001-03-29,170.329
2001-03-30,168.785
2001-04-02,168.683
2001-04-03,166.316
2001-04-04,169.411
2001-04-05,171.398
2001-04-06,172.532
2001-04-09,173.608
2001-04-10,174.01
2001-04-11,175.443
2001-04-12,176.735
2001-04-13,176.735
2001-04-16,177.083
2001-04-17,177.585
2001-04-18,175.292
2001-04-19,182.78
2001-04-20,186.321
2001-04-23,182.321
2001-04-24,176.835
2001-04-25,177.919
2001-04-26,179.343
2001-04-27,165.548
2001-04-30,172.529
2001-05-01,171.971
2001-05-02,175.243
2001-05-03,176.458
2001-05-04,173.723
2001-05-07,174.129
2001-05-08,173.231
2001-05-09,171.093
2001-05-10,172.507
2001-05-11,169.218
2001-05-14,170.231
2001-05-15,169.093
2001-05-16,172.167
2001-05-17,173.592
2001-05-18,174.583
2001-05-21,175.546
2001-05-22,171.684
2001-05-23,169.131
2001-05-24,171.425
2001-05-25,172.054
2001-05-28,172.797
2001-05-29,169.998
2001-05-30,167.677
2001-05-31,165.966
2001-06-01,166.207
2001-06-04,165.782
2001-06-05,169.071
2001-06-06,172.58
2001-06-07,173.271
2001-06-08,172.215
2001-06-11,170.954
2001-06-12,174.589
2001-06-13,177.887
2001-06-14,175.514
2001-06-15,176.591
2001-06-18,174.295
2001-06-19,173.049
2001-06-20,171.589
2001-06-21,169.655
2001-06-22,168.794
2001-06-25,169.676
2001-06-26,173.254
2001-06-27,171.911
2001-06-28,172.247
2001-06-29,168.5
2001-07-02,169.883
2001-07-03,168.432
2001-07-04,167.669
2001-07-05,166.578
2001-07-06,166.291
2001-07-09,167.98
2001-07-10,169.064
2001-07-11,168.682
2001-07-12,165.976
2001-07-13,168.522
2001-07-16,170.277
2001-07-17,169.959
2001-07-18,173.826
2001-07-19,177.169
2001-07-20,176.034
2001-07-23,177.946
2001-07-24,178.149
2001-07-25,177.366
2001-07-26,177.36
2001-07-27,176.254
2001-07-30,176.79
2001-07-31,174.968
2001-08-01,175.825
2001-08-02,176.527
2001-08-03,175.437
2001-08-06,175.426
2001-08-07,176.036
2001-08-08,178.21
2001-08-09,180.009
2001-08-10,182.019
2001-08-13,185.151
2001-08-14,185.902
2001-08-15,188.376
2001-08-16,188.593
2001-08-17,190.295
2001-08-20,188.682
2001-08-21,190.762
2001-08-22,194.437
2001-08-23,194.026
2001-08-24,195.459
2001-08-27,198.641
2001-08-28,199.464
2001-08-29,202.259
2001-08-30,202.595
2001-08-31,199.627
2001-09-03,199.933
2001-09-04,196.812
2001-09-05,195.176
2001-09-06,194.284
2001-09-07,194.199
2001-09-10,190.202
2001-09-11,194.532
2001-09-12,184.609
2001-09-13,182.595
2001-09-14,180.672
2001-09-17,167.498
2001-09-18,169.42
2001-09-19,170.413
2001-09-20,172.354
2001-09-21,168.133
2001-09-24,167.908
2001-09-25,171.906
2001-09-26,174.521
