Date,NEW ZEALAND MID GROWTH Mid Cap
1994-05-31,1000.0
1994-06-30,908.878
1994-07-29,898.686
1994-08-31,895.442
1994-09-30,844.353
1994-10-31,857.272
1994-11-30,955.665
1994-12-30,992.326
1995-01-31,973.283
1995-02-28,1005.261
1995-03-31,1058.753
1995-04-28,1138.501
1995-05-31,1300.159
1995-06-30,1228.696
1995-07-31,1307.481
1995-08-31,1221.939
1995-09-29,1225.019
1995-10-31,1288.235
1995-11-30,1298.118
1995-12-29,1317.584
1996-01-31,1361.53
1996-02-29,1379.754
1996-03-29,1572.89
1996-04-30,1721.969
1996-05-31,1650.621
1996-06-28,1701.255
1996-07-31,1706.168
1996-08-30,1760.707
1996-09-30,1836.518
1996-10-31,1990.957
1996-11-29,2049.728
1996-12-31,2051.191
1997-01-31,1940.728
1997-02-28,1999.827
1997-03-31,2041.318
1997-04-30,2065.526
1997-05-30,2131.644
1997-06-30,2149.05
1997-07-31,2222.18
1997-08-29,2139.204
1997-09-30,2322.444
1997-10-31,2064.534
1997-11-28,1986.904
1997-12-31,1952.73
1998-01-30,2002.333
1998-02-27,1945.15
1998-03-31,1912.342
1998-04-30,1862.743
1998-05-29,1687.251
1998-11-30,147.957
1998-12-31,144.399
1999-01-29,158.726
1999-02-26,144.59
1999-03-31,145.615
1999-04-30,201.049
1999-05-31,159.311
1999-06-30,170.558
1999-07-30,177.457
1999-08-31,166.644
1999-09-30,164.501
1999-10-29,169.166
1999-11-30,164.62
1999-12-31,177.505
2000-01-31,151.091
2000-02-29,137.687
2000-03-31,134.033
2000-04-28,129.219
2000-05-31,134.514
2000-06-30,158.636
2000-07-31,155.346
2000-08-31,162.994
2000-09-29,151.135
2000-10-31,147.378
2000-11-30,155.582
2000-12-29,165.793
2001-01-31,164.46
2001-02-28,159.24
2001-03-30,155.669
2001-04-30,159.912
2001-05-31,153.829
2001-06-29,156.177
2001-07-31,162.172
2001-08-31,185.028
2001-09-28,164.731
2001-10-31,187.091
2001-11-30,199.607
2001-12-31,193.002
2002-01-31,193.154
2002-02-28,201.596
2002-03-29,221.888
2002-04-30,228.932
2002-05-31,246.993
2002-06-28,244.563
2002-07-31,226.094
2002-08-30,237.425
2002-09-30,239.436
2002-10-31,255.14
2002-11-29,252.885
2002-12-31,286.943
2003-01-31,309.141
2003-02-28,324.297
2003-03-31,309.503
2003-04-30,318.778
2003-05-30,346.923
2003-06-30,391.778
2003-07-31,374.476
2003-08-29,381.464
2003-09-30,401.192
2003-10-31,426.59
2003-11-28,451.008
2003-12-31,477.389
2004-01-30,484.413
2004-02-27,468.601
2004-03-31,481.947
2004-04-30,460.945
2004-05-31,472.533
2004-06-30,485.456
2004-07-30,498.453
2004-08-31,506.88
2004-09-30,535.067
2004-10-29,539.67
2004-11-30,613.931
2004-12-31,646.836
2005-01-31,626.033
2005-02-28,679.973
2005-03-31,634.765
2005-04-29,644.73
2005-05-31,623.691
2005-06-30,677.084
2005-07-29,675.858
2005-08-31,660.417
2005-09-30,697.543
2005-10-31,640.733
2005-11-30,625.561
2005-12-30,630.91
2006-01-31,631.848
2006-02-28,632.34
2006-03-31,652.13
2006-04-28,688.523
2006-05-31,686.784
2006-06-30,656.814
2006-07-31,644.528
2006-08-31,658.792
2006-09-29,678.104
2006-10-31,737.343
2006-11-30,798.406
2006-12-29,867.664
2007-01-31,873.856
2007-02-28,845.576
2007-03-30,894.358
2007-04-30,950.267
2007-05-31,1000.0
2007-06-29,1054.764
2007-07-31,1059.088
2007-08-31,914.641
2007-09-28,1065.736
2007-10-31,1038.134
2007-11-30,1008.582
2007-12-31,974.776
2008-01-31,895.608
2008-02-29,881.908
2008-03-31,819.014
2008-04-30,886.237
2008-05-30,841.683
2008-06-30,680.005
2008-07-31,688.471
2008-08-29,703.175
2008-09-30,641.12
2008-10-31,507.284
2008-11-28,456.941
2008-12-31,491.493
2009-01-30,428.965
2009-02-27,384.804
2009-03-31,456.302
2009-04-30,457.192
2009-05-29,512.662
2009-06-30,516.128
2009-07-31,582.917
2009-08-31,627.357
2009-09-30,678.975
2009-10-30,718.067
2009-11-30,672.754
2009-12-31,702.756
2010-01-29,661.743
2010-02-26,655.088
2010-03-31,702.176
2010-04-30,725.777
2010-05-31,640.287
2010-06-30,627.978
2010-07-30,665.539
2010-08-31,631.674
2010-09-30,699.125
2010-10-29,753.159
2010-11-30,730.571
2010-12-31,781.479
2011-01-31,780.107
2011-02-28,787.317
2011-03-31,827.898
