Date,NEW ZEALAND MID GROWTH Mid Cap
1994-05-31,1000.0
1994-06-30,908.878
1994-07-29,898.686
1994-08-31,895.442
1994-09-30,844.353
1994-10-31,852.689
1994-11-30,949.546
1994-12-30,982.568
1995-01-31,963.713
1995-02-28,995.376
1995-03-31,1045.805
1995-04-28,1124.577
1995-05-31,1252.823
1995-06-30,1183.962
1995-07-31,1257.395
1995-08-31,1168.671
1995-09-29,1171.616
1995-10-31,1229.132
1995-11-30,1234.305
1995-12-29,1248.707
1996-01-31,1290.356
1996-02-29,1307.628
1996-03-29,1487.252
1996-04-30,1625.806
1996-05-31,1548.777
1996-06-28,1596.287
1996-07-31,1600.897
1996-08-30,1652.071
1996-09-30,1720.052
1996-10-31,1861.624
1996-11-29,1916.577
1996-12-31,1917.945
1997-01-31,1814.658
1997-02-28,1869.917
1997-03-31,1898.927
1997-04-30,1919.011
1997-05-30,1980.438
1997-06-30,1996.609
1997-07-31,2064.552
1997-08-29,1985.594
1997-09-30,2155.675
1997-10-31,1914.093
1997-11-28,1842.119
1997-12-31,1810.435
1998-01-30,1856.424
1998-02-27,1803.408
1998-03-31,1765.416
1998-04-30,1719.628
1998-05-29,1557.619
1998-11-30,162.299
1998-12-31,158.105
1999-01-29,173.792
1999-02-26,158.314
1999-03-31,159.325
1999-04-30,219.979
1999-05-31,174.185
1999-06-30,186.211
1999-07-30,193.743
1999-08-31,181.938
1999-09-30,179.346
1999-10-29,184.433
1999-11-30,179.268
1999-12-31,192.944
2000-01-31,164.232
2000-02-29,149.662
2000-03-31,145.39
2000-04-28,140.169
2000-05-31,145.912
2000-06-30,172.078
2000-07-31,168.51
2000-08-31,176.805
2000-09-29,163.942
2000-10-31,159.69
2000-11-30,168.517
2000-12-29,179.565
2001-01-31,178.316
2001-02-28,172.656
2001-03-30,168.785
2001-04-30,172.529
2001-05-31,165.966
2001-06-29,168.5
2001-07-31,174.968
2001-08-31,199.627
2001-09-28,177.728
2001-10-31,201.551
2001-11-30,214.042
2001-12-31,206.959
2002-01-31,207.122
2002-02-28,216.174
2002-03-29,237.596
2002-04-30,244.751
2002-05-31,263.494
2002-06-28,260.402
2002-07-31,240.738
2002-08-30,252.802
2002-09-30,254.132
2002-10-31,270.56
2002-11-29,267.912
2002-12-31,302.756
2003-01-31,326.177
2003-02-28,341.833
2003-03-31,324.622
2003-04-30,334.351
2003-05-30,363.343
2003-06-30,410.321
2003-07-31,392.2
2003-08-29,399.28
2003-09-30,418.624
2003-10-31,443.937
2003-11-28,469.348
2003-12-31,495.096
2004-01-30,502.38
2004-02-27,485.982
2004-03-31,497.25
2004-04-30,475.581
2004-05-31,486.862
2004-06-30,500.176
2004-07-30,513.568
2004-08-31,521.413
2004-09-30,547.925
2004-10-29,551.116
2004-11-30,626.952
2004-12-31,659.646
2005-01-31,638.431
2005-02-28,693.439
2005-03-31,644.152
2005-04-29,654.264
2005-05-31,632.023
2005-06-30,686.129
2005-07-29,684.887
2005-08-31,669.24
2005-09-30,705.291
2005-10-31,647.029
2005-11-30,631.707
2005-12-30,637.109
2006-01-31,638.057
2006-02-28,638.554
2006-03-31,656.357
2006-04-28,692.985
2006-05-31,691.235
2006-06-30,660.625
2006-07-31,648.267
2006-08-31,662.614
2006-09-29,680.461
2006-10-31,739.309
2006-11-30,800.153
2006-12-29,869.562
2007-01-31,875.768
2007-02-28,847.425
2007-03-30,894.358
2007-04-30,950.267
2007-05-31,1000.0
2007-06-29,1054.764
2007-07-31,1059.088
2007-08-31,914.641
2007-09-28,1063.266
2007-10-31,1035.324
2007-11-30,1005.851
2007-12-31,972.137
2008-01-31,893.183
2008-02-29,879.52
2008-03-31,814.199
2008-04-30,881.027
2008-05-30,836.735
2008-06-30,676.006
2008-07-31,684.424
2008-08-29,699.041
2008-09-30,635.511
2008-10-31,502.647
2008-11-28,452.764
2008-12-31,487.0
2009-01-30,425.044
2009-02-27,381.286
2009-03-31,450.629
2009-04-30,451.949
2009-05-29,506.782
2009-06-30,510.21
2009-07-31,576.232
2009-08-31,620.162
2009-09-30,670.014
2009-10-30,708.003
2009-11-30,663.325
2009-12-31,692.906
2010-01-29,652.469
2010-02-26,645.906
2010-03-31,691.003
2010-04-30,713.761
2010-05-31,629.687
2010-06-30,617.581
2010-07-30,654.52
2010-08-31,621.216
2010-09-30,685.778
2010-10-29,738.527
2010-11-30,716.378
2010-12-31,766.297
2011-01-31,764.952
2011-02-28,772.022
2011-03-31,809.819
