Date,HONG KONG IMI IMI (Large+Mid+Small Cap)
1994-05-31,356.142
1994-06-30,329.076
1994-07-29,351.811
1994-08-31,368.672
1994-09-30,360.375
1994-10-31,361.171
1994-11-30,319.593
1994-12-30,310.647
1995-01-31,278.958
1995-02-28,315.793
1995-03-31,322.142
1995-04-28,316.37
1995-05-31,355.89
1995-06-30,353.618
1995-07-31,363.375
1995-08-31,351.819
1995-09-29,372.597
1995-10-31,375.397
1995-11-30,377.683
1995-12-29,387.17
1996-01-31,435.791
1996-02-29,433.596
1996-03-29,431.168
1996-04-30,437.482
1996-05-31,449.612
1996-06-28,441.59
1996-07-31,423.33
1996-08-30,439.161
1996-09-30,465.602
1996-10-31,486.842
1996-11-29,535.32
1996-12-31,533.22
1997-01-31,526.831
1997-02-28,526.975
1997-03-31,493.582
1997-04-30,499.772
1997-05-30,558.169
1997-06-30,579.903
1997-07-31,612.469
1997-08-29,547.184
1997-09-30,565.038
1997-10-31,404.306
1997-11-28,396.393
1997-12-31,401.162
1998-01-30,335.16
1998-02-27,410.183
1998-03-31,407.75
1998-04-30,372.393
1998-05-29,326.335
1998-06-30,306.972
1998-07-31,283.321
1998-08-31,259.99
1998-09-30,298.671
1998-10-30,390.31
1998-11-30,394.82
1998-12-31,384.068
1999-01-29,353.331
1999-02-26,353.302
1999-03-31,396.811
1999-04-30,481.462
1999-05-31,447.87
1999-06-30,491.848
1999-07-30,480.25
1999-08-31,481.382
1999-09-30,460.659
1999-10-29,477.049
1999-11-30,534.317
1999-12-31,598.067
2000-01-31,554.432
2000-02-29,577.962
2000-03-31,583.914
2000-04-28,524.407
2000-05-31,475.701
2000-06-30,513.869
2000-07-31,542.527
2000-08-31,560.545
2000-09-29,507.265
2000-10-31,469.181
2000-11-30,456.875
2000-12-29,501.021
2001-01-31,515.338
2001-02-28,505.254
2001-03-30,449.188
2001-04-30,459.902
2001-05-31,460.813
2001-06-29,446.123
2001-07-31,435.18
2001-08-31,409.924
2001-09-28,355.535
2001-10-31,370.472
2001-11-30,408.614
2001-12-31,427.157
2002-01-31,420.75
2002-02-28,407.244
2002-03-29,429.859
2002-04-30,454.563
2002-05-31,444.818
2002-06-28,418.593
2002-07-31,398.984
2002-08-30,380.322
2002-09-30,352.664
2002-10-31,363.833
2002-11-29,386.436
2002-12-31,360.166
2003-01-31,363.428
2003-02-28,359.472
2003-03-31,341.984
2003-04-30,341.305
2003-05-30,372.794
2003-06-30,378.723
2003-07-31,402.096
2003-08-29,450.675
2003-09-30,477.024
2003-10-31,498.906
2003-11-28,497.098
2003-12-31,507.679
2004-01-30,557.607
2004-02-27,575.495
2004-03-31,543.088
2004-04-30,516.558
2004-05-31,516.466
2004-06-30,516.69
2004-07-30,524.533
2004-08-31,558.146
2004-09-30,568.229
2004-10-29,568.939
2004-11-30,621.961
2004-12-31,636.895
2005-01-31,611.456
2005-02-28,632.403
2005-03-31,611.474
2005-04-29,634.933
2005-05-31,636.306
2005-06-30,658.488
2005-07-29,695.769
2005-08-31,689.849
2005-09-30,709.18
2005-10-31,662.132
2005-11-30,684.634
2005-12-30,694.142
2006-01-31,733.846
2006-02-28,737.462
2006-03-31,758.002
2006-04-28,799.116
2006-05-31,765.048
2006-06-30,764.825
2006-07-31,777.687
2006-08-31,804.722
2006-09-29,814.36
2006-10-31,828.734
2006-11-30,875.25
2006-12-29,926.791
2007-01-31,950.029
2007-02-28,931.298
2007-03-30,947.862
2007-04-30,970.729
2007-05-31,1000.0
2007-06-29,1016.222
2007-07-31,1085.825
2007-08-31,1078.055
2007-09-28,1229.537
2007-10-31,1362.729
2007-11-30,1306.563
2007-12-31,1307.754
2008-01-31,1144.598
2008-02-29,1125.548
2008-03-31,1051.991
2008-04-30,1135.857
2008-05-30,1132.162
2008-06-30,1010.633
2008-07-31,990.73
2008-08-29,933.29
2008-09-30,768.428
2008-10-31,594.684
2008-11-28,588.849
2008-12-31,618.24
2009-01-30,619.827
2009-02-27,592.614
2009-03-31,615.293
2009-04-30,720.996
2009-05-29,862.028
2009-06-30,849.622
2009-07-31,968.687
2009-08-31,902.623
2009-09-30,974.741
2009-10-30,1003.885
2009-11-30,995.84
2009-12-31,1017.792
2010-01-29,955.047
2010-02-26,991.556
2010-03-31,1050.871
2010-04-30,1031.99
2010-05-31,962.202
2010-06-30,990.906
2010-07-30,1049.27
2010-08-31,1059.37
2010-09-30,1206.386
2010-10-29,1235.154
2010-11-30,1260.44
2010-12-31,1273.162
2011-01-31,1292.421
2011-02-28,1246.357
2011-03-31,1264.693
2011-04-29,1299.761
2011-05-31,1305.416
2011-06-30,1253.663
2011-07-29,1274.192
2011-08-31,1191.471
2011-09-30,988.621
2011-10-31,1114.844
2011-11-30,1034.849
2011-12-30,1050.292
2012-01-31,1145.539
2012-02-29,1248.657
2012-03-30,1192.677
2012-04-30,1202.542
2012-05-31,1086.541
2012-06-29,1126.171
2012-07-31,1163.433
2012-08-31,1174.934
2012-09-28,1265.577
2012-10-31,1284.588
2012-11-30,1328.505
2012-12-31,1340.997
2013-01-31,1420.806
2013-02-28,1415.149
2013-03-29,1396.741
2013-04-30,1429.915
2013-05-31,1415.259
2013-06-28,1335.882
2013-07-31,1387.113
2013-08-30,1377.306
2013-09-30,1456.851
2013-10-31,1488.659
2013-11-29,1508.029
2013-12-31,1513.518
2014-01-31,1429.638
2014-02-28,1492.393
2014-03-31,1457.494
2014-04-30,1489.874
2014-05-30,1551.559
2014-06-30,1562.117
2014-07-31,1649.916
2014-08-29,1635.462
2014-09-30,1517.271
2014-10-31,1611.201
2014-11-28,1622.513
2014-12-31,1555.208
2015-01-30,1632.303
2015-02-27,1626.809
2015-03-31,1640.214
2015-04-30,1796.178
2015-05-29,1794.456
2015-06-30,1731.798
2015-07-31,1682.664
2015-08-31,1468.95
2015-09-30,1438.602
2015-10-30,1559.271
2015-11-30,1511.635
2015-12-31,1520.459
2016-01-29,1368.631
2016-02-29,1369.091
2016-03-31,1498.947
2016-04-29,1513.084
2016-05-31,1498.485
2016-06-30,1504.671
2016-07-29,1599.748
2016-08-31,1619.738
2016-09-30,1677.313
2016-10-31,1659.165
2016-11-30,1637.914
2016-12-30,1536.357
2017-01-31,1646.013
2017-02-28,1681.062
2017-03-31,1727.655
2017-04-28,1777.948
2017-05-31,1836.852
2017-06-30,1844.884
2017-07-31,1906.856
2017-08-31,1937.233
2017-09-29,1935.787
2017-10-31,1947.561
2017-11-30,2009.902
2017-12-29,2057.965
