Date,GERMANY MID VALUE Mid Cap
1994-05-31,221.218
1994-06-30,226.348
1994-07-29,228.132
1994-08-31,230.515
1994-09-30,224.98
1994-10-31,228.828
1994-11-30,218.484
1994-12-30,224.18
1995-01-31,222.507
1995-02-28,232.603
1995-03-31,241.434
1995-04-28,241.622
1995-05-31,241.921
1995-06-30,250.81
1995-07-31,258.621
1995-08-31,240.823
1995-09-29,242.665
1995-10-31,244.197
1995-11-30,237.789
1995-12-29,243.663
1996-01-31,238.675
1996-02-29,238.44
1996-03-29,232.823
1996-04-30,223.947
1996-05-31,229.26
1996-06-28,238.334
1996-07-31,244.152
1996-08-30,244.051
1996-09-30,239.136
1996-10-31,240.064
1996-11-29,237.462
1996-12-31,241.783
1997-01-31,237.963
1997-02-28,237.788
1997-03-31,248.62
1997-04-30,245.704
1997-05-30,262.964
1997-06-30,268.126
1997-07-31,260.235
1997-08-29,259.372
1997-09-30,270.871
1997-10-31,273.667
1997-11-28,268.198
1997-12-31,271.643
1998-01-30,271.343
1998-02-27,289.355
1998-03-31,298.238
1998-04-30,317.312
1998-05-29,324.291
1998-06-30,326.146
1998-07-31,334.22
1998-08-31,310.292
1998-09-30,316.043
1998-10-30,327.39
1998-11-30,330.833
1998-12-31,329.881
1999-01-29,312.51
1999-02-26,308.254
1999-03-31,298.679
1999-04-30,301.466
1999-05-31,300.502
1999-06-30,304.177
1999-07-30,321.956
1999-08-31,318.584
1999-09-30,318.636
1999-10-29,313.866
1999-11-30,297.866
1999-12-31,308.421
2000-01-31,286.846
2000-02-29,283.161
2000-03-31,291.729
2000-04-28,281.638
2000-05-31,293.324
2000-06-30,299.132
2000-07-31,303.846
2000-08-31,299.265
2000-09-29,292.51
2000-10-31,287.229
2000-11-30,298.47
2000-12-29,317.729
2001-01-31,329.26
2001-02-28,333.833
2001-03-30,309.033
2001-04-30,316.387
2001-05-31,308.097
2001-06-29,309.334
2001-07-31,318.828
2001-08-31,316.327
2001-09-28,279.17
2001-10-31,289.424
2001-11-30,298.398
2001-12-31,298.211
2002-01-31,304.174
2002-02-28,305.229
2002-03-29,315.366
2002-04-30,322.19
2002-05-31,331.448
2002-06-28,310.703
2002-07-31,262.571
2002-08-30,251.582
2002-09-30,195.007
2002-10-31,206.068
2002-11-29,232.776
2002-12-31,210.089
2003-01-31,201.276
2003-02-28,178.993
2003-03-31,181.878
2003-04-30,230.86
2003-05-30,236.523
2003-06-30,262.657
2003-07-31,288.279
2003-08-29,295.691
2003-09-30,298.733
2003-10-31,340.025
2003-11-28,362.619
2003-12-31,391.027
2004-01-30,407.194
2004-02-27,404.743
2004-03-31,387.941
2004-04-30,392.057
2004-05-31,386.781
2004-06-30,405.811
2004-07-30,397.754
2004-08-31,391.487
2004-09-30,417.396
2004-10-29,420.96
2004-11-30,462.194
2004-12-31,477.878
2005-01-31,490.971
2005-02-28,525.819
2005-03-31,501.409
2005-04-29,463.087
2005-05-31,487.149
2005-06-30,491.762
2005-07-29,512.437
2005-08-31,510.829
2005-09-30,519.197
2005-10-31,512.298
2005-11-30,524.887
2005-12-30,552.323
2006-01-31,635.616
2006-02-28,637.921
2006-03-31,680.326
2006-04-28,738.679
2006-05-31,742.475
2006-06-30,740.409
2006-07-31,755.812
2006-08-31,790.541
2006-09-29,811.594
2006-10-31,827.924
2006-11-30,857.37
2006-12-29,881.505
2007-01-31,887.167
2007-02-28,884.929
2007-03-30,915.422
2007-04-30,1022.676
2007-05-31,1000.0
2007-06-29,969.88
2007-07-31,999.86
2007-08-31,912.948
2007-09-28,948.771
2007-10-31,986.59
2007-11-30,892.12
2007-12-31,883.894
2008-01-31,683.891
2008-02-29,720.833
2008-03-31,705.476
2008-04-30,764.144
2008-05-30,763.344
2008-06-30,684.737
2008-07-31,624.576
2008-08-29,581.328
2008-09-30,369.727
2008-10-31,243.888
2008-11-28,223.621
2008-12-31,253.209
2009-01-30,201.667
2009-02-27,180.189
2009-03-31,178.863
2009-04-30,235.66
2009-05-29,256.697
2009-06-30,234.65
2009-07-31,267.532
2009-08-31,302.637
2009-09-30,344.936
2009-10-30,299.706
2009-11-30,301.702
2009-12-31,309.46
2010-01-29,307.364
2010-02-26,303.012
2010-03-31,332.511
2010-04-30,320.125
2010-05-31,271.551
2010-06-30,268.513
2010-07-30,304.384
2010-08-31,285.289
2010-09-30,323.877
2010-10-29,349.507
2010-11-30,321.842
2010-12-31,364.105
2011-01-31,375.492
2011-02-28,393.615
2011-03-31,377.715
2011-04-29,395.47
