Date,GERMANY MID VALUE Mid Cap
2001-01-01,317.729
2001-01-02,322.213
2001-01-03,319.868
2001-01-04,322.458
2001-01-05,327.412
2001-01-08,328.952
2001-01-09,325.44
2001-01-10,323.113
2001-01-11,325.424
2001-01-12,324.768
2001-01-15,323.652
2001-01-16,322.611
2001-01-17,320.845
2001-01-18,325.495
2001-01-19,322.849
2001-01-22,321.524
2001-01-23,324.605
2001-01-24,321.408
2001-01-25,321.932
2001-01-26,322.748
2001-01-29,322.487
2001-01-30,326.594
2001-01-31,329.26
2001-02-01,331.633
2001-02-02,329.331
2001-02-05,331.988
2001-02-06,331.217
2001-02-07,332.089
2001-02-08,328.733
2001-02-09,332.177
2001-02-12,333.918
2001-02-13,333.058
2001-02-14,332.46
2001-02-15,329.609
2001-02-16,334.407
2001-02-19,336.825
2001-02-20,332.635
2001-02-21,333.843
2001-02-22,331.376
2001-02-23,331.44
2001-02-26,331.744
2001-02-27,335.839
2001-02-28,333.833
2001-03-01,335.106
2001-03-02,338.589
2001-03-05,335.594
2001-03-06,336.396
2001-03-07,335.574
2001-03-08,337.624
2001-03-09,337.094
2001-03-12,335.724
2001-03-13,326.648
2001-03-14,319.62
2001-03-15,318.248
2001-03-16,312.563
2001-03-19,311.16
2001-03-20,314.049
2001-03-21,308.392
2001-03-22,296.738
2001-03-23,301.43
2001-03-26,304.54
2001-03-27,308.202
2001-03-28,305.907
2001-03-29,304.798
2001-03-30,309.033
2001-04-02,306.908
2001-04-03,306.738
2001-04-04,310.54
2001-04-05,311.824
2001-04-06,312.894
2001-04-09,313.706
2001-04-10,310.392
2001-04-11,309.122
2001-04-12,313.295
2001-04-13,313.295
2001-04-16,310.086
2001-04-17,309.179
2001-04-18,307.832
2001-04-19,314.764
2001-04-20,319.147
2001-04-23,317.915
2001-04-24,317.13
2001-04-25,318.713
2001-04-26,321.554
2001-04-27,318.169
2001-04-30,316.387
2001-05-01,318.065
2001-05-02,317.162
2001-05-03,316.563
2001-05-04,317.319
2001-05-07,316.878
2001-05-08,314.374
2001-05-09,314.699
2001-05-10,314.32
2001-05-11,312.504
2001-05-14,312.119
2001-05-15,315.519
2001-05-16,317.534
2001-05-17,318.044
2001-05-18,316.033
2001-05-21,316.523
2001-05-22,313.3
2001-05-23,311.073
2001-05-24,310.338
2001-05-25,310.569
2001-05-28,311.567
2001-05-29,309.682
2001-05-30,310.481
2001-05-31,308.097
2001-06-01,308.321
2001-06-04,310.116
2001-06-05,309.687
2001-06-06,309.861
2001-06-07,311.93
2001-06-08,311.907
2001-06-11,308.548
2001-06-12,308.988
2001-06-13,309.302
2001-06-14,311.069
2001-06-15,311.137
2001-06-18,311.669
2001-06-19,310.75
2001-06-20,308.115
2001-06-21,307.975
2001-06-22,309.26
2001-06-25,312.058
2001-06-26,313.711
2001-06-27,312.924
2001-06-28,309.416
2001-06-29,309.334
2001-07-02,310.524
2001-07-03,311.164
2001-07-04,310.994
2001-07-05,306.853
2001-07-06,307.769
2001-07-09,308.681
2001-07-10,311.607
2001-07-11,310.967
2001-07-12,308.916
2001-07-13,309.48
2001-07-16,308.973
2001-07-17,308.254
2001-07-18,313.353
2001-07-19,313.71
2001-07-20,314.371
2001-07-23,313.673
2001-07-24,315.701
2001-07-25,314.972
2001-07-26,315.201
2001-07-27,315.343
2001-07-30,317.768
2001-07-31,318.828
2001-08-01,321.174
2001-08-02,323.249
2001-08-03,323.156
2001-08-06,320.537
2001-08-07,318.445
2001-08-08,316.983
2001-08-09,318.683
2001-08-10,322.303
2001-08-13,324.661
2001-08-14,324.49
2001-08-15,329.638
2001-08-16,327.884
2001-08-17,327.732
2001-08-20,323.781
2001-08-21,323.549
2001-08-22,327.221
2001-08-23,322.244
2001-08-24,322.17
2001-08-27,322.415
2001-08-28,323.301
2001-08-29,321.795
2001-08-30,316.561
2001-08-31,316.327
2001-09-03,314.18
2001-09-04,309.328
2001-09-05,307.85
2001-09-06,305.778
2001-09-07,308.355
2001-09-10,304.384
2001-09-11,295.299
2001-09-12,292.864
2001-09-13,293.118
2001-09-14,291.766
2001-09-17,288.101
2001-09-18,284.864
2001-09-19,284.619
2001-09-20,271.799
2001-09-21,259.597
2001-09-24,267.437
2001-09-25,269.151
2001-09-26,272.334
2001-09-27,276.566
2001-09-28,279.17
2001-10-01,281.875
2001-10-02,285.542
2001-10-03,287.917
2001-10-04,290.289
2001-10-05,292.28
2001-10-08,292.036
2001-10-09,291.53
2001-10-10,289.789
2001-10-11,290.053
2001-10-12,293.089
2001-10-15,293.572
2001-10-16,294.592
2001-10-17,293.814
2001-10-18,291.643
2001-10-19,290.066
2001-10-22,287.181
2001-10-23,288.803
2001-10-24,291.131
2001-10-25,292.223
2001-10-26,292.757
2001-10-29,295.717
2001-10-30,292.75
2001-10-31,289.424
2001-11-01,291.305
2001-11-02,291.098
2001-11-05,290.635
2001-11-06,290.57
2001-11-07,293.144
2001-11-08,293.168
2001-11-09,294.512
2001-11-12,293.396
2001-11-13,289.973
2001-11-14,292.343
2001-11-15,292.619
2001-11-16,294.279
2001-11-19,295.345
2001-11-20,296.02
2001-11-21,293.927
2001-11-22,295.192
2001-11-23,295.161
2001-11-26,294.045
2001-11-27,293.812
2001-11-28,292.236
2001-11-29,293.618
2001-11-30,298.398
2001-12-03,297.741
