Date,GERMANY MID VALUE Mid Cap
1994-05-31,236.072
1994-06-30,241.18
1994-07-29,243.01
1994-08-31,245.549
1994-09-30,239.653
1994-10-31,243.607
1994-11-30,232.595
1994-12-30,238.576
1995-01-31,236.796
1995-02-28,247.539
1995-03-31,256.919
1995-04-28,257.054
1995-05-31,257.301
1995-06-30,266.375
1995-07-31,274.379
1995-08-31,255.447
1995-09-29,257.343
1995-10-31,258.844
1995-11-30,252.051
1995-12-29,258.257
1996-01-31,252.971
1996-02-29,252.721
1996-03-29,246.661
1996-04-30,237.258
1996-05-31,242.745
1996-06-28,252.077
1996-07-31,257.846
1996-08-30,257.722
1996-09-30,252.378
1996-10-31,253.357
1996-11-29,250.594
1996-12-31,255.153
1997-01-31,251.122
1997-02-28,250.938
1997-03-31,262.292
1997-04-30,259.126
1997-05-30,277.176
1997-06-30,282.188
1997-07-31,273.705
1997-08-29,272.797
1997-09-30,284.753
1997-10-31,287.65
1997-11-28,281.902
1997-12-31,285.522
1998-01-30,285.181
1998-02-27,304.112
1998-03-31,313.378
1998-04-30,333.368
1998-05-29,340.375
1998-06-30,341.91
1998-07-31,350.175
1998-08-31,325.105
1998-09-30,331.054
1998-10-30,342.926
1998-11-30,346.533
1998-12-31,345.536
1999-01-29,327.34
1999-02-26,322.883
1999-03-31,312.825
1999-04-30,315.743
1999-05-31,314.704
1999-06-30,318.385
1999-07-30,336.995
1999-08-31,333.404
1999-09-30,333.459
1999-10-29,328.466
1999-11-30,311.723
1999-12-31,322.66
2000-01-31,300.089
2000-02-29,296.234
2000-03-31,305.175
2000-04-28,294.599
2000-05-31,306.727
2000-06-30,312.478
2000-07-31,317.06
2000-08-31,312.266
2000-09-29,305.176
2000-10-31,299.66
2000-11-30,311.348
2000-12-29,331.324
2001-01-31,343.348
2001-02-28,348.117
2001-03-30,322.256
2001-04-30,329.779
2001-05-31,320.366
2001-06-29,321.335
2001-07-31,330.968
2001-08-31,328.223
2001-09-28,289.54
2001-10-31,300.174
2001-11-30,309.315
2001-12-31,309.121
2002-01-31,315.302
2002-02-28,316.396
2002-03-29,326.835
2002-04-30,333.861
2002-05-31,342.493
2002-06-28,320.326
2002-07-31,270.703
2002-08-30,259.373
2002-09-30,201.046
2002-10-31,212.449
2002-11-29,239.985
2002-12-31,216.596
2003-01-31,207.51
2003-02-28,184.167
2003-03-31,187.135
2003-04-30,237.533
2003-05-30,242.843
2003-06-30,268.607
2003-07-31,294.809
2003-08-29,302.389
2003-09-30,305.499
2003-10-31,347.727
2003-11-28,370.833
2003-12-31,399.885
2004-01-30,415.959
2004-02-27,413.456
2004-03-31,396.292
2004-04-30,400.497
2004-05-31,394.078
2004-06-30,412.975
2004-07-30,404.775
2004-08-31,398.398
2004-09-30,424.764
2004-10-29,428.391
2004-11-30,470.352
2004-12-31,486.313
2005-01-31,498.484
2005-02-28,533.865
2005-03-31,509.081
2005-04-29,470.173
2005-05-31,493.198
2005-06-30,497.543
2005-07-29,518.461
2005-08-31,516.834
2005-09-30,525.301
2005-10-31,518.321
2005-11-30,531.058
2005-12-30,558.817
2006-01-31,641.274
2006-02-28,643.6
2006-03-31,686.382
2006-04-28,745.255
2006-05-31,746.552
2006-06-30,744.333
2006-07-31,759.819
2006-08-31,794.731
2006-09-29,815.896
2006-10-31,832.312
2006-11-30,861.914
2006-12-29,886.178
2007-01-31,891.869
2007-02-28,889.619
2007-03-30,920.274
2007-04-30,1024.678
2007-05-31,1000.0
2007-06-29,969.88
2007-07-31,999.219
2007-08-31,912.363
2007-09-28,948.163
2007-10-31,985.958
2007-11-30,891.548
2007-12-31,883.327
2008-01-31,683.453
2008-02-29,720.371
2008-03-31,705.024
2008-04-30,763.654
2008-05-30,759.585
2008-06-30,680.76
2008-07-31,620.949
2008-08-29,577.953
2008-09-30,367.58
2008-10-31,242.472
2008-11-28,222.323
2008-12-31,251.738
2009-01-30,200.495
2009-02-27,179.142
2009-03-31,177.825
2009-04-30,234.292
2009-05-29,254.344
2009-06-30,232.498
2009-07-31,265.079
2009-08-31,299.862
2009-09-30,341.773
2009-10-30,296.958
2009-11-30,298.935
2009-12-31,306.623
2010-01-29,304.546
2010-02-26,300.234
2010-03-31,329.462
2010-04-30,317.19
2010-05-31,267.936
2010-06-30,264.66
2010-07-30,300.017
2010-08-31,281.196
2010-09-30,319.23
2010-10-29,344.492
2010-11-30,317.224
2010-12-31,358.881
2011-01-31,370.104
2011-02-28,387.967
2011-03-31,372.296
2011-04-29,389.795
2011-05-31,376.327
2011-06-30,357.297
2011-07-29,345.41
2011-08-31,313.942
2011-09-30,275.095
2011-10-31,310.811
2011-11-30,319.681
2011-12-30,299.25
2012-01-31,343.759
2012-02-29,355.376
2012-03-30,359.087
2012-04-30,348.445
2012-05-31,300.381
2012-06-29,312.114
2012-07-31,324.293
2012-08-31,324.091
2012-09-28,327.42
2012-10-31,350.981
2012-11-30,366.548
2012-12-31,380.601
