Date,NETHERLANDS Standard (Large+Mid Cap)
2001-01-01,6842.977
2001-01-02,6876.783
2001-01-03,6836.544
2001-01-04,6890.371
2001-01-05,6901.154
2001-01-08,6841.948
2001-01-09,6778.931
2001-01-10,6730.184
2001-01-11,6885.415
2001-01-12,6897.651
2001-01-15,6882.322
2001-01-16,6779.083
2001-01-17,6794.683
2001-01-18,6804.663
2001-01-19,6687.792
2001-01-22,6696.005
2001-01-23,6734.051
2001-01-24,6691.813
2001-01-25,6695.619
2001-01-26,6676.112
2001-01-29,6702.381
2001-01-30,6701.681
2001-01-31,6796.75
2001-02-01,6788.691
2001-02-02,6727.152
2001-02-05,6785.533
2001-02-06,6748.317
2001-02-07,6683.124
2001-02-08,6617.608
2001-02-09,6649.971
2001-02-12,6688.063
2001-02-13,6643.046
2001-02-14,6578.833
2001-02-15,6491.304
2001-02-16,6532.095
2001-02-19,6510.047
2001-02-20,6416.946
2001-02-21,6358.099
2001-02-22,6246.618
2001-02-23,6161.576
2001-02-26,6254.994
2001-02-27,6357.05
2001-02-28,6355.191
2001-03-01,6356.134
2001-03-02,6392.718
2001-03-05,6363.605
2001-03-06,6461.674
2001-03-07,6429.454
2001-03-08,6434.598
2001-03-09,6441.319
2001-03-12,6306.52
2001-03-13,6142.033
2001-03-14,6043.107
2001-03-15,6041.465
2001-03-16,5827.229
2001-03-19,5770.388
2001-03-20,5852.047
2001-03-21,5725.91
2001-03-22,5414.486
2001-03-23,5555.249
2001-03-26,5759.208
2001-03-27,5874.088
2001-03-28,5755.443
2001-03-29,5717.738
2001-03-30,5780.71
2001-04-02,5765.422
2001-04-03,5618.555
2001-04-04,5692.81
2001-04-05,5798.009
2001-04-06,5832.509
2001-04-09,5922.535
2001-04-10,5985.911
2001-04-11,5980.12
2001-04-12,6042.974
2001-04-13,6042.974
2001-04-16,5981.087
2001-04-17,5933.505
2001-04-18,6002.663
2001-04-19,6039.679
2001-04-20,6081.662
2001-04-23,5996.797
2001-04-24,6058.079
2001-04-25,6085.855
2001-04-26,6205.039
2001-04-27,6229.152
2001-04-30,6187.278
2001-05-01,6240.201
2001-05-02,6237.246
2001-05-03,6115.291
2001-05-04,6082.444
2001-05-07,6110.178
2001-05-08,6062.801
2001-05-09,6026.29
2001-05-10,6190.582
2001-05-11,6113.088
2001-05-14,6065.248
2001-05-15,6138.904
2001-05-16,6127.233
2001-05-17,6175.294
2001-05-18,6237.428
2001-05-21,6216.126
2001-05-22,6213.417
2001-05-23,6116.397
2001-05-24,6088.516
2001-05-25,6028.782
2001-05-28,6098.996
2001-05-29,6037.85
2001-05-30,5979.746
2001-05-31,5945.488
2001-06-01,5895.063
2001-06-04,5903.072
2001-06-05,5994.192
2001-06-06,5976.972
2001-06-07,5988.657
2001-06-08,5968.044
2001-06-11,5872.007
2001-06-12,5839.758
2001-06-13,5905.055
2001-06-14,5871.993
2001-06-15,5806.291
2001-06-18,5801.633
2001-06-19,5753.869
2001-06-20,5695.982
2001-06-21,5732.26
2001-06-22,5803.903
2001-06-25,5880.445
2001-06-26,5823.609
2001-06-27,5781.396
2001-06-28,5710.815
2001-06-29,5805.062
2001-07-02,5890.119
2001-07-03,5820.644
2001-07-04,5800.115
2001-07-05,5754.205
2001-07-06,5698.924
2001-07-09,5710.42
2001-07-10,5719.945
2001-07-11,5670.374
2001-07-12,5635.575
2001-07-13,5629.642
2001-07-16,5589.322
2001-07-17,5566.86
2001-07-18,5587.304
2001-07-19,5609.272
2001-07-20,5593.484
2001-07-23,5597.243
2001-07-24,5602.866
2001-07-25,5526.947
2001-07-26,5552.674
2001-07-27,5615.709
2001-07-30,5709.438
2001-07-31,5755.196
2001-08-01,5813.252
2001-08-02,5779.208
2001-08-03,5716.973
2001-08-06,5718.018
2001-08-07,5715.098
2001-08-08,5656.379
2001-08-09,5655.412
2001-08-10,5659.59
2001-08-13,5727.656
2001-08-14,5782.558
2001-08-15,5813.034
2001-08-16,5812.836
2001-08-17,5743.899
2001-08-20,5731.454
2001-08-21,5795.218
2001-08-22,5836.492
2001-08-23,5857.381
2001-08-24,5924.28
2001-08-27,5943.291
2001-08-28,5838.602
2001-08-29,5871.31
2001-08-30,5770.194
2001-08-31,5724.418
2001-09-03,5636.29
2001-09-04,5589.744
2001-09-05,5490.594
2001-09-06,5377.449
2001-09-07,5282.176
2001-09-10,5224.54
2001-09-11,4965.829
2001-09-12,4949.925
2001-09-13,5020.888
2001-09-14,4732.539
2001-09-17,4887.431
2001-09-18,4916.969
2001-09-19,4810.743
2001-09-20,4521.914
2001-09-21,4278.125
2001-09-24,4548.93
2001-09-25,4709.578
2001-09-26,4770.195
2001-09-27,4785.672
2001-09-28,4961.06
2001-10-01,4815.998
2001-10-02,4918.057
2001-10-03,4883.479
2001-10-04,5089.183
2001-10-05,5075.345
2001-10-08,5080.092
2001-10-09,5079.564
2001-10-10,5209.35
2001-10-11,5225.02
2001-10-12,5215.815
2001-10-15,4958.503
2001-10-16,4986.381
2001-10-17,5112.18
2001-10-18,4939.526
2001-10-19,4813.474
2001-10-22,4881.19
2001-10-23,5030.868
2001-10-24,5014.179
2001-10-25,4945.571
2001-10-26,5087.065
2001-10-29,5070.04
2001-10-30,4951.307
2001-10-31,4977.378
2001-11-01,5069.102
2001-11-02,5067.824
2001-11-05,5178.485
2001-11-06,5147.729
2001-11-07,5250.42
2001-11-08,5325.429
2001-11-09,5235.483
2001-11-12,5100.136
2001-11-13,5244.716
2001-11-14,5174.551
2001-11-15,5104.927
2001-11-16,5218.868
2001-11-19,5234.417
2001-11-20,5230.834
2001-11-21,5159.881
2001-11-22,5267.662
2001-11-23,5267.669
2001-11-26,5252.33
2001-11-27,5189.207
2001-11-28,5126.956
2001-11-29,5142.869
2001-11-30,5198.474
2001-12-03,5153.033
2001-12-04,5192.963
2001-12-05,5321.994
2001-12-06,5329.922
2001-12-07,5285.088
2001-12-10,5164.553
2001-12-11,5181.714
2001-12-12,5133.67
2001-12-13,5039.463
2001-12-14,5040.907
2001-12-17,5205.852
2001-12-18,5172.882
2001-12-19,5141.427
2001-12-20,5077.766
2001-12-21,5164.478
2001-12-24,5113.144
2001-12-25,5113.144
2001-12-26,5117.511
2001-12-27,5269.452
2001-12-28,5279.186
2001-12-31,5330.673
2002-01-01,5330.673
2002-01-02,5283.686
2002-01-03,5337.527
2002-01-04,5267.606
2002-01-07,5235.687
2002-01-08,5185.757
2002-01-09,5220.242
2002-01-10,5183.59
2002-01-11,5236.705
2002-01-14,5132.936
2002-01-15,5183.148
2002-01-16,5086.112
2002-01-17,5139.368
2002-01-18,5126.544
2002-01-21,5112.739
2002-01-22,5127.82
2002-01-23,5143.918
2002-01-24,5227.393
2002-01-25,5164.517
2002-01-28,5191.103
2002-01-29,5134.533
2002-01-30,5064.642
2002-01-31,5122.806
2002-02-01,5140.056
2002-02-04,5126.505
2002-02-05,5029.581
2002-02-06,4988.088
2002-02-07,5013.962
2002-02-08,4996.837
2002-02-11,5088.738
2002-02-12,5100.901
2002-02-13,5108.189
2002-02-14,5170.39
2002-02-15,5164.999
2002-02-18,5106.749
2002-02-19,5027.534
2002-02-20,4979.918
2002-02-21,5045.54
2002-02-22,5018.925
2002-02-25,5055.262
2002-02-26,5064.261
2002-02-27,5097.834
2002-02-28,5136.763
2002-03-01,5180.181
2002-03-04,5331.919
2002-03-05,5330.462
2002-03-06,5370.278
2002-03-07,5468.209
2002-03-08,5451.514
2002-03-11,5464.754
2002-03-12,5435.826
2002-03-13,5399.872
2002-03-14,5435.159
2002-03-15,5522.527
2002-03-18,5546.714
2002-03-19,5599.635
2002-03-20,5566.661
2002-03-21,5515.609
