Date,NETHERLANDS Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,94.549
1970-02-27,95.344
1970-03-31,96.624
1970-04-30,90.579
1970-05-29,88.379
1970-06-30,88.399
1970-07-31,96.106
1970-08-31,102.503
1970-09-30,100.775
1970-10-30,100.794
1970-11-30,90.648
1970-12-31,92.361
1971-01-29,95.349
1971-02-26,94.962
1971-03-31,96.168
1971-04-30,100.549
1971-05-31,101.882
1971-06-30,100.723
1971-07-30,102.542
1971-08-31,97.93
1971-09-30,92.269
1971-10-29,88.91
1971-11-30,86.695
1971-12-31,92.799
1972-01-31,99.83
1972-02-29,104.824
1972-03-31,103.023
1972-04-28,103.45
1972-05-31,115.895
1972-06-30,112.672
1972-07-31,119.384
1972-08-31,120.336
1972-09-29,114.079
1972-10-31,115.112
1972-11-30,117.16
1972-12-29,118.893
1973-01-31,125.3
1973-02-28,135.64
1973-03-30,141.398
1973-04-30,138.5
1973-05-31,138.178
1973-06-29,140.719
1973-07-31,140.875
1973-08-31,132.203
1973-09-28,136.316
1973-10-31,134.168
1973-11-30,110.149
1973-12-31,111.728
1974-01-31,109.752
1974-02-28,109.356
1974-03-29,110.481
1974-04-30,115.572
1974-05-31,109.616
1974-06-28,105.532
1974-07-31,108.173
1974-08-30,94.724
1974-09-30,85.015
1974-10-31,86.471
1974-11-29,89.333
1974-12-31,92.45
1975-01-31,116.011
1975-02-28,126.832
1975-03-31,125.108
1975-04-30,128.539
1975-05-30,123.17
1975-06-30,126.834
1975-07-31,119.18
1975-08-29,119.498
1975-09-30,109.53
1975-10-31,119.689
1975-11-28,128.694
1975-12-31,136.48
1976-01-30,147.683
1976-02-27,145.605
1976-03-31,152.334
1976-04-30,152.971
1976-05-31,148.516
1976-06-30,145.954
1976-07-30,145.69
1976-08-31,144.708
1976-09-30,143.81
1976-10-29,142.413
1976-11-30,147.774
1976-12-31,157.217
1977-01-31,157.793
1977-02-28,162.482
1977-03-31,165.752
1977-04-29,182.063
1977-05-31,172.16
1977-06-30,173.197
1977-07-29,176.049
1977-08-31,167.192
1977-09-30,171.459
1977-10-31,173.562
1977-11-30,176.907
1977-12-30,180.063
1978-01-31,181.527
1978-02-28,185.882
1978-03-31,193.308
1978-04-28,189.851
1978-05-31,191.568
1978-06-30,195.027
1978-07-31,201.684
1978-08-31,215.937
1978-09-29,217.427
1978-10-31,223.906
1978-11-30,205.631
1978-12-29,213.822
