Date,NETHERLANDS Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,94.638
1970-02-27,95.525
1970-03-31,96.899
1970-04-30,90.929
1970-05-29,88.813
1970-06-30,88.925
1970-07-31,96.773
1970-08-31,103.306
1970-09-30,101.658
1970-10-30,101.773
1970-11-30,91.623
1970-12-31,93.449
1971-01-29,95.937
1971-02-26,96.272
1971-03-31,97.59
1971-04-30,102.131
1971-05-31,103.583
1971-06-30,102.501
1971-07-30,104.452
1971-08-31,99.857
1971-09-30,94.191
1971-10-29,90.869
1971-11-30,88.714
1971-12-31,95.071
1972-01-31,102.386
1972-02-29,107.986
1972-03-31,106.259
1972-04-28,106.812
1972-05-31,119.358
1972-06-30,116.154
1972-07-31,123.188
1972-08-31,124.286
1972-09-29,117.939
1972-10-31,119.123
1972-11-30,121.357
1972-12-29,123.269
1973-01-31,130.032
1973-02-28,140.895
1973-03-30,147.01
1973-04-30,144.129
1973-05-31,143.934
1973-06-29,146.733
1973-07-31,147.048
1973-08-31,138.145
1973-09-28,142.609
1973-10-31,140.528
1973-11-30,115.523
1973-12-31,117.329
1974-01-31,115.677
1974-02-28,115.137
1974-03-29,116.481
1974-04-30,122.015
1974-05-31,115.893
1974-06-28,111.741
1974-07-31,114.707
1974-08-30,100.609
1974-09-30,90.464
1974-10-31,92.184
1974-11-29,95.412
1974-12-31,98.921
1975-01-31,124.319
1975-02-28,136.111
1975-03-31,134.467
1975-04-30,138.364
1975-05-30,132.797
1975-06-30,136.956
1975-07-31,128.886
1975-08-29,129.426
1975-09-30,118.823
1975-10-31,130.038
1975-11-28,140.011
1975-12-31,148.667
1976-01-30,161.058
1976-02-27,158.979
1976-03-31,166.52
1976-04-30,167.403
1976-05-31,162.713
1976-06-30,160.092
1976-07-30,159.991
1976-08-31,159.108
1976-09-30,158.335
1976-10-29,157.013
1976-11-30,163.144
1976-12-31,173.8
1977-01-31,174.661
1977-02-28,180.079
1977-03-31,183.942
1977-04-29,202.29
1977-05-31,191.536
1977-06-30,192.938
1977-07-29,196.367
1977-08-31,186.743
1977-09-30,191.77
1977-10-31,194.39
1977-11-30,198.41
1977-12-30,202.239
1978-01-31,204.178
1978-02-28,209.385
1978-03-31,218.071
1978-04-28,214.48
1978-05-31,216.73
1978-06-30,220.961
1978-07-31,228.826
1978-08-31,245.329
1978-09-29,247.359
1978-10-31,255.116
1978-11-30,234.644
1978-12-29,244.36
1979-01-31,254.404
1979-02-28,252.164
1979-03-30,263.668
1979-04-30,263.958
1979-05-31,254.298
1979-06-29,272.251
1979-07-31,273.738
1979-08-31,287.268
1979-09-28,302.345
1979-10-31,282.828
1979-11-30,288.166
1979-12-31,292.835
1980-01-31,299.856
1980-02-29,298.764
1980-03-31,252.141
1980-04-30,283.428
1980-05-30,296.299
1980-06-30,312.718
1980-07-31,322.627
1980-08-29,318.375
1980-09-30,321.124
1980-10-31,338.097
1980-11-28,354.881
1980-12-31,331.237
1981-01-30,314.818
1981-02-27,313.573
1981-03-31,298.74
1981-04-30,286.042
1981-05-29,264.602
1981-06-30,263.738
1981-07-31,262.394
1981-08-31,263.594
1981-09-30,237.989
1981-10-30,265.81
