Date,NETHERLANDS Standard (Large+Mid Cap)
2001-11-20,7668.511
2001-11-21,7564.492
2001-11-22,7722.501
2001-11-23,7722.512
2001-11-26,7700.025
2001-11-27,7607.484
2001-11-28,7516.223
2001-11-29,7539.552
2001-11-30,7621.071
2001-12-03,7554.453
2001-12-04,7612.991
2001-12-05,7802.212
2001-12-06,7813.834
2001-12-07,7748.106
2001-12-10,7571.399
2001-12-11,7596.557
2001-12-12,7526.123
2001-12-13,7388.013
2001-12-14,7390.129
2001-12-17,7631.944
2001-12-18,7583.609
2001-12-19,7537.495
2001-12-20,7444.166
2001-12-21,7571.287
2001-12-24,7496.031
2001-12-25,7496.031
2001-12-26,7502.434
2001-12-27,7725.183
2001-12-28,7739.454
2001-12-31,7814.935
2002-01-01,7814.935
2002-01-02,7746.051
2002-01-03,7824.984
2002-01-04,7722.477
2002-01-07,7675.683
2002-01-08,7602.484
2002-01-09,7653.04
2002-01-10,7599.307
2002-01-11,7677.176
2002-01-14,7525.046
2002-01-15,7598.659
2002-01-16,7456.401
2002-01-17,7534.477
2002-01-18,7515.676
2002-01-21,7495.438
2002-01-22,7517.546
2002-01-23,7541.146
2002-01-24,7663.524
2002-01-25,7571.345
2002-01-28,7610.321
2002-01-29,7527.388
2002-01-30,7424.926
2002-01-31,7510.196
2002-02-01,7535.484
2002-02-04,7515.619
2002-02-05,7373.525
2002-02-06,7312.695
2002-02-07,7350.627
2002-02-08,7325.522
2002-02-11,7460.252
2002-02-12,7478.082
2002-02-13,7488.766
2002-02-14,7579.955
2002-02-15,7572.052
2002-02-18,7486.656
2002-02-19,7370.524
2002-02-20,7300.718
2002-02-21,7396.921
2002-02-22,7357.903
2002-02-25,7411.174
2002-02-26,7424.367
2002-02-27,7473.586
2002-02-28,7530.657
2002-03-01,7594.309
2002-03-04,7816.761
2002-03-05,7814.626
2002-03-06,7872.997
2002-03-07,8016.567
2002-03-08,7992.261
2002-03-11,8011.671
2002-03-12,7969.262
2002-03-13,7916.55
2002-03-14,7968.283
2002-03-15,8096.37
2002-03-18,8131.831
2002-03-19,8209.415
2002-03-20,8161.074
2002-03-21,8086.229
2002-03-22,8110.125
2002-03-25,8035.948
2002-03-26,8059.599
2002-03-27,8056.917
2002-03-28,8186.486
2002-03-29,8186.486
2002-04-01,8253.581
2002-04-02,8257.415
2002-04-03,8216.595
2002-04-04,8100.2
2002-04-05,8000.477
2002-04-08,7849.892
2002-04-09,7892.168
2002-04-10,7982.413
2002-04-11,7928.85
2002-04-12,7897.647
2002-04-15,7954.424
2002-04-16,8163.027
2002-04-17,8242.703
2002-04-18,8267.087
2002-04-19,8270.953
2002-04-22,8235.21
2002-04-23,8223.62
2002-04-24,8146.149
2002-04-25,8107.028
2002-04-26,8080.439
2002-04-29,8053.622
2002-04-30,8157.761
2002-05-01,8203.932
2002-05-02,8091.652
2002-05-03,8111.039
2002-05-06,8070.485
2002-05-07,7977.898
2002-05-08,8075.933
2002-05-09,8093.19
2002-05-10,8042.27
2002-05-13,8083.381
2002-05-14,8148.012
2002-05-15,8231.599
2002-05-16,8228.939
2002-05-17,8278.559
2002-05-20,8231.613
2002-05-21,8162.655
2002-05-22,8152.621
2002-05-23,8210.635
2002-05-24,8251.35
2002-05-27,8230.325
2002-05-28,8242.274
2002-05-29,8232.378
2002-05-30,8120.653
2002-05-31,8221.346
2002-06-03,8131.569
2002-06-04,7917.002
2002-06-05,7899.975
2002-06-06,8008.158
2002-06-07,7806.549
2002-06-10,7772.802
2002-06-11,7900.561
2002-06-12,7690.049
2002-06-13,7624.379
2002-06-14,7424.645
2002-06-17,7662.023
2002-06-18,7727.122
2002-06-19,7659.598
2002-06-20,7539.649
2002-06-21,7487.159
2002-06-24,7351.843
2002-06-25,7545.815
2002-06-26,7514.448
2002-06-27,7567.13
2002-06-28,7969.007
2002-07-01,7966.41
2002-07-02,7671.794
2002-07-03,7408.579
2002-07-04,7651.806
2002-07-05,7891.437
2002-07-08,7936.893
2002-07-09,7910.227
2002-07-10,7434.49
2002-07-11,7145.367
2002-07-12,7089.694
2002-07-15,6738.971
2002-07-16,6692.445
2002-07-17,6957.838
2002-07-18,7055.301
2002-07-19,6822.565
2002-07-22,6268.339
2002-07-23,6052.67
2002-07-24,5857.23
2002-07-25,6177.627
2002-07-26,6118.39
2002-07-29,6460.522
2002-07-30,6419.42
2002-07-31,6552.012
2002-08-01,6179.361
2002-08-02,6124.152
2002-08-05,5932.757
2002-08-06,6071.999
2002-08-07,6098.887
2002-08-08,6379.529
2002-08-09,6550.402
2002-08-12,6402.704
2002-08-13,6497.023
2002-08-14,6372.591
2002-08-15,6619.895
2002-08-16,6720.529
2002-08-19,6914.26
2002-08-20,6813.871
2002-08-21,6857.311
2002-08-22,7046.028
2002-08-23,6954.548
2002-08-26,6781.833
2002-08-27,7085.164
2002-08-28,6782.96
2002-08-29,6607.199
2002-08-30,6690.759
2002-09-02,6593.015
2002-09-03,6379.74
2002-09-04,6345.998
2002-09-05,6260.702
2002-09-06,6443.093
2002-09-09,6248.804
2002-09-10,6383.382
2002-09-11,6551.105
2002-09-12,6253.7
2002-09-13,6114.751
2002-09-16,6051.683
2002-09-17,5940.358
2002-09-18,5732.0
2002-09-19,5664.778
2002-09-20,5610.869
2002-09-23,5429.142
2002-09-24,5397.347
2002-09-25,5461.487
2002-09-26,5796.808
2002-09-27,5759.087
2002-09-30,5499.677
2002-10-01,5661.922
2002-10-02,5892.29
2002-10-03,5821.355
2002-10-04,5666.737
2002-10-07,5581.034
2002-10-08,5423.313
2002-10-09,5439.061
2002-10-10,5588.235
2002-10-11,5842.751
2002-10-14,5797.829
2002-10-15,6177.254
2002-10-16,6033.059
2002-10-17,6176.933
2002-10-18,6202.865
2002-10-21,6199.205
2002-10-22,6132.637
2002-10-23,5907.656
2002-10-24,6034.733
2002-10-25,5951.153
2002-10-28,6105.267
2002-10-29,5797.237
2002-10-30,6018.54
2002-10-31,6219.442
2002-11-01,6195.099
2002-11-04,6388.893
2002-11-05,6459.411
2002-11-06,6357.215
2002-11-07,6201.278
2002-11-08,6148.971
2002-11-11,6111.199
2002-11-12,6115.753
2002-11-13,6059.258
2002-11-14,6170.139
2002-11-15,6245.378
2002-11-18,6339.679
2002-11-19,6337.354
2002-11-20,6244.924
2002-11-21,6507.447
2002-11-22,6521.931
2002-11-25,6496.521
2002-11-26,6336.911
2002-11-27,6485.049
2002-11-28,6570.852
2002-11-29,6585.729
2002-12-02,6562.67
2002-12-03,6407.767
2002-12-04,6299.356
2002-12-05,6244.245
2002-12-06,6274.147
2002-12-09,6145.156
2002-12-10,6149.006
2002-12-11,6228.505
2002-12-12,6185.989
2002-12-13,6105.27
2002-12-16,6308.393
2002-12-17,6261.003
2002-12-18,6105.338
2002-12-19,6060.185
2002-12-20,6152.705
2002-12-23,6240.824
2002-12-24,6254.041
2002-12-25,6254.041
2002-12-26,6269.812
2002-12-27,6112.763
2002-12-30,6186.878
