Date,PORTUGAL GROWTH Standard (Large+Mid Cap)
2001-01-01,145.31
2001-01-02,146.118
2001-01-03,145.025
2001-01-04,148.433
2001-01-05,150.939
2001-01-08,150.755
2001-01-09,149.629
2001-01-10,150.125
2001-01-11,153.839
2001-01-12,157.925
2001-01-15,158.943
2001-01-16,155.433
2001-01-17,158.462
2001-01-18,161.307
2001-01-19,158.249
2001-01-22,157.3
2001-01-23,155.928
2001-01-24,156.111
2001-01-25,155.336
2001-01-26,155.992
2001-01-29,155.833
2001-01-30,158.179
2001-01-31,159.177
2001-02-01,161.136
2001-02-02,159.831
2001-02-05,159.495
2001-02-06,159.529
2001-02-07,158.42
2001-02-08,154.653
2001-02-09,152.206
2001-02-12,154.761
2001-02-13,153.86
2001-02-14,151.576
2001-02-15,148.701
2001-02-16,148.798
2001-02-19,147.496
2001-02-20,147.387
2001-02-21,146.49
2001-02-22,144.386
2001-02-23,143.218
2001-02-26,144.272
2001-02-27,145.7
2001-02-28,148.144
2001-03-01,150.803
2001-03-02,149.893
2001-03-05,151.63
2001-03-06,152.23
2001-03-07,152.237
2001-03-08,153.009
2001-03-09,150.405
2001-03-12,148.501
2001-03-13,147.785
2001-03-14,144.234
2001-03-15,143.386
2001-03-16,139.642
2001-03-19,138.278
2001-03-20,140.063
2001-03-21,136.65
2001-03-22,130.513
2001-03-23,134.912
2001-03-26,137.069
2001-03-27,137.808
2001-03-28,138.363
2001-03-29,137.234
2001-03-30,137.94
2001-04-02,137.47
2001-04-03,135.652
2001-04-04,140.647
2001-04-05,141.989
2001-04-06,142.126
2001-04-09,144.198
2001-04-10,143.107
2001-04-11,140.71
2001-04-12,140.744
2001-04-13,140.744
2001-04-16,139.302
2001-04-17,139.335
2001-04-18,140.361
2001-04-19,142.292
2001-04-20,143.629
2001-04-23,137.689
2001-04-24,136.205
2001-04-25,136.708
2001-04-26,139.481
2001-04-27,137.4
2001-04-30,138.493
2001-05-01,139.228
2001-05-02,138.859
2001-05-03,138.195
2001-05-04,139.899
2001-05-07,139.904
2001-05-08,138.65
2001-05-09,137.568
2001-05-10,138.722
2001-05-11,137.24
2001-05-14,135.748
2001-05-15,138.129
2001-05-16,138.101
2001-05-17,137.625
2001-05-18,135.995
2001-05-21,132.26
2001-05-22,128.223
2001-05-23,125.655
2001-05-24,124.253
2001-05-25,125.786
2001-05-28,127.515
2001-05-29,125.343
2001-05-30,124.748
2001-05-31,121.819
2001-06-01,121.125
2001-06-04,120.843
2001-06-05,120.894
2001-06-06,120.081
2001-06-07,119.152
2001-06-08,118.608
2001-06-11,115.816
2001-06-12,114.399
2001-06-13,115.769
2001-06-14,116.761
2001-06-15,114.073
2001-06-18,110.361
2001-06-19,109.986
2001-06-20,107.616
2001-06-21,108.027
2001-06-22,110.014
2001-06-25,114.046
2001-06-26,111.64
2001-06-27,110.515
2001-06-28,111.085
2001-06-29,112.344
2001-07-02,112.91
2001-07-03,115.135
2001-07-04,115.457
2001-07-05,113.959
2001-07-06,112.082
2001-07-09,111.636
