Date,PORTUGAL GROWTH Standard (Large+Mid Cap)
2001-01-01,147.291
2001-01-02,148.111
2001-01-03,147.003
2001-01-04,150.457
2001-01-05,152.997
2001-01-08,152.811
2001-01-09,151.669
2001-01-10,152.172
2001-01-11,155.937
2001-01-12,160.078
2001-01-15,161.111
2001-01-16,157.553
2001-01-17,160.623
2001-01-18,163.506
2001-01-19,160.407
2001-01-22,159.445
2001-01-23,158.054
2001-01-24,158.24
2001-01-25,157.454
2001-01-26,158.119
2001-01-29,157.958
2001-01-30,160.336
2001-01-31,161.348
2001-02-01,163.333
2001-02-02,162.01
2001-02-05,161.67
2001-02-06,161.705
2001-02-07,160.58
2001-02-08,156.762
2001-02-09,154.282
2001-02-12,156.871
2001-02-13,155.958
2001-02-14,153.642
2001-02-15,150.729
2001-02-16,150.827
2001-02-19,149.507
2001-02-20,149.396
2001-02-21,148.487
2001-02-22,146.355
2001-02-23,145.171
2001-02-26,146.239
2001-02-27,147.686
2001-02-28,150.164
2001-03-01,152.86
2001-03-02,151.937
2001-03-05,153.698
2001-03-06,154.306
2001-03-07,154.313
2001-03-08,155.095
2001-03-09,152.456
2001-03-12,150.526
2001-03-13,149.8
2001-03-14,146.201
2001-03-15,145.341
2001-03-16,141.546
2001-03-19,140.163
2001-03-20,141.973
2001-03-21,138.513
2001-03-22,132.292
2001-03-23,136.752
2001-03-26,138.938
2001-03-27,139.687
2001-03-28,140.25
2001-03-29,139.105
2001-03-30,139.821
2001-04-02,139.345
2001-04-03,137.502
2001-04-04,142.565
2001-04-05,143.925
2001-04-06,144.064
2001-04-09,146.164
2001-04-10,145.058
2001-04-11,142.759
2001-04-12,142.794
2001-04-13,142.794
2001-04-16,141.332
2001-04-17,141.365
2001-04-18,142.406
2001-04-19,144.365
2001-04-20,145.721
2001-04-23,139.695
2001-04-24,138.189
2001-04-25,138.699
2001-04-26,141.513
2001-04-27,139.402
2001-04-30,140.511
2001-05-01,141.256
2001-05-02,140.882
2001-05-03,140.208
2001-05-04,141.937
2001-05-07,141.942
2001-05-08,140.669
2001-05-09,139.572
2001-05-10,140.743
2001-05-11,139.24
2001-05-14,137.726
2001-05-15,140.141
2001-05-16,140.113
2001-05-17,139.63
2001-05-18,137.976
2001-05-21,134.187
2001-05-22,130.192
2001-05-23,127.584
2001-05-24,126.161
2001-05-25,127.717
2001-05-28,129.472
2001-05-29,127.267
2001-05-30,126.663
2001-05-31,123.689
2001-06-01,122.985
2001-06-04,122.698
2001-06-05,122.75
2001-06-06,121.925
2001-06-07,120.981
2001-06-08,120.429
2001-06-11,117.595
2001-06-12,116.156
2001-06-13,117.546
2001-06-14,118.554
2001-06-15,115.825
2001-06-18,112.055
2001-06-19,111.675
2001-06-20,109.268
2001-06-21,109.685
2001-06-22,111.703
2001-06-25,115.797
2001-06-26,113.354
2001-06-27,112.212
2001-06-28,112.791
2001-06-29,114.069
2001-07-02,114.644
2001-07-03,116.903
2001-07-04,117.229
2001-07-05,115.709
2001-07-06,113.803
2001-07-09,113.35
2001-07-10,113.442
2001-07-11,112.08
2001-07-12,110.238
2001-07-13,110.57
2001-07-16,111.088
2001-07-17,110.707
2001-07-18,113.679
2001-07-19,116.576
2001-07-20,115.92
2001-07-23,115.216
2001-07-24,115.905
2001-07-25,115.215
2001-07-26,115.299
2001-07-27,115.264
2001-07-30,117.425
2001-07-31,118.053
2001-08-01,118.453
2001-08-02,117.943
2001-08-03,118.336
2001-08-06,118.548
2001-08-07,117.215
2001-08-08,115.782
2001-08-09,115.417
2001-08-10,115.941
2001-08-13,118.076
2001-08-14,118.571
2001-08-15,120.382
2001-08-16,118.544
2001-08-17,117.176
2001-08-20,115.833
2001-08-21,115.759
2001-08-22,114.953
2001-08-23,115.612
2001-08-24,116.21
2001-08-27,115.508
2001-08-28,114.221
2001-08-29,115.053
2001-08-30,113.75
2001-08-31,113.955
2001-09-03,112.768
2001-09-04,111.894
2001-09-05,112.387
2001-09-06,110.783
2001-09-07,110.552
2001-09-10,109.65
2001-09-11,106.332
2001-09-12,103.061
2001-09-13,105.1
2001-09-14,102.477
2001-09-17,102.834
2001-09-18,105.131
2001-09-19,108.462
2001-09-20,107.009
2001-09-21,108.714
2001-09-24,110.784
2001-09-25,115.756
2001-09-26,116.515
2001-09-27,116.33
2001-09-28,116.144
2001-10-01,117.172
2001-10-02,116.701
2001-10-03,115.997
2001-10-04,115.602
2001-10-05,116.304
2001-10-08,114.667
2001-10-09,115.937
2001-10-10,118.37
2001-10-11,116.875
2001-10-12,116.585
2001-10-15,116.012
2001-10-16,117.812
2001-10-17,119.56
2001-10-18,118.668
2001-10-19,115.666
2001-10-22,117.525
2001-10-23,120.669
2001-10-24,122.057
2001-10-25,121.139
2001-10-26,119.621
2001-10-29,121.286
2001-10-30,120.18
2001-10-31,121.735
2001-11-01,122.512
2001-11-02,123.326
2001-11-05,124.185
2001-11-06,124.344
2001-11-07,125.816
2001-11-08,126.377
2001-11-09,125.0
2001-11-12,126.455
2001-11-13,125.373
2001-11-14,125.139
2001-11-15,122.147
2001-11-16,121.524
2001-11-19,121.375
2001-11-20,120.771
2001-11-21,118.665
2001-11-22,119.513
2001-11-23,118.787
2001-11-26,118.017
2001-11-27,119.074
2001-11-28,117.3
2001-11-29,119.188
2001-11-30,120.987
2001-12-03,118.431
2001-12-04,120.667
2001-12-05,121.899
2001-12-06,124.057
2001-12-07,123.663
2001-12-10,122.076
2001-12-11,123.603
2001-12-12,124.892
2001-12-13,123.88
2001-12-14,122.989
2001-12-17,122.096
2001-12-18,121.48
2001-12-19,120.536
2001-12-20,120.507
2001-12-21,118.895
2001-12-24,117.709
2001-12-25,117.709
2001-12-26,117.809
2001-12-27,120.791
2001-12-28,121.03
2001-12-31,122.21
2002-01-01,122.21
2002-01-02,123.887
2002-01-03,126.27
2002-01-04,126.36
2002-01-07,123.951
2002-01-08,121.954
2002-01-09,119.637
2002-01-10,119.676
2002-01-11,119.864
2002-01-14,119.268
2002-01-15,119.639
2002-01-16,118.036
2002-01-17,120.022
2002-01-18,121.104
2002-01-21,120.391
2002-01-22,120.163
2002-01-23,117.841
2002-01-24,116.77
2002-01-25,115.254
2002-01-28,117.062
2002-01-29,115.139
2002-01-30,113.394
2002-01-31,113.062
2002-02-01,113.437
2002-02-04,112.254
2002-02-05,112.14
2002-02-06,113.099
2002-02-07,111.754
2002-02-08,111.343
2002-02-11,112.092
2002-02-12,111.932
2002-02-13,109.999
2002-02-14,110.693
2002-02-15,109.867
2002-02-18,109.371
2002-02-19,106.799
2002-02-20,105.792
2002-02-21,104.736
2002-02-22,105.94
2002-02-25,105.239
2002-02-26,107.815
2002-02-27,109.148
2002-02-28,110.713
2002-03-01,111.01
2002-03-04,113.035
2002-03-05,114.065
2002-03-06,114.505
2002-03-07,116.632
2002-03-08,117.825
2002-03-11,118.465
2002-03-12,117.643
2002-03-13,116.205
2002-03-14,117.21
2002-03-15,117.994
2002-03-18,118.342
2002-03-19,119.109
2002-03-20,116.928
2002-03-21,115.017
2002-03-22,116.678
2002-03-25,114.984
2002-03-26,114.884
2002-03-27,114.686
2002-03-28,114.395
2002-03-29,114.395
2002-04-01,115.332
2002-04-02,113.345
2002-04-03,112.617
2002-04-04,113.371
2002-04-05,112.713
2002-04-08,111.947
2002-04-09,114.375
2002-04-10,114.629
2002-04-11,114.63
2002-04-12,113.745
2002-04-15,114.283
2002-04-16,115.712
2002-04-17,117.302
2002-04-18,117.726
2002-04-19,118.424
2002-04-22,117.657
2002-04-23,117.29
2002-04-24,116.807
2002-04-25,117.671
