Date,PORTUGAL GROWTH Standard (Large+Mid Cap)
1996-12-31,100.0
1997-01-31,116.725
1997-02-28,116.147
1997-03-31,120.334
1997-04-30,121.509
1997-05-30,128.175
1997-06-30,134.485
1997-07-31,133.692
1997-08-29,126.278
1997-09-30,145.99
1997-10-31,139.355
1997-11-28,150.406
1997-12-31,155.12
1998-01-30,173.717
1998-02-27,186.179
1998-03-31,191.726
1998-04-30,205.993
1998-05-29,201.002
1998-06-30,195.103
1998-07-31,211.951
1998-08-31,174.535
1998-09-30,150.774
1998-10-30,184.284
1998-11-30,186.001
1998-12-31,195.697
1999-01-29,202.72
1999-02-26,192.764
1999-03-31,178.386
1999-04-30,165.292
1999-05-31,174.043
1999-06-30,161.436
1999-07-30,166.793
1999-08-31,160.003
1999-09-30,160.066
1999-10-29,166.637
1999-11-30,169.393
1999-12-31,180.99
2000-01-31,186.36
2000-02-29,199.907
2000-03-31,186.892
2000-04-28,164.722
2000-05-31,162.664
2000-06-30,168.211
2000-07-31,163.35
2000-08-31,154.182
2000-09-29,152.208
2000-10-31,138.493
2000-11-30,136.253
2000-12-29,147.291
2001-01-31,161.348
2001-02-28,150.164
2001-03-30,139.821
2001-04-30,140.511
2001-05-31,123.689
2001-06-29,114.069
2001-07-31,118.053
2001-08-31,113.955
2001-09-28,116.144
2001-10-31,121.735
2001-11-30,120.987
2001-12-31,122.21
2002-01-31,113.062
2002-02-28,110.713
2002-03-29,114.395
2002-04-30,116.148
2002-05-31,117.285
2002-06-28,117.057
2002-07-31,100.594
2002-08-30,102.759
2002-09-30,78.496
2002-10-31,90.108
2002-11-29,102.972
2002-12-31,103.195
2003-01-31,98.807
2003-02-28,89.492
2003-03-31,87.802
2003-04-30,94.912
2003-05-30,103.994
2003-06-30,98.986
2003-07-31,93.239
2003-08-29,97.829
2003-09-30,105.466
2003-10-31,111.277
2003-11-28,123.009
2003-12-31,131.845
2004-01-30,136.526
2004-02-27,148.462
2004-03-31,145.654
2004-04-30,145.475
2004-05-31,139.39
2004-06-30,144.3
2004-07-30,138.933
2004-08-31,138.391
2004-09-30,147.234
2004-10-29,151.173
2004-11-30,158.707
2004-12-31,166.192
2005-01-31,167.904
2005-02-28,166.408
2005-03-31,160.781
2005-04-29,154.523
2005-05-31,149.299
2005-06-30,142.753
2005-07-29,142.831
2005-08-31,146.066
2005-09-30,146.643
2005-10-31,140.872
2005-11-30,143.368
2005-12-30,155.355
2006-01-31,158.336
2006-02-28,172.606
2006-03-31,183.09
2006-04-28,191.878
2006-05-31,185.413
2006-06-30,189.759
2006-07-31,191.744
2006-08-31,195.968
2006-09-29,198.947
2006-10-31,202.639
2006-11-30,211.277
2006-12-29,219.448
2007-01-31,222.838
2007-02-28,235.535
2007-03-30,236.219
2007-04-30,252.434
2007-05-31,260.993
2007-06-29,257.518
2007-07-31,265.167
2007-08-31,252.843
2007-09-28,254.24
2007-10-31,276.883
2007-11-30,286.27
2007-12-31,277.98
2008-01-31,241.751
2008-02-29,229.214
2008-03-31,238.031
2008-04-30,242.967
2008-05-30,234.062
2008-06-30,192.65
2008-07-31,187.441
2008-08-29,174.41
2008-09-30,152.24
2008-10-31,116.012
2008-11-28,110.043
2008-12-31,116.762
2009-01-30,114.485
2009-02-27,105.453
2009-03-31,116.325
2009-04-30,124.368
2009-05-29,145.281
2009-06-30,144.635
2009-07-31,146.728
2009-08-31,156.431
2009-09-30,167.861
2009-10-30,166.99
2009-11-30,173.608
2009-12-31,172.919
2010-01-29,154.408
2010-02-26,149.586
2010-03-31,157.817
2010-04-30,145.37
2010-05-31,141.051
2010-06-30,141.366
2010-07-30,155.083
2010-08-31,158.99
2010-09-30,177.252
2010-10-29,193.12
2010-11-30,170.704
2010-12-31,182.905
2011-01-31,187.899
2011-02-28,192.23
2011-03-31,196.48
2011-04-29,204.388
2011-05-31,210.145
2011-06-30,223.073
2011-07-29,219.736
2011-08-31,203.757
2011-09-30,180.431
2011-10-31,201.774
2011-11-30,185.083
2011-12-30,171.891
2012-01-31,175.864
2012-02-29,186.671
2012-03-30,187.703
2012-04-30,179.652
2012-05-31,156.633
2012-06-29,148.472
2012-07-31,146.96
2012-08-31,159.837
2012-09-28,166.533
2012-10-31,169.216
2012-11-30,171.491
2012-12-31,176.592
2013-01-31,190.002
2013-02-28,179.57
2013-03-29,178.868
2013-04-30,200.864
2013-05-31,193.542
2013-06-28,183.808
2013-07-31,183.337
2013-08-30,186.185
2013-09-30,191.566
2013-10-31,184.52
2013-11-29,192.968
2013-12-31,188.819
2014-01-31,177.729
2014-02-28,195.085
2014-03-31,194.402
2014-04-30,194.376
2014-05-30,191.53
2014-06-30,174.567
2014-07-31,139.903
2014-08-29,132.959
2014-09-30,119.857
2014-10-31,103.251
2014-11-28,96.935
2014-12-31,82.318
2015-01-30,82.502
2015-02-27,95.995
2015-03-31,97.221
2015-04-30,110.591
2015-05-29,101.272
2015-06-30,97.495
2015-07-31,100.929
2015-08-31,92.19
2015-09-30,84.91
2015-10-30,92.76
2015-11-30,90.302
2015-12-31,88.04
2016-01-29,87.828
2016-02-29,87.179
2016-03-31,99.864
2016-04-29,101.278
2016-05-31,97.744
2016-06-30,100.029
2016-07-29,101.451
2016-08-31,103.736
2016-09-30,104.247
2016-10-31,103.234
2016-11-30,99.907
2016-12-30,103.829
2017-01-31,107.664
2017-02-28,105.114
2017-03-31,112.817
2017-04-28,115.326
2017-05-31,123.737
2017-06-30,121.114
2017-07-31,125.493
2017-08-31,129.077
2017-09-29,135.87
2017-10-31,136.28
2017-11-30,141.519
2017-12-29,138.846
2018-01-31,148.645
2018-02-28,142.873
2018-03-30,135.831
2018-04-30,134.96
2018-05-31,129.529
2018-06-29,127.613
2018-07-31,135.458
2018-08-31,134.775
2018-09-28,133.221
2018-10-31,114.952
2018-11-30,109.427
2018-12-31,106.216
2019-01-31,113.557
2019-02-28,119.806
2019-03-29,117.05
2019-04-30,125.184
2019-05-31,116.781
2019-06-28,121.2
2019-07-31,122.98
2019-08-30,116.972
2019-09-30,123.258
2019-10-31,127.517
2019-11-29,127.784
2019-12-31,132.623
2020-01-31,132.556
2020-02-28,124.126
2020-03-31,111.943
2020-04-30,111.515
2020-05-29,120.497
2020-06-30,123.288
2020-07-31,120.657
2020-08-31,117.42
2020-09-30,114.714
2020-10-30,113.41
2020-11-30,122.61
2020-12-31,121.84
2021-01-29,117.958
2021-02-26,112.385
2021-03-31,121.524
2021-04-30,131.756
2021-05-31,141.265
2021-06-30,135.821
2021-07-30,144.835
2021-08-31,156.829
2021-09-30,147.059
2021-10-29,166.264
2021-11-30,155.144
2021-12-31,158.617
2022-01-31,152.246
2022-02-28,153.067
2022-03-31,166.781
2022-04-29,148.198
2022-05-31,151.485
2022-06-30,154.145
2022-07-29,166.03
2022-08-31,158.461
2022-09-30,133.625
2022-10-31,143.434
2022-11-30,152.45
2022-12-30,149.4
2023-01-31,149.239
2023-02-28,141.891
2023-03-31,160.833
2023-04-28,167.984
2023-05-31,160.279
2023-06-30,177.49
2023-07-31,181.964
2023-08-31,177.276
2023-09-29,167.466
2023-10-31,169.156
2023-11-30,178.931
2023-12-29,184.022
2024-01-31,172.933
2024-02-29,172.53
2024-03-29,160.162
2024-04-30,183.889
2024-05-31,194.959
2024-06-28,186.341
2024-07-31,178.718
2024-08-30,182.457
2024-09-30,174.998
2024-10-31,164.114
2024-11-29,160.441
2024-12-31,156.023
2025-01-31,156.407
2025-02-28,158.437
2025-03-31,159.56
2025-04-30,163.386
2025-05-30,173.473
2025-06-30,187.111
2025-07-31,190.824
