Date,SPAIN IMI IMI (Large+Mid+Small Cap)
1994-05-31,152.434
1994-06-30,145.316
1994-07-29,153.469
1994-08-31,153.044
1994-09-30,148.548
1994-10-31,152.705
1994-11-30,149.566
1994-12-30,141.635
1995-01-31,140.01
1995-02-28,143.142
1995-03-31,140.434
1995-04-28,151.647
1995-05-31,157.983
1995-06-30,160.172
1995-07-31,170.941
1995-08-31,164.07
1995-09-29,164.604
1995-10-31,161.279
1995-11-30,169.024
1995-12-29,176.235
1996-01-31,175.913
1996-02-29,186.352
1996-03-29,183.847
1996-04-30,188.074
1996-05-31,187.0
1996-06-28,195.058
1996-07-31,187.755
1996-08-30,190.932
1996-09-30,193.254
1996-10-31,199.301
1996-11-29,210.549
1996-12-31,230.766
1997-01-31,226.471
1997-02-28,218.557
1997-03-31,225.589
1997-04-30,237.314
1997-05-30,256.738
1997-06-30,275.682
1997-07-31,261.474
1997-08-29,256.857
1997-09-30,288.415
1997-10-31,262.907
1997-11-28,276.375
1997-12-31,282.55
1998-01-30,305.02
1998-02-27,341.68
1998-03-31,384.537
1998-04-30,390.941
1998-05-29,395.527
1998-06-30,395.711
1998-07-31,412.968
1998-08-31,337.264
1998-09-30,330.669
1998-10-30,374.258
1998-11-30,401.408
1998-12-31,415.894
1999-01-29,405.446
1999-02-26,396.784
1999-03-31,378.585
1999-04-30,377.223
1999-05-31,374.331
1999-06-30,374.062
1999-07-30,361.207
1999-08-31,371.609
1999-09-30,365.449
1999-10-29,365.83
1999-11-30,389.162
1999-12-31,425.341
2000-01-31,402.678
2000-02-29,459.202
2000-03-31,436.658
2000-04-28,400.593
2000-05-31,381.668
2000-06-30,389.316
2000-07-31,378.19
2000-08-31,374.564
2000-09-29,374.222
2000-10-31,342.193
2000-11-30,314.629
2000-12-29,338.309
2001-01-31,366.888
2001-02-28,341.188
2001-03-30,321.297
2001-04-30,338.935
2001-05-31,315.979
2001-06-29,297.468
2001-07-31,294.93
2001-08-31,299.413
2001-09-28,269.948
2001-10-31,282.664
2001-11-30,303.0
2001-12-31,301.228
2002-01-31,283.737
2002-02-28,288.329
2002-03-29,295.038
2002-04-30,303.897
2002-05-31,308.347
2002-06-28,282.989
2002-07-31,255.653
2002-08-30,264.011
2002-09-30,223.777
2002-10-31,255.464
2002-11-29,279.541
2002-12-31,267.607
2003-01-31,270.78
2003-02-28,274.549
2003-03-31,273.965
2003-04-30,311.504
2003-05-30,328.55
2003-06-30,339.385
2003-07-31,344.503
2003-08-29,339.605
2003-09-30,341.49
2003-10-31,364.654
2003-11-28,382.96
2003-12-31,430.013
2004-01-30,435.85
2004-02-27,453.363
2004-03-31,435.013
2004-04-30,430.235
2004-05-31,431.844
2004-06-30,437.846
2004-07-30,427.992
2004-08-31,429.041
2004-09-30,446.798
2004-10-29,483.071
2004-11-30,522.337
2004-12-31,558.187
2005-01-31,548.049
2005-02-28,568.811
2005-03-31,550.153
2005-04-29,533.608
2005-05-31,537.297
2005-06-30,547.556
2005-07-29,571.228
2005-08-31,571.369
2005-09-30,605.523
2005-10-31,584.606
2005-11-30,580.834
2005-12-30,590.515
2006-01-31,630.074
2006-02-28,655.634
2006-03-31,670.89
2006-04-28,703.134
2006-05-31,685.697
2006-06-30,694.208
2006-07-31,715.089
2006-08-31,739.435
2006-09-29,777.784
2006-10-31,832.819
2006-11-30,873.237
2006-12-29,889.031
2007-01-31,910.662
2007-02-28,909.543
2007-03-30,939.244
2007-04-30,951.819
2007-05-31,1000.0
2007-06-29,974.186
2007-07-31,989.184
2007-08-31,964.156
2007-09-28,1011.387
2007-10-31,1125.31
2007-11-30,1131.056
2007-12-31,1087.684
2008-01-31,959.658
2008-02-29,978.963
2008-03-31,1031.354
2008-04-30,1058.666
2008-05-30,1047.802
2008-06-30,938.526
2008-07-31,923.464
2008-08-29,860.291
2008-09-30,768.19
2008-10-31,575.187
2008-11-28,564.633
2008-12-31,635.975
2009-01-30,542.319
2009-02-27,484.886
2009-03-31,520.173
2009-04-30,606.14
2009-05-29,684.513
2009-06-30,710.482
2009-07-31,806.483
2009-08-31,856.658
2009-09-30,902.641
2009-10-30,891.902
2009-11-30,929.08
2009-12-31,910.078
2010-01-29,807.267
2010-02-26,749.163
2010-03-31,775.562
2010-04-30,738.8
2010-05-31,615.219
2010-06-30,613.628
2010-07-30,745.177
2010-08-31,705.201
2010-09-30,780.707
2010-10-29,818.026
2010-11-30,652.561
2010-12-31,716.795
2011-01-31,811.504
2011-02-28,820.05
2011-03-31,816.587
2011-04-29,880.468
2011-05-31,830.868
2011-06-30,826.027
2011-07-29,764.348
2011-08-31,697.554
2011-09-30,638.187
2011-10-31,695.354
2011-11-30,637.126
2011-12-30,623.806
2012-01-31,631.801
2012-02-29,643.29
2012-03-30,606.373
2012-04-30,532.296
2012-05-31,439.663
2012-06-29,528.174
2012-07-31,491.907
2012-08-31,555.277
2012-09-28,586.307
2012-10-31,603.79
2012-11-30,613.984
2012-12-31,643.563
2013-01-31,686.915
2013-02-28,648.758
2013-03-29,610.495
2013-04-30,671.64
2013-05-31,653.311
2013-06-28,609.558
2013-07-31,687.21
2013-08-30,671.29
2013-09-30,767.129
2013-10-31,837.238
2013-11-29,835.249
2013-12-31,855.077
2014-01-31,842.356
2014-02-28,880.477
2014-03-31,901.025
2014-04-30,923.99
2014-05-30,945.709
2014-06-30,960.786
2014-07-31,927.635
2014-08-29,914.292
2014-09-30,885.92
2014-10-31,850.073
2014-11-28,872.945
2014-12-31,811.859
2015-01-30,764.203
2015-02-27,819.363
2015-03-31,813.463
2015-04-30,841.994
2015-05-29,814.837
2015-06-30,798.339
2015-07-31,825.002
2015-08-31,766.989
2015-09-30,708.586
2015-10-30,759.489
2015-11-30,732.375
2015-12-31,694.686
2016-01-29,640.582
2016-02-29,619.684
2016-03-31,669.233
2016-04-29,702.152
2016-05-31,684.697
2016-06-30,619.149
2016-07-29,659.773
2016-08-31,668.591
2016-09-30,678.628
2016-10-31,695.285
2016-11-30,637.954
2016-12-30,687.568
2017-01-31,706.744
2017-02-28,710.738
2017-03-31,783.989
2017-04-28,820.675
2017-05-31,860.502
2017-06-30,844.518
2017-07-31,882.5
2017-08-31,873.066
2017-09-29,879.248
2017-10-31,879.936
2017-11-30,876.532
2017-12-29,870.295
2018-01-31,945.935
2018-02-28,875.317
2018-03-30,860.338
2018-04-30,883.735
2018-05-31,805.573
2018-06-29,823.444
2018-07-31,851.455
2018-08-31,806.421
2018-09-28,805.267
2018-10-31,745.424
2018-11-30,756.139
2018-12-31,726.885
2019-01-31,775.304
2019-02-28,788.89
2019-03-29,778.218
2019-04-30,809.293
2019-05-31,762.323
2019-06-28,797.944
2019-07-31,764.456
2019-08-30,738.073
2019-09-30,765.375
2019-10-31,785.145
2019-11-29,784.213
2019-12-31,814.946
2020-01-31,792.304
2020-02-28,735.635
2020-03-31,572.271
2020-04-30,584.488
2020-05-29,607.944
2020-06-30,632.742
2020-07-31,636.358
2020-08-31,649.552
2020-09-30,615.226
2020-10-30,588.709
2020-11-30,758.767
2020-12-31,782.901
2021-01-29,750.855
2021-02-26,792.106
2021-03-31,797.647
2021-04-30,840.739
2021-05-31,886.807
2021-06-30,837.876
2021-07-30,825.981
2021-08-31,839.28
2021-09-30,814.926
2021-10-29,844.494
2021-11-30,756.716
2021-12-31,803.916
2022-01-31,790.164
2022-02-28,780.082
2022-03-31,774.039
2022-04-29,752.522
2022-05-31,787.581
2022-06-30,706.782
2022-07-29,693.548
2022-08-31,665.12
2022-09-30,606.352
2022-10-31,663.315
2022-11-30,726.31
2022-12-30,744.792
2023-01-31,829.383
2023-02-28,848.857
2023-03-31,852.827
2023-04-28,874.508
2023-05-31,825.564
2023-06-30,897.342
2023-07-31,919.783
2023-08-31,892.844
