Date,SPAIN IMI IMI (Large+Mid+Small Cap)
1994-05-31,142.802
1994-06-30,136.199
1994-07-29,144.191
1994-08-31,143.811
1994-09-30,139.592
1994-10-31,143.642
1994-11-30,140.715
1994-12-30,133.257
1995-01-31,132.025
1995-02-28,135.053
1995-03-31,132.518
1995-04-28,143.201
1995-05-31,149.225
1995-06-30,151.384
1995-07-31,161.997
1995-08-31,155.485
1995-09-29,155.998
1995-10-31,153.003
1995-11-30,160.361
1995-12-29,167.22
1996-01-31,167.31
1996-02-29,177.261
1996-03-29,174.919
1996-04-30,179.067
1996-05-31,178.058
1996-06-28,185.972
1996-07-31,179.343
1996-08-30,182.377
1996-09-30,184.605
1996-10-31,190.544
1996-11-29,201.319
1996-12-31,220.706
1997-01-31,217.006
1997-02-28,209.444
1997-03-31,216.214
1997-04-30,227.585
1997-05-30,246.229
1997-06-30,264.586
1997-07-31,251.337
1997-08-29,246.9
1997-09-30,277.267
1997-10-31,252.852
1997-11-28,265.832
1997-12-31,271.808
1998-01-30,293.823
1998-02-27,329.171
1998-03-31,370.513
1998-04-30,376.794
1998-05-29,381.366
1998-06-30,381.784
1998-07-31,398.78
1998-08-31,325.679
1998-09-30,319.33
1998-10-30,361.427
1998-11-30,387.646
1998-12-31,401.636
1999-01-29,391.837
1999-02-26,383.469
1999-03-31,365.904
1999-04-30,364.614
1999-05-31,361.828
1999-06-30,361.624
1999-07-30,349.539
1999-08-31,359.607
1999-09-30,353.654
1999-10-29,354.105
1999-11-30,376.71
1999-12-31,411.782
2000-01-31,390.229
2000-02-29,445.007
2000-03-31,423.185
2000-04-28,388.258
2000-05-31,369.922
2000-06-30,377.37
2000-07-31,367.038
2000-08-31,363.521
2000-09-29,363.198
2000-10-31,332.293
2000-11-30,305.532
2000-12-29,328.546
2001-01-31,356.652
2001-02-28,331.672
2001-03-30,312.343
2001-04-30,329.615
2001-05-31,307.318
2001-06-29,289.382
2001-07-31,287.251
2001-08-31,291.617
2001-09-28,262.928
2001-10-31,275.455
2001-11-30,295.291
2001-12-31,293.573
2002-01-31,276.766
2002-02-28,281.249
2002-03-29,287.799
2002-04-30,296.58
2002-05-31,300.943
2002-06-28,276.232
2002-07-31,249.827
2002-08-30,258.08
2002-09-30,218.76
2002-10-31,249.851
2002-11-29,273.484
2002-12-31,261.815
2003-01-31,265.153
2003-02-28,268.917
2003-03-31,268.368
2003-04-30,305.246
2003-05-30,322.024
2003-06-30,332.684
2003-07-31,338.209
2003-08-29,333.477
2003-09-30,335.332
2003-10-31,358.327
2003-11-28,376.432
2003-12-31,422.688
2004-01-30,428.76
2004-02-27,446.095
2004-03-31,428.069
2004-04-30,423.484
2004-05-31,425.43
2004-06-30,431.426
2004-07-30,422.15
2004-08-31,423.277
2004-09-30,440.798
2004-10-29,476.724
2004-11-30,515.876
2004-12-31,551.289
2005-01-31,541.674
2005-02-28,562.347
2005-03-31,543.938
2005-04-29,527.772
2005-05-31,531.856
2005-06-30,542.099
2005-07-29,566.066
2005-08-31,566.346
2005-09-30,600.207
2005-10-31,579.619
2005-11-30,576.352
2005-12-30,585.966
2006-01-31,625.671
2006-02-28,651.202
2006-03-31,666.394
2006-04-28,698.634
2006-05-31,681.913
2006-06-30,690.463
2006-07-31,712.333
2006-08-31,736.771
2006-09-29,774.989
2006-10-31,830.018
2006-11-30,870.93
2006-12-29,886.69
2007-01-31,909.014
2007-02-28,908.127
2007-03-30,937.843
2007-04-30,950.847
2007-05-31,1000.0
2007-06-29,974.24
2007-07-31,990.415
2007-08-31,965.713
2007-09-28,1013.03
2007-10-31,1127.597
2007-11-30,1134.395
2007-12-31,1090.926
2008-01-31,963.352
2008-02-29,983.085
2008-03-31,1035.716
2008-04-30,1063.859
2008-05-30,1054.966
2008-06-30,944.857
2008-07-31,930.945
2008-08-29,867.801
2008-09-30,774.93
2008-10-31,580.567
2008-11-28,571.165
2008-12-31,643.423
2009-01-30,549.491
2009-02-27,491.671
2009-03-31,527.47
2009-04-30,614.807
2009-05-29,696.507
2009-06-30,723.001
2009-07-31,821.828
2009-08-31,873.507
2009-09-30,920.452
2009-10-30,910.225
2009-11-30,949.283
2009-12-31,930.653
2010-01-29,825.684
2010-02-26,766.714
2010-03-31,793.761
2010-04-30,756.417
2010-05-31,631.878
2010-06-30,630.694
2010-07-30,766.696
2010-08-31,726.056
2010-09-30,803.842
2010-10-29,843.048
2010-11-30,673.745
2010-12-31,740.515
2011-01-31,839.511
2011-02-28,848.417
2011-03-31,844.877
2011-04-29,911.446
2011-05-31,863.016
2011-06-30,858.177
2011-07-29,795.425
2011-08-31,726.493
2011-09-30,664.962
2011-10-31,725.187
2011-11-30,666.161
2011-12-30,652.375
2012-01-31,662.294
2012-02-29,674.409
2012-03-30,635.766
2012-04-30,559.497
2012-05-31,464.043
2012-06-29,557.862
2012-07-31,521.302
2012-08-31,588.459
2012-09-28,621.401
2012-10-31,640.993
