Date,CANADA IMI IMI (Large+Mid+Small Cap)
1994-05-31,154.062
1994-06-30,144.447
1994-07-29,149.581
1994-08-31,156.747
1994-09-30,161.154
1994-10-31,158.407
1994-11-30,149.306
1994-12-30,151.141
1995-01-31,143.831
1995-02-28,150.127
1995-03-31,156.205
1995-04-28,159.877
1995-05-31,166.271
1995-06-30,168.718
1995-07-31,172.947
1995-08-31,173.044
1995-09-29,173.055
1995-10-31,170.407
1995-11-30,176.597
1995-12-29,178.999
1996-01-31,186.675
1996-02-29,186.978
1996-03-29,190.361
1996-04-30,198.146
1996-05-31,201.359
1996-06-28,195.13
1996-07-31,188.982
1996-08-30,198.527
1996-09-30,205.444
1996-10-31,220.502
1996-11-29,234.153
1996-12-31,228.563
1997-01-31,240.803
1997-02-28,240.737
1997-03-31,227.242
1997-04-30,230.052
1997-05-30,248.943
1997-06-30,253.762
1997-07-31,270.082
1997-08-29,259.679
1997-09-30,278.205
1997-10-31,265.265
1997-11-28,252.25
1997-12-31,258.444
1998-01-30,253.047
1998-02-27,275.361
1998-03-31,294.549
1998-04-30,295.902
1998-05-29,291.079
1998-06-30,280.777
1998-07-31,261.667
1998-08-31,204.292
1998-09-30,210.963
1998-10-30,229.576
1998-11-30,238.704
1998-12-31,245.438
1999-01-29,261.259
1999-02-26,247.636
1999-03-31,258.853
1999-04-30,284.604
1999-05-31,277.022
1999-06-30,284.226
1999-07-30,283.379
1999-08-31,280.345
1999-09-30,284.734
1999-10-29,296.858
1999-11-30,308.989
1999-12-31,349.709
2000-01-31,352.476
2000-02-29,381.954
2000-03-31,394.515
2000-04-28,380.998
2000-05-31,373.916
2000-06-30,410.926
2000-07-31,417.555
2000-08-31,453.892
2000-09-29,420.158
2000-10-31,389.391
2000-11-30,354.686
2000-12-29,372.469
2001-01-31,385.757
2001-02-28,334.923
2001-03-30,308.112
2001-04-30,329.008
2001-05-31,335.448
2001-06-29,326.888
2001-07-31,322.929
2001-08-31,307.366
2001-09-28,280.025
2001-10-31,280.186
2001-11-30,304.171
2001-12-31,311.865
2002-01-31,310.56
2002-02-28,308.83
2002-03-29,320.773
2002-04-30,319.984
2002-05-31,329.707
2002-06-28,310.624
2002-07-31,275.886
2002-08-30,280.775
2002-09-30,258.401
2002-10-31,266.326
2002-11-29,280.959
2002-12-31,281.059
2003-01-31,288.524
2003-02-28,297.203
2003-03-31,292.475
2003-04-30,311.141
2003-05-30,338.634
2003-06-30,349.452
2003-07-31,351.142
2003-08-29,370.269
2003-09-30,377.783
2003-10-31,406.529
2003-11-28,417.907
2003-12-31,441.237
2004-01-30,444.097
2004-02-27,455.442
2004-03-31,455.822
2004-04-30,417.807
2004-05-31,430.898
2004-06-30,446.975
2004-07-30,446.247
2004-08-31,446.907
2004-09-30,482.34
2004-10-29,512.241
2004-11-30,535.185
2004-12-31,545.131
2005-01-31,523.476
2005-02-28,557.516
2005-03-31,564.176
2005-04-29,530.669
2005-05-31,545.446
2005-06-30,577.877
2005-07-29,608.592
2005-08-31,643.602
2005-09-30,682.955
2005-10-31,634.75
2005-11-30,670.27
2005-12-30,701.185
2006-01-31,762.985
2006-02-28,750.559
2006-03-31,762.112
2006-04-28,801.268
2006-05-31,781.019
2006-06-30,765.249
2006-07-31,767.519
2006-08-31,801.081
