Date,CANADA IMI IMI (Large+Mid+Small Cap)
2001-01-01,372.469
2001-01-02,362.025
2001-01-03,372.834
2001-01-04,370.389
2001-01-05,362.499
2001-01-08,363.044
2001-01-09,359.743
2001-01-10,360.4
2001-01-11,368.756
2001-01-12,364.97
2001-01-15,366.103
2001-01-16,366.03
2001-01-17,368.028
2001-01-18,367.594
2001-01-19,376.881
2001-01-22,376.581
2001-01-23,382.314
2001-01-24,381.394
2001-01-25,378.046
2001-01-26,378.024
2001-01-29,384.511
2001-01-30,386.779
2001-01-31,385.757
2001-02-01,386.928
2001-02-02,384.923
2001-02-05,385.175
2001-02-06,383.514
2001-02-07,376.548
2001-02-08,375.112
2001-02-09,371.319
2001-02-12,370.117
2001-02-13,367.758
2001-02-14,365.701
2001-02-15,367.174
2001-02-16,346.539
2001-02-19,347.68
2001-02-20,339.856
2001-02-21,332.173
2001-02-22,334.742
2001-02-23,330.899
2001-02-26,337.07
2001-02-27,335.161
2001-02-28,334.923
2001-03-01,333.538
2001-03-02,329.089
2001-03-05,332.349
2001-03-06,337.766
2001-03-07,339.241
2001-03-08,336.718
2001-03-09,333.079
2001-03-12,324.951
2001-03-13,326.845
2001-03-14,320.546
2001-03-15,319.302
2001-03-16,313.917
2001-03-19,319.495
2001-03-20,315.048
2001-03-21,308.932
2001-03-22,308.483
2001-03-23,308.815
2001-03-26,313.295
2001-03-27,314.308
2001-03-28,304.588
2001-03-29,302.008
2001-03-30,308.112
2001-04-02,309.767
2001-04-03,301.198
2001-04-04,302.421
2001-04-05,306.325
2001-04-06,304.766
2001-04-09,307.949
2001-04-10,317.089
2001-04-11,314.733
2001-04-12,318.997
2001-04-13,319.001
2001-04-16,316.835
2001-04-17,319.401
2001-04-18,328.325
2001-04-19,333.041
2001-04-20,332.643
2001-04-23,326.65
2001-04-24,323.527
2001-04-25,327.197
2001-04-26,328.147
2001-04-27,329.138
2001-04-30,329.008
2001-05-01,329.657
2001-05-02,332.815
2001-05-03,330.021
2001-05-04,331.008
2001-05-07,331.524
2001-05-08,331.754
2001-05-09,332.67
2001-05-10,335.295
2001-05-11,330.098
2001-05-14,328.777
2001-05-15,331.107
2001-05-16,336.395
2001-05-17,340.53
2001-05-18,341.886
2001-05-21,342.317
2001-05-22,344.967
2001-05-23,342.353
2001-05-24,341.929
2001-05-25,340.054
2001-05-28,340.467
2001-05-29,340.154
2001-05-30,334.248
2001-05-31,335.448
2001-06-01,341.906
2001-06-04,343.676
2001-06-05,341.959
2001-06-06,341.218
2001-06-07,342.329
2001-06-08,340.239
2001-06-11,339.577
2001-06-12,338.534
2001-06-13,337.312
2001-06-14,333.489
2001-06-15,328.665
2001-06-18,323.705
2001-06-19,323.171
2001-06-20,322.503
2001-06-21,323.928
2001-06-22,325.163
2001-06-25,325.023
2001-06-26,322.518
2001-06-27,319.391
