Date,CANADA IMI IMI (Large+Mid+Small Cap)
2001-01-01,383.115
2001-01-02,372.373
2001-01-03,383.49
2001-01-04,380.975
2001-01-05,372.859
2001-01-08,373.419
2001-01-09,370.024
2001-01-10,370.699
2001-01-11,379.293
2001-01-12,375.398
2001-01-15,376.563
2001-01-16,376.487
2001-01-17,378.537
2001-01-18,378.091
2001-01-19,387.643
2001-01-22,387.316
2001-01-23,393.211
2001-01-24,392.265
2001-01-25,388.821
2001-01-26,388.799
2001-01-29,395.468
2001-01-30,397.794
2001-01-31,396.728
2001-02-01,397.932
2001-02-02,395.87
2001-02-05,396.129
2001-02-06,394.415
2001-02-07,387.239
2001-02-08,385.762
2001-02-09,381.861
2001-02-12,380.622
2001-02-13,378.19
2001-02-14,376.073
2001-02-15,377.587
2001-02-16,356.362
2001-02-19,357.534
2001-02-20,349.473
2001-02-21,341.558
2001-02-22,344.195
2001-02-23,340.244
2001-02-26,346.588
2001-02-27,344.619
2001-02-28,344.362
2001-03-01,342.926
2001-03-02,338.352
2001-03-05,341.703
2001-03-06,347.269
2001-03-07,348.769
2001-03-08,346.165
2001-03-09,342.421
2001-03-12,334.064
2001-03-13,335.982
2001-03-14,329.468
2001-03-15,328.186
2001-03-16,322.651
2001-03-19,328.384
2001-03-20,323.809
2001-03-21,317.523
2001-03-22,317.061
2001-03-23,317.399
2001-03-26,321.991
2001-03-27,323.032
2001-03-28,313.022
2001-03-29,310.368
2001-03-30,316.627
2001-04-02,318.328
2001-04-03,309.522
2001-04-04,310.779
2001-04-05,314.789
2001-04-06,313.181
2001-04-09,316.452
2001-04-10,325.844
2001-04-11,323.422
2001-04-12,327.804
2001-04-13,327.807
2001-04-16,325.582
2001-04-17,328.218
2001-04-18,337.386
2001-04-19,342.233
2001-04-20,341.805
2001-04-23,335.647
2001-04-24,332.439
2001-04-25,336.209
2001-04-26,337.181
2001-04-27,338.194
2001-04-30,338.06
2001-05-01,338.727
2001-05-02,341.954
2001-05-03,339.077
2001-05-04,340.086
2001-05-07,340.616
2001-05-08,340.851
2001-05-09,341.793
2001-05-10,344.482
2001-05-11,339.131
2001-05-14,337.772
2001-05-15,340.162
2001-05-16,345.589
2001-05-17,349.837
2001-05-18,351.23
2001-05-21,351.674
2001-05-22,354.373
2001-05-23,351.681
2001-05-24,351.24
2001-05-25,349.314
2001-05-28,349.739
2001-05-29,349.406
2001-05-30,343.325
2001-05-31,344.555
2001-06-01,351.18
2001-06-04,352.997
2001-06-05,351.222
2001-06-06,350.437
2001-06-07,351.577
2001-06-08,349.428
2001-06-11,348.749
2001-06-12,347.659
2001-06-13,346.354
2001-06-14,342.428
2001-06-15,337.474
2001-06-18,332.381
2001-06-19,331.833
2001-06-20,331.146
2001-06-21,332.61
2001-06-22,333.878
2001-06-25,333.726
2001-06-26,331.138
2001-06-27,327.9
2001-06-28,328.872
2001-06-29,335.572
2001-07-02,336.079
2001-07-03,338.249
2001-07-04,336.786
2001-07-05,334.847
2001-07-06,329.781
2001-07-09,330.248
2001-07-10,327.549
2001-07-11,325.905
2001-07-12,329.884
2001-07-13,331.097
2001-07-16,326.051
2001-07-17,328.702
2001-07-18,326.761
2001-07-19,327.175
2001-07-20,326.69
2001-07-23,325.135
2001-07-24,324.931
2001-07-25,326.683
2001-07-26,326.469
2001-07-27,329.343
2001-07-30,329.09
2001-07-31,331.466
2001-08-01,331.771
2001-08-02,332.076
2001-08-03,332.279
2001-08-06,334.055
2001-08-07,333.824
2001-08-08,329.963
2001-08-09,330.177
2001-08-10,327.399
2001-08-13,327.341
2001-08-14,325.759
2001-08-15,325.024
2001-08-16,326.435
2001-08-17,321.939
2001-08-20,321.644
2001-08-21,319.203
2001-08-22,322.64
2001-08-23,323.011
2001-08-24,327.182
2001-08-27,327.819
2001-08-28,324.762
2001-08-29,320.801
2001-08-30,317.348
2001-08-31,315.381
2001-09-03,315.09
2001-09-04,318.355
2001-09-05,316.642
2001-09-06,316.093
2001-09-07,313.02
2001-09-10,311.706
2001-09-11,298.646
2001-09-12,301.173
2001-09-13,301.64
2001-09-14,292.559
2001-09-17,293.398
2001-09-18,289.805
2001-09-19,284.634
2001-09-20,276.968
2001-09-21,276.317
2001-09-24,282.17
2001-09-25,283.767
2001-09-26,281.013
2001-09-27,280.947
2001-09-28,287.074
2001-10-01,286.435
2001-10-02,289.316
2001-10-03,292.102
2001-10-04,291.978
2001-10-05,292.708
2001-10-08,293.121
2001-10-09,292.09
2001-10-10,294.16
2001-10-11,298.977
2001-10-12,297.649
2001-10-15,296.175
2001-10-16,298.357
2001-10-17,293.918
2001-10-18,289.851
2001-10-19,290.095
2001-10-22,290.188
2001-10-23,291.819
2001-10-24,291.123
2001-10-25,292.294
2001-10-26,294.748
2001-10-29,290.452
2001-10-30,286.344
2001-10-31,287.177
2001-11-01,290.009
2001-11-02,291.495
2001-11-05,293.503
2001-11-06,295.509
2001-11-07,296.507
2001-11-08,295.623
2001-11-09,297.081
2001-11-12,297.641
2001-11-13,302.846
2001-11-14,304.625
2001-11-15,301.593
2001-11-16,303.573
2001-11-19,308.993
2001-11-20,305.884
2001-11-21,302.051
2001-11-22,304.366
2001-11-23,306.264
2001-11-26,307.257
2001-11-27,308.324
2001-11-28,306.736
2001-11-29,309.305
2001-11-30,311.666
2001-12-03,308.817
2001-12-04,312.853
2001-12-05,320.092
2001-12-06,318.825
2001-12-07,319.587
2001-12-10,316.648
2001-12-11,315.764
2001-12-12,319.592
2001-12-13,314.531
2001-12-14,314.09
2001-12-17,318.396
2001-12-18,318.618
2001-12-19,315.3
2001-12-20,313.371
2001-12-21,314.33
2001-12-24,312.799
2001-12-25,312.817
2001-12-26,312.733
2001-12-27,317.128
2001-12-28,318.635
2001-12-31,319.382
2002-01-01,319.376
2002-01-02,317.301
2002-01-03,322.159
2002-01-04,324.007
2002-01-07,325.092
2002-01-08,321.759
2002-01-09,321.634
2002-01-10,318.657
2002-01-11,318.972
2002-01-14,315.638
2002-01-15,317.619
2002-01-16,315.311
2002-01-17,314.018
2002-01-18,311.9
2002-01-21,310.576
