Date,USA VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,114.337
1975-02-28,117.544
1975-03-31,119.218
1975-04-30,124.335
1975-05-30,130.31
1975-06-30,139.273
1975-07-31,133.147
1975-08-29,130.139
1975-09-30,127.25
1975-10-31,133.892
1975-11-28,136.581
1975-12-31,137.203
1976-01-30,152.618
1976-02-27,152.771
1976-03-31,158.619
1976-04-30,159.347
1976-05-31,158.334
1976-06-30,165.818
1976-07-30,166.618
1976-08-31,166.665
1976-09-30,173.536
1976-10-29,171.114
1976-11-30,172.231
1976-12-31,183.243
1977-01-31,179.334
1977-02-28,174.983
1977-03-31,173.56
1977-04-29,177.824
1977-05-31,176.412
1977-06-30,182.81
1977-07-29,180.363
1977-08-31,173.255
1977-09-30,174.427
1977-10-31,167.386
1977-11-30,171.399
1977-12-30,173.62
1978-01-31,163.835
1978-02-28,162.511
1978-03-31,168.677
1978-04-28,179.575
1978-05-31,178.914
1978-06-30,175.008
1978-07-31,183.014
1978-08-31,187.812
1978-09-29,190.955
1978-10-31,174.736
1978-11-30,178.696
1978-12-29,179.302
1979-01-31,188.629
1979-02-28,182.764
1979-03-30,192.881
1979-04-30,192.602
1979-05-31,188.59
1979-06-29,198.455
1979-07-31,201.304
1979-08-31,209.355
1979-09-28,209.676
1979-10-31,194.743
1979-11-30,200.65
1979-12-31,202.067
1980-01-31,214.704
1980-02-29,213.564
1980-03-31,197.379
1980-04-30,208.149
1980-05-30,218.777
1980-06-30,224.453
1980-07-31,236.138
1980-08-29,236.948
1980-09-30,239.049
1980-10-31,242.672
1980-11-28,262.424
1980-12-31,256.2
1981-01-30,251.575
1981-02-27,253.662
1981-03-31,266.811
1981-04-30,268.855
1981-05-29,270.649
1981-06-30,270.286
1981-07-31,266.811
1981-08-31,252.487
1981-09-30,243.262
1981-10-30,250.304
1981-11-30,260.418
1981-12-31,252.939
1982-01-29,250.525
1982-02-26,240.71
1982-03-31,240.941
1982-04-30,247.159
1982-05-31,239.548
1982-06-30,236.674
1982-07-30,229.446
1982-08-31,257.711
1982-09-30,257.623
1982-10-29,286.204
1982-11-30,293.498
1982-12-31,297.324
1983-01-31,313.099
1983-02-28,317.518
1983-03-31,329.344
1983-04-29,357.779
1983-05-31,354.499
1983-06-30,361.23
1983-07-29,355.243
1983-08-31,366.563
1983-09-30,368.4
1983-10-31,366.787
1983-11-30,375.091
1983-12-30,372.291
1984-01-31,376.599
1984-02-29,361.685
1984-03-30,367.984
1984-04-30,372.866
1984-05-31,347.654
1984-06-29,350.211
1984-07-31,344.417
1984-08-31,383.653
1984-09-28,391.272
1984-10-31,388.665
1984-11-30,388.033
1984-12-31,397.579
1985-01-31,425.007
1985-02-28,430.833
1985-03-29,433.804
1985-04-30,438.701
1985-05-31,465.264
1985-06-28,472.29
1985-07-31,465.101
1985-08-30,462.472
1985-09-30,445.469
1985-10-31,468.271
1985-11-29,491.569
1985-12-31,510.201
1986-01-31,514.468
1986-02-28,551.617
1986-03-31,577.296
1986-04-30,560.534
1986-05-30,586.917
1986-06-30,591.152
1986-07-31,562.984
1986-08-29,617.76
1986-09-30,575.328
1986-10-31,607.809
1986-11-28,622.172
1986-12-31,601.069
1987-01-30,674.866
1987-02-27,679.022
1987-03-31,701.168
1987-04-30,694.892
1987-05-29,698.625
1987-06-30,733.58
1987-07-31,765.036
1987-08-31,785.38
1987-09-30,770.536
1987-10-30,613.426
1987-11-30,567.183
1987-12-31,601.932
1988-01-29,647.548
1988-02-29,668.124
1988-03-31,647.39
1988-04-29,660.48
1988-05-31,669.72
1988-06-30,704.23
1988-07-29,703.602
1988-08-31,676.925
1988-09-30,701.721
1988-10-31,724.372
1988-11-30,713.341
1988-12-30,722.144
1989-01-31,777.174
1989-02-28,754.591
1989-03-31,765.725
1989-04-28,798.652
1989-05-31,821.913
1989-06-30,820.113
1989-07-31,877.243
1989-08-31,892.558
1989-09-29,885.816
1989-10-31,856.666
1989-11-30,867.501
1989-12-29,889.65
1990-01-31,837.091
1990-02-28,857.432
1990-03-30,863.186
1990-04-30,834.183
1990-05-31,896.483
1990-06-29,875.745
1990-07-31,876.361
1990-08-31,799.084
1990-09-28,762.289
1990-10-31,754.99
1990-11-30,806.257
1990-12-31,826.473
1991-01-31,866.298
1991-02-28,915.899
1991-03-29,925.557
1991-04-30,928.909
1991-05-31,966.139
1991-06-28,920.356
1991-07-31,954.035
1991-08-30,965.855
1991-09-30,960.909
1991-10-31,979.929
1991-11-29,925.897
1991-12-31,998.825
1992-01-31,992.068
1992-02-28,1011.187
1992-03-31,991.702
1992-04-30,1040.874
1992-05-29,1043.938
1992-06-30,1038.653
1992-07-31,1077.507
1992-08-31,1042.827
1992-09-30,1053.887
1992-10-30,1047.489
1992-11-30,1071.482
1992-12-31,1087.698
1993-01-29,1118.913
1993-02-26,1158.588
1993-03-31,1190.479
1993-04-30,1185.899
1993-05-31,1201.771
1993-06-30,1220.182
1993-07-30,1241.359
1993-08-31,1284.488
1993-09-30,1284.516
1993-10-29,1281.734
1993-11-30,1256.788
1993-12-31,1277.576
1994-01-31,1331.973
1994-02-28,1281.694
1994-03-31,1232.102
1994-04-29,1255.896
1994-05-31,1276.455
1994-06-30,1245.099
1994-07-29,1286.752
1994-08-31,1323.379
1994-09-30,1277.662
1994-10-31,1309.293
1994-11-30,1257.375
1994-12-30,1271.598
1995-01-31,1308.282
1995-02-28,1361.475
1995-03-31,1396.224
1995-04-28,1443.242
1995-05-31,1501.117
1995-06-30,1523.755
1995-07-31,1581.641
1995-08-31,1593.45
1995-09-29,1647.352
1995-10-31,1623.74
1995-11-30,1706.153
1995-12-29,1743.233
1996-01-31,1798.0
1996-02-29,1811.415
1996-03-29,1842.657
1996-04-30,1868.132
1996-05-31,1888.098
1996-06-28,1882.31
1996-07-31,1797.041
1996-08-30,1847.413
1996-09-30,1922.026
1996-10-31,1989.053
1996-11-29,2138.911
1996-12-31,2102.035
1997-01-31,2211.425
1997-02-28,2222.35
1997-03-31,2144.501
1997-04-30,2233.253
1997-05-30,2361.233
1997-06-30,2449.353
1997-07-31,2661.058
1997-08-29,2538.319
1997-09-30,2682.814
1997-10-31,2617.6
1997-11-28,2723.72
1997-12-31,2790.489
1998-01-30,2759.633
1998-02-27,2942.105
1998-03-31,3089.669
1998-04-30,3154.574
1998-05-29,3080.204
1998-06-30,3108.477
1998-07-31,3063.46
1998-08-31,2580.695
1998-09-30,2721.155
1998-10-30,2945.303
1998-11-30,3111.168
1998-12-31,3198.117
1999-01-29,3277.852
1999-02-26,3250.057
1999-03-31,3331.306
1999-04-30,3624.908
1999-05-31,3559.496
1999-06-30,3658.385
1999-07-30,3557.107
1999-08-31,3440.684
1999-09-30,3281.91
1999-10-29,3466.293
1999-11-30,3454.635
1999-12-31,3524.519
2000-01-31,3415.538
2000-02-29,3189.762
2000-03-31,3522.035
2000-04-28,3530.729
2000-05-31,3536.278
2000-06-30,3446.851
2000-07-31,3476.165
2000-08-31,3649.077
2000-09-29,3628.702
2000-10-31,3681.466
2000-11-30,3461.741
2000-12-29,3604.843
2001-01-31,3670.989
2001-02-28,3487.654
2001-03-30,3348.722
2001-04-30,3565.988
2001-05-31,3612.538
2001-06-29,3524.406
2001-07-31,3481.967
2001-08-31,3270.074
2001-09-28,3005.494
2001-10-31,2962.562
2001-11-30,3136.909
2001-12-31,3164.34
2002-01-31,3127.15
2002-02-28,3021.591
2002-03-29,3212.362
2002-04-30,3040.733
2002-05-31,3030.904
2002-06-28,2810.541
2002-07-31,2523.076
2002-08-30,2532.291
2002-09-30,2233.172
2002-10-31,2424.315
2002-11-29,2618.933
2002-12-31,2436.183
2003-01-31,2385.296
2003-02-28,2324.823
2003-03-31,2313.194
2003-04-30,2554.806
2003-05-30,2743.033
2003-06-30,2777.569
2003-07-31,2809.11
2003-08-29,2857.118
2003-09-30,2828.701
2003-10-31,2974.812
2003-11-28,3010.576
2003-12-31,3223.963
2004-01-30,3270.893
2004-02-27,3326.448
2004-03-31,3278.116
2004-04-30,3214.295
2004-05-31,3236.874
2004-06-30,3319.269
2004-07-30,3272.077
2004-08-31,3321.945
2004-09-30,3348.433
2004-10-29,3395.508
2004-11-30,3545.234
2004-12-31,3664.757
2005-01-31,3591.104
2005-02-28,3697.521
2005-03-31,3636.657
2005-04-29,3580.467
2005-05-31,3650.206
2005-06-30,3670.749
2005-07-29,3761.235
2005-08-31,3728.032
2005-09-30,3777.94
2005-10-31,3693.495
2005-11-30,3825.953
2005-12-30,3852.457
2006-01-31,3952.305
2006-02-28,3985.038
2006-03-31,4033.046
2006-04-28,4136.477
2006-05-31,4031.645
2006-06-30,4050.753
2006-07-31,4155.477
2006-08-31,4235.751
2006-09-29,4334.417
2006-10-31,4476.066
2006-11-30,4555.984
2006-12-29,4659.913
2007-01-31,4712.69
2007-02-28,4633.261
2007-03-30,4705.538
2007-04-30,4899.491
2007-05-31,5068.166
2007-06-29,4955.038
2007-07-31,4732.157
2007-08-31,4797.529
2007-09-28,4957.357
2007-10-31,4961.618
2007-11-30,4711.051
2007-12-31,4644.686
2008-01-31,4453.204
2008-02-29,4236.711
2008-03-31,4222.976
2008-04-30,4389.493
2008-05-30,4360.327
2008-06-30,3936.391
2008-07-31,3916.202
2008-08-29,3971.265
2008-09-30,3712.55
2008-10-31,3115.791
2008-11-28,2934.618
2008-12-31,2970.232
2009-01-30,2621.458
2009-02-27,2261.623
2009-03-31,2461.381
2009-04-30,2711.61
2009-05-29,2888.244
2009-06-30,2858.092
2009-07-31,3084.248
2009-08-31,3237.869
2009-09-30,3339.475
2009-10-30,3251.614
2009-11-30,3442.881
2009-12-31,3472.591
2010-01-29,3396.432
2010-02-26,3474.497
2010-03-31,3684.269
2010-04-30,3738.061
2010-05-31,3442.247
2010-06-30,3270.409
2010-07-30,3487.84
2010-08-31,3341.733
2010-09-30,3586.881
2010-10-29,3679.513
2010-11-30,3655.413
2010-12-31,3939.926
2011-01-31,4049.557
2011-02-28,4212.427
2011-03-31,4204.757
2011-04-29,4329.691
2011-05-31,4260.982
2011-06-30,4173.506
2011-07-29,4028.766
2011-08-31,3802.242
2011-09-30,3539.476
2011-10-31,3894.181
2011-11-30,3873.669
2011-12-30,3965.12
2012-01-31,4090.4
2012-02-29,4249.14
2012-03-30,4373.494
2012-04-30,4329.576
2012-05-31,4071.97
2012-06-29,4264.461
2012-07-31,4315.922
2012-08-31,4371.044
2012-09-28,4497.824
2012-10-31,4469.87
2012-11-30,4436.285
2012-12-31,4518.714
2013-01-31,4799.655
2013-02-28,4871.275
2013-03-29,5056.812
2013-04-30,5186.803
2013-05-31,5297.849
2013-06-28,5255.633
2013-07-31,5493.645
2013-08-30,5285.233
2013-09-30,5399.247
2013-10-31,5650.241
2013-11-29,5794.652
2013-12-31,5929.258
2014-01-31,5714.7
2014-02-28,5937.797
2014-03-31,6097.234
2014-04-30,6167.587
2014-05-30,6250.909
2014-06-30,6379.308
2014-07-31,6266.56
2014-08-29,6480.631
