Date,USA VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,114.501
1975-02-28,117.89
1975-03-31,119.749
1975-04-30,125.066
1975-05-30,131.252
1975-06-30,140.452
1975-07-31,134.468
1975-08-29,131.62
1975-09-30,128.887
1975-10-31,135.795
1975-11-28,138.709
1975-12-31,139.532
1976-01-30,155.383
1976-02-27,155.738
1976-03-31,161.894
1976-04-30,162.843
1976-05-31,162.019
1976-06-30,169.878
1976-07-30,170.905
1976-08-31,171.165
1976-09-30,178.437
1976-10-29,176.177
1976-11-30,177.568
1976-12-31,189.149
1977-01-31,185.367
1977-02-28,181.129
1977-03-31,179.915
1977-04-29,184.589
1977-05-31,183.39
1977-06-30,190.297
1977-07-29,188.019
1977-08-31,180.892
1977-09-30,182.378
1977-10-31,175.293
1977-11-30,179.756
1977-12-30,182.352
1978-01-31,172.366
1978-02-28,171.259
1978-03-31,178.056
1978-04-28,189.856
1978-05-31,189.475
1978-06-30,185.665
1978-07-31,194.468
1978-08-31,199.885
1978-09-29,203.551
1978-10-31,186.622
1978-11-30,191.171
1978-12-29,192.15
1979-01-31,202.468
1979-02-28,196.534
1979-03-30,207.758
1979-04-30,207.829
1979-05-31,203.883
1979-06-29,214.909
1979-07-31,218.375
1979-08-31,227.484
1979-09-28,228.231
1979-10-31,212.415
1979-11-30,219.249
1979-12-31,221.201
1980-01-31,235.429
1980-02-29,234.606
1980-03-31,217.301
1980-04-30,229.583
1980-05-30,241.726
1980-06-30,248.435
1980-07-31,261.801
1980-08-29,263.151
1980-09-30,265.934
1980-10-31,270.424
1980-11-28,292.864
1980-12-31,286.397
1981-01-30,281.716
1981-02-27,284.537
1981-03-31,299.759
1981-04-30,302.557
1981-05-29,305.08
1981-06-30,305.241
1981-07-31,301.899
1981-08-31,286.241
1981-09-30,276.339
1981-10-30,284.864
1981-11-30,296.895
1981-12-31,288.93
1982-01-29,286.729
1982-02-26,276.074
1982-03-31,276.901
1982-04-30,284.594
1982-05-31,276.419
1982-06-30,273.685
1982-07-30,265.923
1982-08-31,299.2
1982-09-30,299.681
1982-10-29,333.459
1982-11-30,342.527
1982-12-31,347.57
1983-01-31,366.573
1983-02-28,372.339
1983-03-31,386.811
1983-04-29,420.778
1983-05-31,417.55
1983-06-30,426.094
1983-07-29,419.679
1983-08-31,433.67
1983-09-30,436.492
1983-10-31,435.241
1983-11-30,445.754
1983-12-30,443.099
1984-01-31,448.897
1984-02-29,431.83
1984-03-30,440.019
1984-04-30,446.537
1984-05-31,417.098
1984-06-29,420.869
1984-07-31,414.627
1984-08-31,462.504
1984-09-28,472.405
1984-10-31,469.996
1984-11-30,469.973
1984-12-31,482.262
1985-01-31,516.238
1985-02-28,524.063
1985-03-29,528.44
1985-04-30,535.176
1985-05-31,568.327
1985-06-28,577.693
1985-07-31,569.713
1985-08-30,567.301
1985-09-30,547.271
1985-10-31,576.046
1985-11-29,605.478
1985-12-31,629.212
1986-01-31,635.296
1986-02-28,681.943
1986-03-31,714.504
1986-04-30,694.637
1986-05-30,728.145
1986-06-30,734.253
1986-07-31,700.171
1986-08-29,769.08
1986-09-30,717.181
1986-10-31,758.496
1986-11-28,777.275
1986-12-31,751.821
1987-01-30,844.923
1987-02-27,851.019
1987-03-31,879.65
1987-04-30,872.701
1987-05-29,878.302
1987-06-30,923.128
1987-07-31,963.6
1987-08-31,990.133
1987-09-30,972.37
1987-10-30,775.288
1987-11-30,717.866
1987-12-31,762.749
1988-01-29,821.452
1988-02-29,848.501
1988-03-31,823.219
1988-04-29,840.891
1988-05-31,853.699
1988-06-30,898.704
1988-07-29,898.97
1988-08-31,866.0
1988-09-30,898.742
1988-10-31,928.786
1988-11-30,915.73
1988-12-30,928.098
1989-01-31,999.855
1989-02-28,971.927
1989-03-31,987.4
1989-04-28,1030.995
1989-05-31,1062.189
1989-06-30,1061.06
1989-07-31,1136.107
1989-08-31,1157.14
1989-09-29,1149.635
1989-10-31,1113.08
1989-11-30,1128.385
1989-12-29,1158.41
1990-01-31,1091.314
1990-02-28,1119.076
1990-03-30,1127.879
1990-04-30,1091.345
1990-05-31,1174.073
1990-06-29,1148.268
1990-07-31,1150.403
1990-08-31,1050.425
1990-09-28,1003.423
1990-10-31,995.152
1990-11-30,1063.969
1990-12-31,1091.952
1991-01-31,1145.841
1991-02-28,1212.677
1991-03-29,1226.739
1991-04-30,1232.472
1991-05-31,1283.12
1991-06-28,1223.683
1991-07-31,1269.722
1991-08-30,1286.749
1991-09-30,1281.477
1991-10-31,1308.138
1991-11-29,1237.414
1991-12-31,1336.114
1992-01-31,1328.405
1992-02-28,1355.306
1992-03-31,1330.578
