Date,USA VALUE Standard (Large+Mid Cap)
2001-01-01,3604.843
2001-01-02,3560.114
2001-01-03,3650.878
2001-01-04,3617.804
2001-01-05,3543.645
2001-01-08,3548.318
2001-01-09,3548.369
2001-01-10,3575.518
2001-01-11,3577.444
2001-01-12,3561.504
2001-01-15,3561.504
2001-01-16,3595.958
2001-01-17,3593.229
2001-01-18,3607.87
2001-01-19,3585.038
2001-01-22,3586.1
2001-01-23,3625.493
2001-01-24,3642.269
2001-01-25,3647.709
2001-01-26,3626.757
2001-01-29,3650.328
2001-01-30,3681.843
2001-01-31,3670.989
2001-02-01,3682.262
2001-02-02,3637.504
2001-02-05,3668.078
2001-02-06,3656.343
2001-02-07,3640.555
2001-02-08,3644.126
2001-02-09,3622.5
2001-02-12,3656.587
2001-02-13,3644.613
2001-02-14,3604.826
2001-02-15,3622.61
2001-02-16,3599.063
2001-02-19,3599.063
2001-02-20,3552.006
2001-02-21,3493.603
2001-02-22,3494.55
2001-02-23,3465.853
2001-02-26,3531.86
2001-02-27,3529.468
2001-02-28,3487.654
2001-03-01,3471.413
2001-03-02,3488.992
2001-03-05,3506.606
2001-03-06,3539.254
2001-03-07,3572.627
2001-03-08,3597.473
2001-03-09,3533.953
2001-03-12,3399.059
2001-03-13,3429.764
2001-03-14,3329.99
2001-03-15,3374.937
2001-03-16,3307.013
2001-03-19,3367.768
2001-03-20,3295.853
2001-03-21,3222.247
2001-03-22,3164.084
2001-03-23,3231.878
2001-03-26,3300.108
2001-03-27,3384.411
2001-03-28,3309.337
2001-03-29,3305.746
2001-03-30,3348.722
2001-04-02,3315.892
2001-04-03,3206.268
2001-04-04,3193.367
2001-04-05,3316.547
2001-04-06,3246.79
2001-04-09,3280.282
2001-04-10,3367.001
2001-04-11,3352.27
2001-04-12,3385.827
2001-04-13,3385.827
2001-04-16,3399.098
2001-04-17,3425.031
2001-04-18,3540.031
2001-04-19,3554.561
2001-04-20,3519.455
2001-04-23,3490.223
2001-04-24,3470.26
2001-04-25,3516.629
2001-04-26,3546.455
2001-04-27,3586.105
2001-04-30,3565.988
2001-05-01,3606.01
2001-05-02,3593.911
2001-05-03,3554.635
2001-05-04,3596.183
2001-05-07,3588.768
2001-05-08,3564.399
2001-05-09,3563.077
2001-05-10,3573.047
2001-05-11,3546.4
2001-05-14,3570.323
2001-05-15,3570.382
2001-05-16,3655.065
2001-05-17,3659.081
2001-05-18,3672.323
2001-05-21,3708.213
2001-05-22,3708.887
2001-05-23,3661.765
2001-05-24,3665.707
2001-05-25,3633.272
2001-05-28,3633.272
2001-05-29,3614.812
2001-05-30,3578.409
2001-05-31,3612.538
2001-06-01,3611.634
2001-06-04,3629.878
2001-06-05,3656.754
2001-06-06,3612.637
2001-06-07,3605.895
2001-06-08,3583.973
2001-06-11,3574.464
2001-06-12,3569.214
2001-06-13,3547.325
2001-06-14,3481.807
2001-06-15,3478.815
2001-06-18,3457.983
2001-06-19,3469.453
2001-06-20,3491.318
2001-06-21,3538.672
2001-06-22,3513.661
2001-06-25,3485.439
2001-06-26,3479.374
2001-06-27,3471.015
2001-06-28,3501.4
2001-06-29,3524.406
2001-07-02,3551.815
2001-07-03,3546.308
2001-07-04,3546.308
2001-07-05,3519.918
2001-07-06,3458.094
2001-07-09,3474.414
2001-07-10,3441.576
2001-07-11,3430.977
2001-07-12,3492.684
2001-07-13,3507.005
2001-07-16,3488.085
2001-07-17,3517.232
2001-07-18,3492.005
2001-07-19,3498.574
2001-07-20,3486.503
2001-07-23,3439.59
2001-07-24,3369.959
2001-07-25,3426.069
2001-07-26,3471.391
2001-07-27,3478.508
2001-07-30,3477.706
2001-07-31,3481.967
2001-08-01,3492.974
2001-08-02,3505.199
2001-08-03,3486.508
2001-08-06,3451.747
2001-08-07,3463.2
2001-08-08,3416.351
2001-08-09,3409.567
2001-08-10,3435.922
2001-08-13,3428.27
2001-08-14,3409.981
2001-08-15,3389.749
2001-08-16,3395.156
2001-08-17,3345.018
2001-08-20,3363.338
2001-08-21,3340.655
