Date,USA VALUE Standard (Large+Mid Cap)
2001-01-01,5184.208
2001-01-02,5119.882
2001-01-03,5250.625
2001-01-04,5203.098
2001-01-05,5096.443
2001-01-08,5103.547
2001-01-09,5103.723
2001-01-10,5142.918
2001-01-11,5145.715
2001-01-12,5122.787
2001-01-15,5122.787
2001-01-16,5172.585
2001-01-17,5168.847
2001-01-18,5189.959
2001-01-19,5157.12
2001-01-22,5158.649
2001-01-23,5215.316
2001-01-24,5239.467
2001-01-25,5247.302
2001-01-26,5217.164
2001-01-29,5251.249
2001-01-30,5296.795
2001-01-31,5281.553
2001-02-01,5298.054
2001-02-02,5233.656
2001-02-05,5277.678
2001-02-06,5260.851
2001-02-07,5238.669
2001-02-08,5243.855
2001-02-09,5212.755
2001-02-12,5261.838
2001-02-13,5244.785
2001-02-14,5187.942
2001-02-15,5213.741
2001-02-16,5179.879
2001-02-19,5179.879
2001-02-20,5112.183
2001-02-21,5028.27
2001-02-22,5029.696
2001-02-23,4988.435
2001-02-26,5083.55
2001-02-27,5080.288
2001-02-28,5020.573
2001-03-01,4997.219
2001-03-02,5022.526
2001-03-05,5047.891
2001-03-06,5094.889
2001-03-07,5143.169
2001-03-08,5178.969
2001-03-09,5087.579
2001-03-12,4893.396
2001-03-13,4937.717
2001-03-14,4794.082
2001-03-15,4858.814
2001-03-16,4761.079
2001-03-19,4848.597
2001-03-20,4745.104
2001-03-21,4639.132
2001-03-22,4555.405
2001-03-23,4653.01
2001-03-26,4751.243
2001-03-27,4872.615
2001-03-28,4764.946
2001-03-29,4759.796
2001-03-30,4821.675
2001-04-02,4774.404
2001-04-03,4616.561
2001-04-04,4598.285
2001-04-05,4775.658
2001-04-06,4675.901
2001-04-09,4724.139
2001-04-10,4849.268
2001-04-11,4828.082
2001-04-12,4876.413
2001-04-13,4876.413
2001-04-16,4895.525
2001-04-17,4932.876
2001-04-18,5098.504
2001-04-19,5119.468
2001-04-20,5068.907
2001-04-23,5026.805
2001-04-24,4998.053
2001-04-25,5064.858
2001-04-26,5108.062
2001-04-27,5165.174
2001-04-30,5136.373
2001-05-01,5194.039
2001-05-02,5176.865
2001-05-03,5120.655
2001-05-04,5180.508
2001-05-07,5169.827
2001-05-08,5134.817
2001-05-09,5133.29
2001-05-10,5148.161
2001-05-11,5109.995
2001-05-14,5144.573
2001-05-15,5144.683
2001-05-16,5266.983
2001-05-17,5272.788
2001-05-18,5291.87
2001-05-21,5343.588
2001-05-22,5344.56
2001-05-23,5276.732
2001-05-24,5282.459
2001-05-25,5235.718
