Date,ACWI IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,475.403
2001-01-02,472.231
2001-01-03,476.715
2001-01-04,475.775
2001-01-05,473.032
2001-01-08,472.878
2001-01-09,469.987
2001-01-10,470.52
2001-01-11,470.989
2001-01-12,469.697
2001-01-15,469.355
2001-01-16,471.477
2001-01-17,471.842
2001-01-18,474.447
2001-01-19,471.634
2001-01-22,473.343
2001-01-23,476.445
2001-01-24,474.865
2001-01-25,476.574
2001-01-26,475.962
2001-01-29,478.214
2001-01-30,481.727
2001-01-31,483.026
2001-02-01,485.721
2001-02-02,482.302
2001-02-05,483.746
2001-02-06,482.695
2001-02-07,480.437
2001-02-08,478.316
2001-02-09,477.534
2001-02-12,481.306
2001-02-13,479.599
2001-02-14,477.29
2001-02-15,476.743
2001-02-16,475.284
2001-02-19,475.057
2001-02-20,471.084
2001-02-21,465.546
2001-02-22,464.112
2001-02-23,462.196
2001-02-26,467.36
2001-02-27,468.444
2001-02-28,465.342
2001-03-01,464.636
2001-03-02,465.34
2001-03-05,466.131
2001-03-06,468.922
2001-03-07,470.732
2001-03-08,473.091
2001-03-09,468.776
2001-03-12,456.83
2001-03-13,453.241
2001-03-14,443.104
2001-03-15,446.643
2001-03-16,438.66
2001-03-19,441.702
2001-03-20,439.18
2001-03-21,434.477
2001-03-22,423.105
2001-03-23,430.84
2001-03-26,440.08
2001-03-27,447.414
2001-03-28,442.762
2001-03-29,440.414
2001-03-30,443.326
2001-04-02,439.696
2001-04-03,432.509
2001-04-04,435.044
2001-04-05,443.87
2001-04-06,440.834
2001-04-09,443.032
2001-04-10,448.102
2001-04-11,446.757
2001-04-12,450.852
2001-04-13,450.661
2001-04-16,449.463
2001-04-17,451.026
2001-04-18,458.963
2001-04-19,462.345
2001-04-20,460.379
2001-04-23,458.344
2001-04-24,457.21
2001-04-25,461.351
2001-04-26,465.18
2001-04-27,468.049
2001-04-30,466.953
2001-05-01,471.653
2001-05-02,470.929
2001-05-03,467.87
2001-05-04,471.522
2001-05-07,471.672
2001-05-08,468.263
2001-05-09,467.428
2001-05-10,469.241
2001-05-11,466.727
2001-05-14,464.91
2001-05-15,467.795
2001-05-16,474.081
2001-05-17,476.971
2001-05-18,477.555
2001-05-21,480.848
2001-05-22,479.872
2001-05-23,476.96
2001-05-24,476.985
2001-05-25,474.254
2001-05-28,474.202
2001-05-29,473.588
2001-05-30,469.703
2001-05-31,470.754
2001-06-01,470.879
2001-06-04,472.92
2001-06-05,475.095
2001-06-06,471.716
2001-06-07,472.354
2001-06-08,470.717
2001-06-11,467.094
2001-06-12,465.244
2001-06-13,465.128
2001-06-14,460.896
2001-06-15,459.273
2001-06-18,456.414
2001-06-19,456.602
2001-06-20,456.537
2001-06-21,460.465
2001-06-22,460.349
2001-06-25,459.618
2001-06-26,458.283
2001-06-27,457.344
2001-06-28,458.521
2001-06-29,461.877
2001-07-02,464.185
2001-07-03,462.931
2001-07-04,461.838
2001-07-05,458.704
2001-07-06,452.432
2001-07-09,453.151
2001-07-10,451.77
2001-07-11,450.264
2001-07-12,454.592
2001-07-13,455.44
2001-07-16,453.552
2001-07-17,453.772
2001-07-18,453.84
2001-07-19,455.349
2001-07-20,454.402
2001-07-23,450.044
2001-07-24,445.61
2001-07-25,448.515
2001-07-26,451.231
2001-07-27,452.925
2001-07-30,453.289
2001-07-31,456.526
2001-08-01,459.101
2001-08-02,461.613
2001-08-03,459.845
2001-08-06,456.987
2001-08-07,457.796
2001-08-08,453.865
2001-08-09,452.299
2001-08-10,454.778
2001-08-13,455.139
2001-08-14,458.279
2001-08-15,459.938
2001-08-16,459.141
2001-08-17,455.192
2001-08-20,455.452
2001-08-21,455.727
2001-08-22,458.617
2001-08-23,456.924
2001-08-24,460.621
2001-08-27,459.513
2001-08-28,455.822
2001-08-29,453.678
2001-08-30,448.574
2001-08-31,448.677
2001-09-03,445.82
2001-09-04,447.703
2001-09-05,444.733
2001-09-06,438.861
2001-09-07,433.682
2001-09-10,430.518
2001-09-11,425.194
2001-09-12,420.636
2001-09-13,422.356
2001-09-14,419.548
2001-09-17,408.68
2001-09-18,407.458
2001-09-19,403.658
2001-09-20,391.509
2001-09-21,381.109
2001-09-24,391.618
2001-09-25,396.212
2001-09-26,396.388
2001-09-27,400.003
2001-09-28,408.549
2001-10-01,406.979
2001-10-02,410.656
2001-10-03,413.639
2001-10-04,417.201
2001-10-05,416.424
2001-10-08,414.002
2001-10-09,412.664
2001-10-10,417.694
2001-10-11,420.936
2001-10-12,419.617
2001-10-15,417.243
2001-10-16,420.504
2001-10-17,420.168
2001-10-18,414.679
2001-10-19,412.586
2001-10-22,415.45
2001-10-23,417.086
2001-10-24,417.362
2001-10-25,419.007
2001-10-26,421.987
2001-10-29,417.523
2001-10-30,411.591
2001-10-31,411.615
2001-11-01,416.405
2001-11-02,416.883
2001-11-05,420.915
2001-11-06,423.58
2001-11-07,423.574
2001-11-08,425.774
2001-11-09,425.01
2001-11-12,422.115
2001-11-13,426.361
2001-11-14,427.299
2001-11-15,427.465
2001-11-16,428.664
2001-11-19,432.325
2001-11-20,431.331
2001-11-21,429.367
2001-11-22,430.204
2001-11-23,432.265
2001-11-26,434.286
2001-11-27,431.788
2001-11-28,426.252
2001-11-29,428.34
2001-11-30,429.57
2001-12-03,426.336
2001-12-04,429.817
2001-12-05,437.314
2001-12-06,438.591
2001-12-07,436.262
2001-12-10,430.902
2001-12-11,429.139
2001-12-12,429.935
2001-12-13,424.997
2001-12-14,424.626
2001-12-17,428.205
2001-12-18,429.603
2001-12-19,430.196
2001-12-20,429.221
2001-12-21,429.821
2001-12-24,429.806
2001-12-25,429.978
2001-12-26,430.985
2001-12-27,435.631
2001-12-28,437.852
2001-12-31,437.361
2002-01-01,437.363
2002-01-02,438.357
2002-01-03,441.769
2002-01-04,444.997
2002-01-07,443.43
2002-01-08,440.106
2002-01-09,438.452
2002-01-10,437.411
2002-01-11,435.238
2002-01-14,432.1
2002-01-15,433.464
2002-01-16,428.548
2002-01-17,430.973
2002-01-18,430.391
2002-01-21,430.702
2002-01-22,428.56
2002-01-23,431.074
2002-01-24,432.581
2002-01-25,431.847
2002-01-28,433.471
2002-01-29,425.686
2002-01-30,425.824
2002-01-31,430.793
2002-02-01,429.4
2002-02-04,423.899
2002-02-05,420.359
2002-02-06,417.721
2002-02-07,418.782
2002-02-08,422.593
2002-02-11,427.083
2002-02-12,427.461
2002-02-13,430.283
2002-02-14,431.956
2002-02-15,430.173
2002-02-18,429.435
2002-02-19,422.86
2002-02-20,424.231
2002-02-21,424.244
2002-02-22,426.479
2002-02-25,430.481
2002-02-26,431.315
2002-02-27,434.096
2002-02-28,434.555
2002-03-01,441.02
2002-03-04,451.128
2002-03-05,449.158
2002-03-06,454.41
2002-03-07,457.104
2002-03-08,457.308
2002-03-11,459.064
2002-03-12,456.88
2002-03-13,454.82
2002-03-14,456.408
2002-03-15,460.527
2002-03-18,460.044
2002-03-19,462.996
2002-03-20,459.73
2002-03-21,459.195
2002-03-22,457.498
2002-03-25,453.302
2002-03-26,455.064
2002-03-27,457.463
2002-03-28,459.154
2002-03-29,458.113
2002-04-01,457.973
2002-04-02,457.978
2002-04-03,456.437
2002-04-04,456.247
2002-04-05,456.47
2002-04-08,455.521
2002-04-09,454.752
2002-04-10,459.582
2002-04-11,454.061
2002-04-12,455.081
2002-04-15,455.022
2002-04-16,462.415
2002-04-17,464.068
2002-04-18,464.438
2002-04-19,465.212
2002-04-22,462.205
