Date,ACWI IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,269.049
1994-06-30,270.514
1994-07-29,275.22
1994-08-31,282.925
1994-09-30,275.589
1994-10-31,281.871
1994-11-30,268.461
1994-12-30,270.655
1995-01-31,265.836
1995-02-28,267.656
1995-03-31,279.668
1995-04-28,288.403
1995-05-31,291.099
1995-06-30,289.834
1995-07-31,302.734
1995-08-31,297.55
1995-09-29,304.31
1995-10-31,298.386
1995-11-30,307.08
1995-12-29,317.933
1996-01-31,324.487
1996-02-29,326.087
1996-03-29,330.506
1996-04-30,339.109
1996-05-31,338.555
1996-06-28,339.932
1996-07-31,328.703
1996-08-30,332.188
1996-09-30,341.414
1996-10-31,343.98
1996-11-29,360.746
1996-12-31,358.308
1997-01-31,360.614
1997-02-28,366.683
1997-03-31,359.52
1997-04-30,364.751
1997-05-30,387.919
1997-06-30,404.521
1997-07-31,417.953
1997-08-29,396.026
1997-09-30,414.179
1997-10-31,393.676
1997-11-28,394.549
1997-12-31,399.742
1998-01-30,404.139
1998-02-27,430.886
1998-03-31,450.753
1998-04-30,452.443
1998-05-29,444.647
1998-06-30,442.876
1998-07-31,436.542
1998-08-31,374.984
1998-09-30,382.08
1998-10-30,413.832
1998-11-30,432.103
1998-12-31,441.35
1999-01-29,438.676
1999-02-26,430.776
1999-03-31,447.341
1999-04-30,484.285
1999-05-31,470.733
1999-06-30,486.037
1999-07-30,484.494
1999-08-31,477.896
1999-09-30,469.318
1999-10-29,482.787
1999-11-30,482.41
1999-12-31,496.64
2000-01-31,472.69
2000-02-29,455.115
2000-03-31,489.716
2000-04-28,476.03
2000-05-31,477.457
2000-06-30,483.252
2000-07-31,476.093
2000-08-31,493.013
2000-09-29,485.584
2000-10-31,485.386
2000-11-30,470.542
2000-12-29,494.106
2001-01-31,501.942
2001-02-28,483.429
2001-03-30,460.375
2001-04-30,484.706
2001-05-31,488.288
2001-06-29,478.845
2001-07-31,473.18
2001-08-31,464.857
2001-09-28,423.133
2001-10-31,426.21
2001-11-30,444.635
2001-12-31,452.575
2002-01-31,445.663
2002-02-28,449.408
2002-03-29,473.577
2002-04-30,472.426
2002-05-31,478.644
2002-06-28,452.161
2002-07-31,414.404
2002-08-30,417.846
2002-09-30,372.774
2002-10-31,392.642
2002-11-29,413.402
2002-12-31,399.572
2003-01-31,388.033
2003-02-28,379.928
2003-03-31,376.082
2003-04-30,411.009
2003-05-30,438.125
2003-06-30,447.478
2003-07-31,455.929
2003-08-29,466.726
2003-09-30,470.635
2003-10-31,498.497
2003-11-28,506.925
2003-12-31,544.57
2004-01-30,553.077
2004-02-27,566.167
2004-03-31,566.837
2004-04-30,551.677
2004-05-31,555.816
2004-06-30,571.716
2004-07-30,561.066
2004-08-31,567.818
2004-09-30,580.494
2004-10-29,594.231
2004-11-30,629.075
2004-12-31,652.266
2005-01-31,641.1
2005-02-28,667.665
2005-03-31,653.073
2005-04-29,638.687
2005-05-31,647.311
2005-06-30,658.114
2005-07-29,680.062
2005-08-31,684.025
2005-09-30,704.945
2005-10-31,684.381
2005-11-30,707.724
2005-12-30,725.444
2006-01-31,761.773
2006-02-28,766.534
2006-03-31,782.585
2006-04-28,811.974
2006-05-31,784.659
2006-06-30,785.22
2006-07-31,798.551
2006-08-31,816.906
2006-09-29,826.769
2006-10-31,859.167
2006-11-30,884.489
2006-12-29,910.596
2007-01-31,917.083
2007-02-28,914.103
2007-03-30,931.787
2007-04-30,971.165
2007-05-31,1000.0
2007-06-29,992.673
2007-07-31,966.4
2007-08-31,959.606
2007-09-28,1001.416
2007-10-31,1032.327
2007-11-30,978.686
2007-12-31,963.325
2008-01-31,895.322
2008-02-29,885.966
2008-03-31,875.441
2008-04-30,921.022
2008-05-30,923.493
2008-06-30,834.896
2008-07-31,820.084
2008-08-29,807.624
2008-09-30,720.01
2008-10-31,577.505
2008-11-28,544.896
2008-12-31,565.312
2009-01-30,504.962
2009-02-27,445.738
2009-03-31,485.318
2009-04-30,556.743
2009-05-29,615.015
2009-06-30,609.466
2009-07-31,667.422
2009-08-31,703.888
2009-09-30,734.332
2009-10-30,716.115
2009-11-30,742.852
2009-12-31,755.799
2010-01-29,729.229
2010-02-26,735.601
2010-03-31,784.048
2010-04-30,787.896
2010-05-31,712.348
2010-06-30,688.335
2010-07-30,745.88
2010-08-31,717.875
2010-09-30,780.832
2010-10-29,805.97
2010-11-30,782.323
2010-12-31,845.708
2011-01-31,865.871
2011-02-28,894.015
2011-03-31,890.935
2011-04-29,925.188
2011-05-31,901.445
2011-06-30,886.607
2011-07-29,863.506
2011-08-31,797.314
2011-09-30,726.011
2011-10-31,799.553
2011-11-30,773.378
2011-12-30,778.291
2012-01-31,822.17
2012-02-29,861.316
2012-03-30,863.725
2012-04-30,848.702
2012-05-31,772.634
2012-06-29,816.464
2012-07-31,823.97
2012-08-31,840.687
2012-09-28,870.267
2012-10-31,870.545
2012-11-30,875.099
2012-12-31,903.432
2013-01-31,952.326
2013-02-28,949.283
2013-03-29,965.82
2013-04-30,997.202
