Date,ACWI IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,494.125
2001-01-02,490.823
2001-01-03,495.473
2001-01-04,494.493
2001-01-05,491.642
2001-01-08,491.467
2001-01-09,488.459
2001-01-10,489.006
2001-01-11,489.487
2001-01-12,488.144
2001-01-15,487.788
2001-01-16,489.985
2001-01-17,490.358
2001-01-18,493.062
2001-01-19,490.136
2001-01-22,491.912
2001-01-23,495.135
2001-01-24,493.492
2001-01-25,495.268
2001-01-26,494.63
2001-01-29,496.962
2001-01-30,500.604
2001-01-31,501.942
2001-02-01,504.732
2001-02-02,501.179
2001-02-05,502.677
2001-02-06,501.579
2001-02-07,499.212
2001-02-08,497.006
2001-02-09,496.189
2001-02-12,500.105
2001-02-13,498.324
2001-02-14,495.908
2001-02-15,495.331
2001-02-16,493.812
2001-02-19,493.572
2001-02-20,489.443
2001-02-21,483.683
2001-02-22,482.186
2001-02-23,480.192
2001-02-26,485.551
2001-02-27,486.669
2001-02-28,483.429
2001-03-01,482.693
2001-03-02,483.425
2001-03-05,484.241
2001-03-06,487.139
2001-03-07,488.997
2001-03-08,491.443
2001-03-09,486.958
2001-03-12,474.547
2001-03-13,470.798
2001-03-14,460.265
2001-03-15,463.939
2001-03-16,455.645
2001-03-19,458.801
2001-03-20,456.179
2001-03-21,451.285
2001-03-22,439.469
2001-03-23,447.499
2001-03-26,457.092
2001-03-27,464.648
2001-03-28,459.795
2001-03-29,457.355
2001-03-30,460.375
2001-04-02,456.605
2001-04-03,449.136
2001-04-04,451.751
2001-04-05,460.911
2001-04-06,457.727
2001-04-09,460.006
2001-04-10,465.259
2001-04-11,463.85
2001-04-12,468.083
2001-04-13,467.884
2001-04-16,466.64
2001-04-17,468.257
2001-04-18,476.49
2001-04-19,479.988
2001-04-20,477.944
2001-04-23,475.827
2001-04-24,474.648
2001-04-25,478.937
2001-04-26,482.898
2001-04-27,485.853
2001-04-30,484.706
2001-05-01,489.583
2001-05-02,488.811
2001-05-03,485.619
2001-05-04,489.398
2001-05-07,489.543
2001-05-08,485.998
2001-05-09,485.112
2001-05-10,486.973
2001-05-11,484.343
2001-05-14,482.434
2001-05-15,485.426
2001-05-16,491.931
2001-05-17,494.92
2001-05-18,495.498
2001-05-21,498.881
2001-05-22,497.866
2001-05-23,494.826
2001-05-24,494.849
2001-05-25,492.01
2001-05-28,491.947
2001-05-29,491.285
2001-05-30,487.215
2001-05-31,488.288
2001-06-01,488.404
2001-06-04,490.516
2001-06-05,492.765
2001-06-06,489.24
2001-06-07,489.893
2001-06-08,488.177
2001-06-11,484.408
2001-06-12,482.486
2001-06-13,482.336
2001-06-14,477.93
2001-06-15,476.246
2001-06-18,473.227
2001-06-19,473.419
2001-06-20,473.347
