Date,USA SMALL GROWTH Small Cap
1994-05-31,219.814
1994-06-30,210.572
1994-07-29,215.252
1994-08-31,231.625
1994-09-30,232.139
1994-10-31,235.967
1994-11-30,225.034
1994-12-30,229.46
1995-01-31,225.733
1995-02-28,236.917
1995-03-31,245.332
1995-04-28,249.211
1995-05-31,252.307
1995-06-30,269.415
1995-07-31,290.416
1995-08-31,293.581
1995-09-29,298.888
1995-10-31,285.668
1995-11-30,297.701
1995-12-29,303.12
1996-01-31,300.689
1996-02-29,313.642
1996-03-29,323.285
1996-04-30,351.303
1996-05-31,366.566
1996-06-28,346.724
1996-07-31,305.861
1996-08-30,327.236
1996-09-30,345.046
1996-10-31,331.087
1996-11-29,338.22
1996-12-31,342.337
1997-01-31,349.986
1997-02-28,329.091
1997-03-31,305.605
1997-04-30,299.968
1997-05-30,345.883
1997-06-30,366.516
1997-07-31,387.822
1997-08-29,398.471
1997-09-30,432.763
1997-10-31,408.32
1997-11-28,397.282
1997-12-31,395.052
1998-01-30,393.089
1998-02-27,429.839
1998-03-31,450.993
1998-04-30,454.189
1998-05-29,421.103
1998-06-30,427.776
1998-07-31,393.93
1998-08-31,301.852
1998-09-30,328.979
1998-10-30,345.039
1998-11-30,372.158
1998-12-31,406.7
1999-01-29,425.319
1999-02-26,387.241
1999-03-31,400.775
1999-04-30,429.365
1999-05-31,431.037
1999-06-30,466.57
1999-07-30,459.361
1999-08-31,447.642
1999-09-30,456.944
1999-10-29,475.403
1999-11-30,527.35
1999-12-31,615.547
2000-01-31,608.317
2000-02-29,747.622
2000-03-31,722.717
2000-04-28,642.624
2000-05-31,599.208
2000-06-30,701.605
2000-07-31,649.214
2000-08-31,716.828
2000-09-29,670.76
2000-10-31,630.165
2000-11-30,528.209
2000-12-29,564.396
2001-01-31,608.955
2001-02-28,528.542
2001-03-30,478.917
2001-04-30,533.479
2001-05-31,552.607
2001-06-29,565.148
2001-07-31,529.596
2001-08-31,496.831
2001-09-28,418.137
2001-10-31,457.186
2001-11-30,499.325
2001-12-31,536.112
2002-01-31,525.07
2002-02-28,496.713
2002-03-29,538.008
2002-04-30,526.155
2002-05-31,501.689
2002-06-28,457.121
2002-07-31,403.51
2002-08-30,403.694
2002-09-30,373.069
2002-10-31,392.974
2002-11-29,429.44
2002-12-31,402.287
2003-01-31,394.708
2003-02-28,386.127
2003-03-31,393.115
2003-04-30,428.485
2003-05-30,470.319
2003-06-30,479.845
2003-07-31,504.431
2003-08-29,532.21
2003-09-30,521.608
2003-10-31,567.547
2003-11-28,587.677
2003-12-31,593.375
2004-01-30,614.423
2004-02-27,622.777
2004-03-31,625.98
2004-04-30,601.355
2004-05-31,614.425
2004-06-30,634.33
2004-07-30,591.195
2004-08-31,580.101
2004-09-30,607.445
2004-10-29,622.22
2004-11-30,669.668
2004-12-31,698.258
2005-01-31,680.745
2005-02-28,698.404
2005-03-31,681.773
2005-04-29,648.276
2005-05-31,693.208
2005-06-30,714.138
2005-07-29,757.337
2005-08-31,748.411
2005-09-30,757.788
2005-10-31,731.436
2005-11-30,771.873
2005-12-30,775.679
2006-01-31,837.568
2006-02-28,830.116
2006-03-31,866.455
2006-04-28,869.89
2006-05-31,821.29
2006-06-30,815.26
2006-07-31,779.794
2006-08-31,793.272
2006-09-29,801.889
2006-10-31,840.973
2006-11-30,872.472
2006-12-29,868.15
2007-01-31,897.374
2007-02-28,901.047
2007-03-30,916.425
2007-04-30,949.487
2007-05-31,1000.0
2007-06-29,993.836
2007-07-31,953.502
2007-08-31,966.203
2007-09-28,1000.529
2007-10-31,1044.553
2007-11-30,975.752
2007-12-31,975.725
2008-01-31,894.572
2008-02-29,877.665
2008-03-31,862.991
2008-04-30,926.134
2008-05-30,986.777
2008-06-30,930.574
2008-07-31,920.47
2008-08-29,938.161
2008-09-30,811.025
2008-10-31,632.428
2008-11-28,556.391
2008-12-31,586.297
2009-01-30,547.442
2009-02-27,496.139
2009-03-31,544.513
2009-04-30,630.363
2009-05-29,657.593
2009-06-30,668.728
2009-07-31,723.393
2009-08-31,741.626
2009-09-30,792.207
2009-10-30,747.728
2009-11-30,774.733
2009-12-31,836.491
2010-01-29,803.694
2010-02-26,843.089
2010-03-31,910.706
2010-04-30,957.582
2010-05-31,885.373
2010-06-30,821.894
2010-07-30,877.617
2010-08-31,823.548
2010-09-30,930.897
2010-10-29,969.555
2010-11-30,1013.719
2010-12-31,1093.85
2011-01-31,1108.355
2011-02-28,1172.143
2011-03-31,1208.502
2011-04-29,1249.251
2011-05-31,1232.381
2011-06-30,1206.194
2011-07-29,1157.55
2011-08-31,1055.722
2011-09-30,935.149
2011-10-31,1081.884
2011-11-30,1075.892
2011-12-30,1061.678
2012-01-31,1141.789
2012-02-29,1190.927
2012-03-30,1214.965
2012-04-30,1200.595
2012-05-31,1111.525
2012-06-29,1151.413
2012-07-31,1139.244
2012-08-31,1184.961
2012-09-28,1215.711
2012-10-31,1188.421
2012-11-30,1210.268
2012-12-31,1238.642
2013-01-31,1319.674
2013-02-28,1326.158
2013-03-29,1388.601
2013-04-30,1387.262
2013-05-31,1453.35
2013-06-28,1443.349
2013-07-31,1545.394
2013-08-30,1518.953
2013-09-30,1619.855
2013-10-31,1660.832
2013-11-29,1722.96
2013-12-31,1768.519
2014-01-31,1739.724
2014-02-28,1833.984
2014-03-31,1794.448
2014-04-30,1725.787
2014-05-30,1739.25
2014-06-30,1845.9
2014-07-31,1741.231
2014-08-29,1836.541
2014-09-30,1748.294
2014-10-31,1816.964
2014-11-28,1840.37
2014-12-31,1866.482
2015-01-30,1823.469
2015-02-27,1958.279
2015-03-31,1986.692
2015-04-30,1950.659
2015-05-29,2004.04
2015-06-30,2011.005
2015-07-31,2009.842
2015-08-31,1875.615
2015-09-30,1768.319
2015-10-30,1860.595
2015-11-30,1901.849
2015-12-31,1824.872
2016-01-29,1658.506
2016-02-29,1668.27
2016-03-31,1800.219
2016-04-29,1831.594
2016-05-31,1874.992
2016-06-30,1871.88
2016-07-29,1977.366
2016-08-31,1996.835
2016-09-30,2006.969
2016-10-31,1903.924
2016-11-30,2061.094
2016-12-30,2080.403
2017-01-31,2121.398
2017-02-28,2169.054
2017-03-31,2191.449
2017-04-28,2223.566
2017-05-31,2223.773
2017-06-30,2281.349
2017-07-31,2311.925
2017-08-31,2308.413
2017-09-29,2416.25
2017-10-31,2475.484
2017-11-30,2549.438
2017-12-29,2566.664
2018-01-31,2668.595
2018-02-28,2582.897
2018-03-30,2609.5
2018-04-30,2610.913
2018-05-31,2766.571
2018-06-29,2794.636
2018-07-31,2841.79
2018-08-31,3025.122
2018-09-28,2980.049
2018-10-31,2645.489
2018-11-30,2691.719
2018-12-31,2397.832
2019-01-31,2673.287
2019-02-28,2840.146
2019-03-29,2830.178
2019-04-30,2930.987
2019-05-31,2732.389
2019-06-28,2950.901
2019-07-31,3006.36
2019-08-30,2907.991
2019-09-30,2890.351
2019-10-31,2934.846
2019-11-29,3101.136
2019-12-31,3159.982
2020-01-31,3126.747
2020-02-28,2905.759
2020-03-31,2355.966
2020-04-30,2726.354
2020-05-29,2992.117
2020-06-30,3099.014
2020-07-31,3282.278
2020-08-31,3417.274
2020-09-30,3350.95
2020-10-30,3404.554
2020-11-30,3903.531
2020-12-31,4231.309
2021-01-29,4427.191
2021-02-26,4624.877
2021-03-31,4589.822
2021-04-30,4766.566
2021-05-31,4667.718
2021-06-30,4831.372
2021-07-30,4726.644
2021-08-31,4843.223
2021-09-30,4665.392
2021-10-29,4892.356
2021-11-30,4633.575
2021-12-31,4716.667
2022-01-31,4155.29
2022-02-28,4181.1
2022-03-31,4208.84
2022-04-29,3782.073
2022-05-31,3694.127
2022-06-30,3384.153
2022-07-29,3782.585
2022-08-31,3689.877
2022-09-30,3348.774
2022-10-31,3643.953
2022-11-30,3764.259
2022-12-30,3545.172
2023-01-31,3943.471
2023-02-28,3883.184
2023-03-31,3821.151
2023-04-28,3788.866
2023-05-31,3766.587
2023-06-30,4093.124
2023-07-31,4268.211
2023-08-31,4104.657
2023-09-29,3850.688
2023-10-31,3579.302
2023-11-30,3917.855
2023-12-29,4344.721
2024-01-31,4198.634
2024-02-29,4540.711
2024-03-29,4664.679
2024-04-30,4343.261
2024-05-31,4564.305
2024-06-28,4536.84
2024-07-31,4787.89
2024-08-30,4769.52
2024-09-30,4846.509
2024-10-31,4807.385
2024-11-29,5345.383
2024-12-31,4923.956
2025-01-31,5122.267
2025-02-28,4797.962
2025-03-31,4452.136
2025-04-30,4437.999
2025-05-30,4727.471
2025-06-30,4984.584
2025-07-31,5113.948
2025-08-29,5299.937
2025-09-30,5481.998
2025-10-31,5615.757
2025-11-28,5628.663
